"Species","HighCount","LowCount","UnclassifiedCount","RecordCount","Trials","BinaryID"
"Astyanax_mexicanus",0,0,0,0,0,"binary:Astyanax_mexicanus"
"Salminus_brasiliensis",0,0,0,0,0,"binary:Salminus_brasiliensis"
"Hoplias_malabaricus",0,0,0,0,0,"binary:Hoplias_malabaricus"
"Prochilodus_magdalenae",0,0,0,0,0,"binary:Prochilodus_magdalenae"
"Acnodon_oligacanthus",0,0,0,0,0,"binary:Acnodon_oligacanthus"
"Colossoma_macropomum",0,0,0,0,0,"binary:Colossoma_macropomum"
"Metynnis_hypsauchen",0,0,0,0,0,"binary:Metynnis_hypsauchen"
"Pygocentrus_nattereri",1,0,0,1,1,"binary:Pygocentrus_nattereri"
"Serrasalmus_rhombeus",0,0,0,0,0,"binary:Serrasalmus_rhombeus"
"Electrophorus_electricus",0,0,0,0,0,"binary:Electrophorus_electricus"
"Electrophorus_voltai",0,0,0,0,0,"binary:Electrophorus_voltai"
"Brachyhypopomus_gauderio",0,0,0,0,0,"binary:Brachyhypopomus_gauderio"
"Neoarius_graeffei",0,0,0,0,0,"binary:Neoarius_graeffei"
"Hemibagrus_guttatus",0,0,0,0,0,"binary:Hemibagrus_guttatus"
"Hemibagrus_wyckioides",0,0,0,0,0,"binary:Hemibagrus_wyckioides"
"Tachysurus_fulvidraco",0,0,0,0,0,"binary:Tachysurus_fulvidraco"
"Tachysurus_vachellii",0,0,0,0,0,"binary:Tachysurus_vachellii"
"Clarias_gariepinus",0,0,0,0,0,"binary:Clarias_gariepinus"
"Clarias_magur",0,0,0,0,0,"binary:Clarias_magur"
"Ictalurus_furcatus",0,0,0,0,0,"binary:Ictalurus_furcatus"
"Ictalurus_punctatus",0,0,0,0,0,"binary:Ictalurus_punctatus"
"Pangasianodon_gigas",0,0,0,0,0,"binary:Pangasianodon_gigas"
"Pangasianodon_hypophthalmus",0,0,0,0,0,"binary:Pangasianodon_hypophthalmus"
"Silurus_aristotelis",0,0,0,0,0,"binary:Silurus_aristotelis"
"Silurus_asotus",0,0,0,0,0,"binary:Silurus_asotus"
"Silurus_meridionalis",0,0,0,0,0,"binary:Silurus_meridionalis"
"Trichomycterus_rosablanca",0,0,0,0,0,"binary:Trichomycterus_rosablanca"
"Nansenia_antarctica",0,0,0,0,0,"binary:Nansenia_antarctica"
"Galaxias_brevipinnis",0,0,0,0,0,"binary:Galaxias_brevipinnis"
"Coregonus_albula",0,0,0,0,0,"binary:Coregonus_albula"
"Coregonus_clupeaformis",0,0,0,0,0,"binary:Coregonus_clupeaformis"
"Coregonus_lavaretus",0,0,0,0,0,"binary:Coregonus_lavaretus"
"Coregonus_suidteri",0,0,0,0,0,"binary:Coregonus_suidteri"
"Oncorhynchus_clarkii",0,0,0,0,0,"binary:Oncorhynchus_clarkii"
"Oncorhynchus_gorbuscha",0,0,0,0,0,"binary:Oncorhynchus_gorbuscha"
"Oncorhynchus_keta",0,0,0,0,0,"binary:Oncorhynchus_keta"
"Oncorhynchus_kisutch",0,0,0,0,0,"binary:Oncorhynchus_kisutch"
"Oncorhynchus_masou",0,0,0,0,0,"binary:Oncorhynchus_masou"
"Oncorhynchus_mykiss",0,0,0,0,0,"binary:Oncorhynchus_mykiss"
"Oncorhynchus_nerka",0,0,0,0,0,"binary:Oncorhynchus_nerka"
"Oncorhynchus_tshawytscha",0,0,0,0,0,"binary:Oncorhynchus_tshawytscha"
"Salmo_salar",0,0,0,0,0,"binary:Salmo_salar"
"Salmo_trutta",0,0,0,0,0,"binary:Salmo_trutta"
"Salvelinus_alpinus",0,0,0,0,0,"binary:Salvelinus_alpinus"
"Salvelinus_fontinalis",0,0,0,0,0,"binary:Salvelinus_fontinalis"
"Salvelinus_namaycush",0,0,0,0,0,"binary:Salvelinus_namaycush"
"Dallia_pectoralis",0,0,0,0,0,"binary:Dallia_pectoralis"
"Esox_lucius",0,0,0,0,0,"binary:Esox_lucius"
"Umbra_pygmaea",0,0,0,0,0,"binary:Umbra_pygmaea"
"Hypomesus_nipponensis",0,0,0,0,0,"binary:Hypomesus_nipponensis"
"Hypomesus_transpacificus",0,0,0,0,0,"binary:Hypomesus_transpacificus"
"Osmerus_eperlanus",0,0,0,0,0,"binary:Osmerus_eperlanus"
"Osmerus_mordax",0,0,0,0,0,"binary:Osmerus_mordax"
"Benthosema_glaciale",0,0,0,0,0,"binary:Benthosema_glaciale"
"Electrona_antarctica",0,0,0,0,0,"binary:Electrona_antarctica"
"Gymnoscopelus_braueri",0,0,0,0,0,"binary:Gymnoscopelus_braueri"
"Gymnoscopelus_microlampas",0,0,0,0,0,"binary:Gymnoscopelus_microlampas"
"Nannobrachium_achirus",0,0,0,0,0,"binary:Nannobrachium_achirus"
"Protomyctophum_bolini",0,0,0,0,0,"binary:Protomyctophum_bolini"
"Protomyctophum_parallelum",0,0,0,0,0,"binary:Protomyctophum_parallelum"
"Polymixia_hollisterae",0,0,0,0,0,"binary:Polymixia_hollisterae"
"Polymixia_lowei",0,0,0,0,0,"binary:Polymixia_lowei"
"Centroberyx_affinis",0,0,0,0,0,"binary:Centroberyx_affinis"
"Centroberyx_gerrardi",0,0,0,0,0,"binary:Centroberyx_gerrardi"
"Poromitra_crassiceps",0,0,0,0,0,"binary:Poromitra_crassiceps"
"Myripristis_murdjan",0,0,0,0,0,"binary:Myripristis_murdjan"
"Lucifuga_dentata",0,0,0,0,0,"binary:Lucifuga_dentata"
"Genypterus_blacodes",0,0,0,0,0,"binary:Genypterus_blacodes"
"Arripis_georgiana",0,0,0,0,0,"binary:Arripis_georgiana"
"Katsuwonus_pelamis",0,0,0,0,0,"binary:Katsuwonus_pelamis"
"Sarda_sarda",0,0,0,0,0,"binary:Sarda_sarda"
"Scomber_japonicus",0,0,0,0,0,"binary:Scomber_japonicus"
"Scomber_scombrus",0,0,0,0,0,"binary:Scomber_scombrus"
"Thunnus_alalunga",0,0,0,0,0,"binary:Thunnus_alalunga"
"Thunnus_albacares",0,0,0,0,0,"binary:Thunnus_albacares"
"Thunnus_atlanticus",0,0,0,0,0,"binary:Thunnus_atlanticus"
"Thunnus_maccoyii",0,0,0,0,0,"binary:Thunnus_maccoyii"
"Thunnus_obesus",0,0,0,0,0,"binary:Thunnus_obesus"
"Thunnus_orientalis",2,1,0,3,3,"binary:Thunnus_orientalis"
"Thunnus_thynnus",0,0,0,0,0,"binary:Thunnus_thynnus"
"Thunnus_tonggol",0,0,0,0,0,"binary:Thunnus_tonggol"
"Pampus_argenteus",5,0,0,5,5,"binary:Pampus_argenteus"
"Pampus_punctatissimus",0,0,0,0,0,"binary:Pampus_punctatissimus"
"Aulostomus_chinensis",0,0,0,0,0,"binary:Aulostomus_chinensis"
"Fistularia_commersonii",0,0,0,0,0,"binary:Fistularia_commersonii"
"Pterapogon_kauderni",3,0,0,3,3,"binary:Pterapogon_kauderni"
"Sphaeramia_orbicularis",0,0,0,0,0,"binary:Sphaeramia_orbicularis"
"Oxyeleotris_marmorata",2,0,0,2,2,"binary:Oxyeleotris_marmorata"
"Boleophthalmus_pectinirostris",0,0,0,0,0,"binary:Boleophthalmus_pectinirostris"
"Eucyclogobius_newberryi",0,0,0,0,0,"binary:Eucyclogobius_newberryi"
"Gobius_niger",0,0,0,0,0,"binary:Gobius_niger"
"Knipowitschia_caucasica",0,0,0,0,0,"binary:Knipowitschia_caucasica"
"Mugilogobius_chulae",0,0,0,0,0,"binary:Mugilogobius_chulae"
"Periophthalmus_magnuspinnatus",0,0,0,0,0,"binary:Periophthalmus_magnuspinnatus"
"Mastacembelus_armatus",0,0,0,0,0,"binary:Mastacembelus_armatus"
"Monopterus_albus",0,0,0,0,0,"binary:Monopterus_albus"
"Anabas_testudineus",0,0,1,1,0,"binary:Anabas_testudineus"
"Channa_argus",0,1,0,1,1,"binary:Channa_argus"
"Channa_striata",0,0,0,0,0,"binary:Channa_striata"
"Betta_splendens",0,0,0,0,0,"binary:Betta_splendens"
"Trichopodus_trichopterus",1,0,0,1,1,"binary:Trichopodus_trichopterus"
"Lates_calcarifer",3,1,0,4,4,"binary:Lates_calcarifer"
"Lates_japonicus",0,0,0,0,0,"binary:Lates_japonicus"
"Eleutheronema_tetradactylum",1,0,0,1,1,"binary:Eleutheronema_tetradactylum"
"Toxotes_jaculatrix",0,0,0,0,0,"binary:Toxotes_jaculatrix"
"Xiphias_gladius",0,0,0,0,0,"binary:Xiphias_gladius"
"Caranx_melampygus",0,0,0,0,0,"binary:Caranx_melampygus"
"Seriola_dumerili",2,0,0,2,2,"binary:Seriola_dumerili"
