"Route","Design","Model","Reference","Records","Species","ELPD_difference","Paired_SE_species","CI95_lower","CI95_upper","z_normal_approx","p_value_normal_approx","p_value_BH_all","RouteLabel","DesignLabel","BH_all18","BH_per_design9","BH_per_route_design3"
"binary","species5","M1","Null",152,50,12.1340079442666,7.46030036918178,-2.48818077932967,26.7561966678629,1.62647713145596,0.103848194332149,0.311544582996447,"High/Low","Five-fold",0.169933408907153,0.233658437247335,0.103848194332149
"binary","species5","M2","Null",152,50,14.1210551251273,6.85323361356387,0.68871724254207,27.5533930077125,2.06049522333209,0.0393512220316697,0.183639036147792,"High/Low","Five-fold",0.101188856652865,0.134946329714679,0.0674731648573394
"binary","species5","M3","Null",152,50,15.0128003768799,7.48834684069648,0.335640569114803,29.689960184645,2.00482171783106,0.0449821099048929,0.18892486160055,"High/Low","Five-fold",0.101209747286009,0.134946329714679,0.0674731648573394
"binary","species10","M1","Null",152,50,16.7359252887872,6.80087499356959,3.40621030139084,30.0656402761836,2.46084883262985,0.0138608753872035,0.141426354878301,"High/Low","Ten-fold",0.0808150599304578,0.048465593311588,0.0207913130808053
"binary","species10","M2","Null",152,50,14.8583347512957,6.71533216823869,1.69628370154789,28.0203858010436,2.21259862938289,0.0269253296175489,0.141426354878301,"High/Low","Ten-fold",0.0808150599304578,0.048465593311588,0.0269253296175489
"binary","species10","M3","Null",152,50,17.9365892566914,7.01098819412954,4.19505239619748,31.6781261171853,2.55835393813815,0.0105168990307908,0.141426354878301,"High/Low","Ten-fold",0.0808150599304578,0.048465593311588,0.0207913130808053
"joint_bb","species5","M1","Null",153,51,6.38673365694638,6.89618570068671,-7.12979031639958,19.9032576302923,0.926125532888477,0.354380746282288,0.518535607271426,"Joint beta-binomial","Five-fold",0.375226672534187,0.398678339567574,0.354380746282288
"joint_bb","species5","M2","Null",153,51,9.35307945807579,6.86851667199331,-4.10921321903109,22.8153721351827,1.36173207473069,0.173282454913778,0.401589257676232,"Joint beta-binomial","Five-fold",0.233577425383115,0.272506996280301,0.259923682370667
"joint_bb","species5","M3","Null",153,51,17.42122112351,7.87431880426659,1.98755626714746,32.8548859798725,2.21240993113849,0.0269383533101526,0.141426354878301,"Joint beta-binomial","Five-fold",0.0808150599304578,0.134946329714679,0.0808150599304578
"joint_bb","species10","M1","Null",153,51,8.33964832803326,7.21255953735444,-5.79696836518145,22.476265021248,1.15626751985083,0.247571749449126,0.470942097646467,"Joint beta-binomial","Ten-fold",0.297086099338951,0.247571749449126,0.247571749449126
"joint_bb","species10","M2","Null",153,51,13.0493569287289,6.96150215135504,-0.595187287926938,26.6939011453848,1.8745030375648,0.0608611237808775,0.232378836254259,"Joint beta-binomial","Ten-fold",0.12109425147818,0.0864958939129855,0.0912916856713163
"joint_bb","species10","M3","Null",153,51,17.7161867667294,7.89490103727898,2.24218073366259,33.1901927997962,2.24400365287357,0.0248321663153567,0.141426354878301,"Joint beta-binomial","Ten-fold",0.0808150599304578,0.048465593311588,0.0744964989460701
"schemeA_tobit","species5","M1","Null",153,51,10.471767824498,15.2428634021346,-19.4042444436859,40.3477800926819,0.686994795415639,0.492086008170446,0.609048215950213,"Scheme A","Five-fold",0.492086008170446,0.492086008170446,0.492086008170446
"schemeA_tobit","species5","M2","Null",153,51,15.1888878016324,14.143695796572,-12.5327559596486,42.9105315629135,1.07389808294051,0.282868362653669,0.475218849258163,"Scheme A","Five-fold",0.318226907985378,0.363687894840432,0.424302543980503
"schemeA_tobit","species5","M3","Null",153,51,23.1785643880723,17.3540743363909,-10.8354213112539,57.1925500873985,1.33562666257961,0.181671330853534,0.401589257676232,"Scheme A","Five-fold",0.233577425383115,0.272506996280301,0.424302543980503
"schemeA_tobit","species10","M1","Null",153,51,23.4129315045252,15.2420192018868,-6.46142613117286,53.2872891402234,1.53607807432935,0.124519233040632,0.32686298673166,"Scheme A","Ten-fold",0.186778849560948,0.140084137170711,0.124519233040632
"schemeA_tobit","species10","M2","Null",153,51,30.0714723654853,12.9785285084277,4.63355648896696,55.5093882420036,2.31701709064769,0.0205028007931739,0.141426354878301,"Scheme A","Ten-fold",0.0808150599304578,0.048465593311588,0.0615084023795217
"schemeA_tobit","species10","M3","Null",153,51,31.892929306688,17.4293997339739,-2.26869417190087,66.0545527852769,1.8298352090991,0.0672745841545443,0.235461044540905,"Scheme A","Ten-fold",0.12109425147818,0.0864958939129855,0.100911876231816
