"Version","Design","Route","Model","Species","Records","SumDifference","MeanDifference","ContributionToRecordMean","ContributionToSpeciesMean"
"v2","tenfold","joint_bb","M2","Poropanchax_normani",2,-0.739992003544817,-0.369996001772409,-0.00483654904277658,-0.00725482356416487
"v2","tenfold","joint_bb","M2","Pterapogon_kauderni",3,-1.69935740138122,-0.566452467127074,-0.0111069111201387,-0.0111069111201387
"v2","tenfold","joint_bb","M2","Pterophyllum_scalare",1,-0.055567216981753,-0.055567216981753,-0.00036318442471734,-0.00108955327415202
"v2","tenfold","joint_bb","M2","Pygocentrus_nattereri",1,-3.23823839176292,-3.23823839176292,-0.021164956808908,-0.0634948704267239
"v2","tenfold","joint_bb","M2","Rhabdosargus_sarba",1,-0.13155620733485,-0.13155620733485,-0.00085984449238464,-0.00257953347715392
"v2","tenfold","joint_bb","M2","Sciaenops_ocellatus",1,0.0503998268574101,0.0503998268574101,0.000329410633054968,0.000988231899164903
"v2","tenfold","joint_bb","M2","Scophthalmus_maximus",1,0.08389957089148,0.08389957089148,0.000548363208441046,0.00164508962532314
"v2","tenfold","joint_bb","M2","Seriola_dumerili",2,-0.032435577424055,-0.0162177887120275,-0.000211997238065719,-0.000317995857098578
"v2","tenfold","joint_bb","M2","Siniperca_chuatsi",11,2.26041464618189,0.20549224056199,0.0147739519358293,0.00402925961886255
"v2","tenfold","joint_bb","M2","Siniperca_scherzeri",4,-0.348352587565294,-0.0870881468913235,-0.00227681429781238,-0.00170761072335928
"v2","tenfold","joint_bb","M2","Thunnus_orientalis",3,-0.552957331299123,-0.184319110433041,-0.00361410020456943,-0.00361410020456943
"v2","tenfold","joint_bb","M2","Trichopodus_trichopterus",1,-1.01309984363157,-1.01309984363157,-0.00662156760543507,-0.0198647028163052
"v2","tenfold","joint_bb","M2","Xiphophorus_hellerii",4,2.51061032542171,0.627652581355429,0.0164092178132138,0.0123069133599104
"v2","tenfold","joint_bb","M2","Xiphophorus_maculatus",1,1.57722023618983,1.57722023618983,0.0103086289947048,0.0309258869841143
"v2","tenfold","joint_bb","M3","Acanthopagrus_schlegelii",4,1.78705254249992,0.44676313562498,0.0116800819771237,0.00876006148284275
"v2","tenfold","joint_bb","M3","Anabas_testudineus",1,-0.281176354299959,-0.281176354299959,-0.00183775394967294,-0.00551326184901881
