"Version","Design","Route","Model","TrainWeighting","EvalWeighting","Inference","Species","Records","Difference","SE","Z","P","ScaledDifference","ScaledSE","AuditPurpose"
"v2","tenfold","binary","M1","record_equal","species_equal","current_species_bootstrap",50,152,0.140999287962203,0.0591551999871823,2.38354849603678,0.0171466250747242,21.4318917702549,8.99159039805171,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.0977522023111561,0.0441798168963072,2.21259862938289,0.0269253296175489,14.8583347512957,6.71533216823869,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","record_equal","current_species_bootstrap",50,152,0.0977522023111561,0.0460002467179395,2.12503647883771,0.0335835691487711,14.8583347512957,6.9920375011268,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.130870074270964,0.0581850219882251,2.24920554807813,0.0244994216598048,19.8922512891865,8.84412334221021,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","species_equal","current_species_bootstrap",50,152,0.130870074270964,0.0578723435568321,2.26135777865028,0.0237371110337611,19.8922512891865,8.79659622063848,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M3","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.118003876688759,0.0461249223297996,2.55835393813815,0.0105168990307907,17.9365892566914,7.01098819412954,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M3","record_equal","record_equal","current_species_bootstrap",50,152,0.118003876688759,0.0416249453388588,2.83493169127593,0.00458354850194242,17.9365892566914,6.32699169150654,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M3","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.126961578925999,0.0556131770593678,2.28294058421561,0.022433868461824,19.2981599967519,8.45320291302391,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M3","record_equal","species_equal","current_species_bootstrap",50,152,0.126961578925999,0.0552485235376908,2.29800854025331,0.02156130306212,19.2981599967519,8.397775577729,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M1","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0545075054119821,0.0471409120088526,1.15626751985083,0.247571749449126,8.33964832803326,7.21255953735444,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M1","record_equal","record_equal","current_species_bootstrap",51,153,0.0545075054119821,0.045433240801745,1.19972743414528,0.230245214731895,8.33964832803326,6.95128584266699,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M1","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0438932131989652,0.101090813514848,0.434195864815335,0.664146215692585,6.71566161944167,15.4668944677718,"method_attribution_only_fixed_saved_OOF"
