"Scope","Design","Fold","Route","TrainWeighting","EvalWeighting","Family","Model","Reference","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH","BH_per_training3"
"design","tenfold",NA,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",0.0328887491596658,0.0410579101800372,-0.0510788409774853,0.111744788245479,0.801033199582005,0.423112426219541,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.423112426219541,0.423112426219541
"design","tenfold",NA,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.0616204305610898,0.0419519465195089,-0.0201541214369276,0.145996870770781,1.46883364595334,0.14187791567849,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.212816873517735,0.212816873517735
"design","tenfold",NA,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.0858724589331697,0.0432498994300893,-0.00353439802991198,0.168828211143587,1.98549499686068,0.0470894262092931,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.154421570814211,0.141268278627879
"design","tenfold",NA,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",0.0431712289355102,0.0468803891571269,-0.0654952833563188,0.121743267304064,0.920880344888245,0.357112901417343,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.423112426219541,0.357112901417343
"design","tenfold",NA,"joint_bb","species_equal","record_equal","model_vs_null","M2","Null",0.0834911441836191,0.0428707571514984,-0.00647152305851439,0.162964314910205,1.9475080388381,0.0514738569380702,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.154421570814211,0.135330228074799
"design","tenfold",NA,"joint_bb","species_equal","record_equal","model_vs_null","M3","Null",0.0883286382267678,0.0521347423834701,-0.0254058997914859,0.182305402726091,1.69423755040503,0.0902201520498663,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.180440304099733,0.135330228074799
"design","fivefold",NA,"binary","record_equal","species_equal","model_vs_null","M1","Null",0.14903240218074,0.0569809213444665,0.040723054928047,0.266400284558046,2.61547898251408,0.00891024048064701,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0125306501940033,0.0104214795737589
"design","fivefold",NA,"binary","record_equal","species_equal","model_vs_null","M2","Null",0.141937466638074,0.0554113902924141,0.0351947255321622,0.251787428585813,2.56152148302089,0.0104214795737589,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0125306501940033,0.0104214795737589
"design","fivefold",NA,"binary","record_equal","species_equal","model_vs_null","M3","Null",0.137783284282904,0.05205196838271,0.0396823070810556,0.24451038461272,2.64703312024356,0.00812013996819606,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0125306501940033,0.0104214795737589
"design","fivefold",NA,"binary","species_equal","species_equal","model_vs_null","M1","Null",0.132507504871387,0.0530701439720894,0.0305054389533456,0.238224877049976,2.49683710941269,0.0125306501940033,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0125306501940033,0.0125306501940033
"design","fivefold",NA,"binary","species_equal","species_equal","model_vs_null","M2","Null",0.129366331729262,0.0514292361308696,0.0291380613844385,0.230832044056896,2.51542393902312,0.0118889327558163,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0125306501940033,0.0125306501940033
"design","fivefold",NA,"binary","species_equal","species_equal","model_vs_null","M3","Null",0.13229104345035,0.0438105803948966,0.0520855666121932,0.22423743135955,3.01961403519229,0.00253096993616795,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0125306501940033,0.00759290980850385
"design","fivefold",NA,"joint_bb","record_equal","species_equal","model_vs_null","M1","Null",0.0467095623261129,0.0922224993231118,-0.139630931180522,0.220416318383488,0.506487708194296,0.612514316482019,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.612514316482019,0.612514316482019
"design","fivefold",NA,"joint_bb","record_equal","species_equal","model_vs_null","M2","Null",0.107530888561826,0.0829561730562738,-0.0562993250411885,0.266438949839743,1.29623733352407,0.194893731010152,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.584681193030455,0.292340596515228
"design","fivefold",NA,"joint_bb","record_equal","species_equal","model_vs_null","M3","Null",0.120722223524806,0.0739889907501239,-0.0196914127263898,0.269837636065563,1.63162414165792,0.102758689307355,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.584681193030455,0.292340596515228
"design","fivefold",NA,"joint_bb","species_equal","species_equal","model_vs_null","M1","Null",-0.0648371156284235,0.120857579851528,-0.324182307344671,0.146356005060623,-0.536475376290632,0.591630049445099,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.612514316482019,0.591630049445099
"design","fivefold",NA,"joint_bb","species_equal","species_equal","model_vs_null","M2","Null",0.0505969007034753,0.0891875442511864,-0.132457667881462,0.204755694679149,0.567309046664352,0.570504231742924,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.612514316482019,0.591630049445099
"design","fivefold",NA,"joint_bb","species_equal","species_equal","model_vs_null","M3","Null",0.0730812093251892,0.0765384591785557,-0.0808391534007624,0.219686495178737,0.954829900020575,0.339663724179515,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.612514316482019,0.591630049445099
"design","tenfold",NA,"binary","record_equal","species_equal","model_vs_null","M1","Null",0.140148262830679,0.0623693133899496,0.0253563910501523,0.264087978281976,2.2470707983337,0.0246355028231882,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0407030215082496,0.036097436341352
"design","tenfold",NA,"binary","record_equal","species_equal","model_vs_null","M2","Null",0.128263855275022,0.0611996045377482,0.016386096692884,0.251730314722088,2.09582817150245,0.036097436341352,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0407030215082496,0.036097436341352
"design","tenfold",NA,"binary","record_equal","species_equal","model_vs_null","M3","Null",0.132440992765844,0.0564241670630012,0.0276186772447604,0.245437726003898,2.34723877479601,0.0189131300809298,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0407030215082496,0.036097436341352
"design","tenfold",NA,"binary","species_equal","species_equal","model_vs_null","M1","Null",0.124402364679392,0.0573536861368503,0.0142379632004154,0.235989309673029,2.16903869757487,0.0300797461010297,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0407030215082496,0.0407030215082496
"design","tenfold",NA,"binary","species_equal","species_equal","model_vs_null","M2","Null",0.117831243738152,0.0575757607804496,0.00478902737766384,0.230837037636508,2.04654254048802,0.0407030215082496,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0407030215082496,0.0407030215082496
"design","tenfold",NA,"binary","species_equal","species_equal","model_vs_null","M3","Null",0.129952561856735,0.0467703037429057,0.0418169256498162,0.224040979340929,2.77852721613865,0.00546059386150307,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.0327635631690184,0.0163817815845092
"design","tenfold",NA,"joint_bb","record_equal","species_equal","model_vs_null","M1","Null",0.0288668465325388,0.0855845484009306,-0.146713577850162,0.182860777716945,0.337290399632755,0.735897996115748,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.818547503510944,0.735897996115748
"design","tenfold",NA,"joint_bb","record_equal","species_equal","model_vs_null","M2","Null",0.0715499195640805,0.0859281729181215,-0.100234694347018,0.228146404634311,0.832671254772964,0.405030160515783,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.796093373901356,0.607545240773675
"design","tenfold",NA,"joint_bb","record_equal","species_equal","model_vs_null","M3","Null",0.0972572277612559,0.0761773609496038,-0.0506327814111864,0.250881892693777,1.27672088595453,0.201700805025796,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.796093373901356,0.605102415077388
"design","tenfold",NA,"joint_bb","species_equal","species_equal","model_vs_null","M1","Null",-0.0244568027958196,0.106605745427468,-0.258404696036054,0.14890777598516,-0.229413552691298,0.818547503510944,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.818547503510944,0.818547503510944
"design","tenfold",NA,"joint_bb","species_equal","species_equal","model_vs_null","M2","Null",0.0551999245377954,0.0869244075416929,-0.123024815963192,0.212895724412081,0.63503365854198,0.52540646312814,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.796093373901356,0.796093373901355
"design","tenfold",NA,"joint_bb","species_equal","species_equal","model_vs_null","M3","Null",0.0511725422420518,0.081628738785202,-0.114510302933278,0.210064349252238,0.626893701943715,0.530728915934237,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.796093373901356,0.796093373901355
