"Scope","Design","Fold","Route","Model","EvalWeighting","Family","ModelA","ModelB","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","fivefold",5,"binary","M3","record_equal","training_method","species_equal","record_equal",-0.00646659958579554,0.0240523247716025,-0.0534556114302422,0.0385689816756861,-0.26885549098482,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",22,10,2000,
"fold","fivefold",1,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",-0.0467444180698236,0.042701098141788,-0.114080851640196,0.0536758733330047,-1.09468889803746,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",2,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",-0.0631851581655992,0.0433703226534243,-0.110431624880612,0.046172443469203,-1.45687544615512,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",3,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",0.0715361543646869,0.0500757341736203,-0.0131291739715925,0.180521463014601,1.42855927217482,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",4,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",0.0305318292671117,0.0613780200007764,-0.0791228035796325,0.161899902087484,0.497439136464903,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",5,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",-0.0260350335661192,0.0497119640491769,-0.0865774205472072,0.103798349521061,-0.523717661614906,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",1,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",-0.0339595356294685,0.0174714733171906,-0.0646980403921731,0.00369533340715768,-1.94371333275339,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",2,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",-0.0543707868377757,0.0852543285743132,-0.300597676064196,0.0164116447555442,-0.637748109063842,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",3,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",-0.116945032595229,0.108596203926879,-0.355573603058853,0.0722581259869008,-1.07687956269606,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",4,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",0.04098999841837,0.0546880525916716,-0.0586700992901056,0.162150269845264,0.749523826061642,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
