"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold",5,"binary","M1","record_equal","record_equal",22,10,22,10,0,0,22,-11.9701988969493,-0.544099949861333,0.697916666666667,0.183172859551556,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M1","record_equal","species_equal",22,10,22,10,0,0,22,-9.8066683555099,-0.445757652523177,0.824030445813701,0.141031776187408,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M1","species_equal","record_equal",20,10,20,10,0,0,20,-9.84259059556747,-0.492129529778374,0.66,0.156950705469313,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M1","species_equal","species_equal",20,10,20,10,0,0,20,-8.74616361960628,-0.437308180980314,0.857045143638851,0.134888999067348,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M1","species_equal","record_equal",24,10,24,10,0,0,24,-13.2066397588761,-0.550276656619839,0.861111111111111,0.18493225352208,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M1","species_equal","species_equal",24,10,24,10,0,0,24,-14.6016162915784,-0.608400678815765,0.78,0.208037115849619,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M1","species_equal","record_equal",26,10,26,10,0,0,26,-11.3180219595016,-0.435308536903907,0.793233082706767,0.133067541659598,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M1","species_equal","species_equal",26,10,26,10,0,0,26,-11.8085593995377,-0.45417536152068,0.706896551724138,0.142130168823797,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M1","species_equal","record_equal",60,10,60,10,0,0,60,-22.913198075945,-0.381886634599083,0.317901234567901,0.10742399645098,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M1","species_equal","species_equal",60,10,60,10,0,0,60,-31.2563173207385,-0.520938622012308,0.543365455893254,0.170901174344865,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M1","species_equal","record_equal",22,10,22,10,0,0,22,-12.1524475277542,-0.55238397853428,0.697916666666667,0.187942779004001,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M1","species_equal","species_equal",22,10,22,10,0,0,22,-10.1603167861374,-0.461832581188063,0.824030445813701,0.148167162984635,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M2","record_equal","record_equal",20,10,20,10,0,0,20,-9.63946420648555,-0.481973210324278,0.686666666666667,0.151711943003646,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M2","record_equal","species_equal",20,10,20,10,0,0,20,-8.25432190849362,-0.412716095424681,0.883720930232558,0.123574425706156,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M2","record_equal","record_equal",24,10,24,10,0,0,24,-14.3792737248797,-0.599136405203319,0.888888888888889,0.207940793929648,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M2","record_equal","species_equal",24,10,24,10,0,0,24,-15.0642020122116,-0.62767508384215,0.82,0.219078242565829,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M2","record_equal","record_equal",26,10,26,10,0,0,26,-12.1000658149583,-0.465387146729165,0.74812030075188,0.145402535748108,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M2","record_equal","species_equal",26,10,26,10,0,0,26,-12.8253700207586,-0.493283462336869,0.644200626959248,0.157003380516155,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M2","record_equal","record_equal",60,10,60,10,0,0,60,-24.6419130595603,-0.410698550992671,0.263888888888889,0.117386077690712,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M2","record_equal","species_equal",60,10,60,10,0,0,60,-33.9098252824654,-0.565163754707756,0.476649369903632,0.186965434543732,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M2","record_equal","record_equal",22,10,22,10,0,0,22,-11.318626399532,-0.514483018160544,0.708333333333333,0.167267303225085,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M2","record_equal","species_equal",22,10,22,10,0,0,22,-9.67125087545921,-0.439602312520873,0.784885828198623,0.134511932705983,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M2","species_equal","record_equal",20,10,20,10,0,0,20,-9.70707446022532,-0.485353723011266,0.686666666666667,0.152937174509523,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M2","species_equal","species_equal",20,10,20,10,0,0,20,-8.34143476588369,-0.417071738294185,0.883720930232558,0.123709416582366,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M2","species_equal","record_equal",24,10,24,10,0,0,24,-12.1986228092327,-0.508275950384694,0.895833333333333,0.165277897810547,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M2","species_equal","species_equal",24,10,24,10,0,0,24,-13.1000388534531,-0.545834952227211,0.86,0.180595966323357,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M2","species_equal","record_equal",26,10,26,10,0,0,26,-12.2226007274501,-0.470100027978849,0.74812030075188,0.145821127873042,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M2","species_equal","species_equal",26,10,26,10,0,0,26,-13.2404634162303,-0.509248592931936,0.644200626959248,0.160971708947627,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M2","species_equal","record_equal",60,10,60,10,0,0,60,-24.3488186505297,-0.405813644175495,0.263888888888889,0.115709794048053,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M2","species_equal","species_equal",60,10,60,10,0,0,60,-34.0150552976989,-0.566917588294982,0.476649369903632,0.188327231989439,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M2","species_equal","record_equal",22,10,22,10,0,0,22,-11.6201348098753,-0.528187945903422,0.708333333333333,0.174189251396366,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M2","species_equal","species_equal",22,10,22,10,0,0,22,-10.1043452065476,-0.459288418479438,0.784885828198623,0.143509028838572,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M3","record_equal","record_equal",20,10,20,10,0,0,20,-10.3547116481178,-0.51773558240589,0.633333333333333,0.167338275940198,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M3","record_equal","species_equal",20,10,20,10,0,0,20,-9.17328611405912,-0.458664305702956,0.79343365253078,0.145866740783289,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M3","record_equal","record_equal",24,10,24,10,0,0,24,-15.2447671131391,-0.635198629714129,0.868055555555556,0.221697828063144,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M3","record_equal","species_equal",24,10,24,10,0,0,24,-16.486138549444,-0.686922439560167,0.78,0.241282924986556,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M3","record_equal","record_equal",26,10,26,10,0,0,26,-12.3570269038633,-0.475270265533204,0.755639097744361,0.148969142340135,,,,0,,,0,"weighted_record_or_species"
