"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold","joint_bb","M1","species_equal","species_equal",5,153,51,153,51,48,48,153,-207.601030218749,-1.35686947855391,,,,,0.321225758005397,0.376436795788072,0.021015951327966,145,0.979166666666667,0.889336636522626,145,"full_design_records"
"fivefold","joint_bb","M2","record_equal","record_equal",5,153,51,153,51,48,48,153,-181.122727394599,-1.18380867578169,,,,,0.281126266875241,0.327869953809104,-0.00980891291874138,145,0.993103448275862,0.916096396896988,145,"full_design_records"
"fivefold","joint_bb","M2","record_equal","species_equal",5,153,51,153,51,48,48,153,-184.270634971273,-1.20438323510636,,,,,0.29836632754719,0.353920264013822,0.0623171035585698,145,0.979166666666667,0.87641543396927,145,"full_design_records"
"fivefold","joint_bb","M2","species_equal","record_equal",5,153,51,153,51,48,48,153,-183.188700275872,-1.19731176650897,,,,,0.286160714919259,0.328317838784043,-0.0410446461306077,145,0.993103448275862,0.918593635068759,145,"full_design_records"
"fivefold","joint_bb","M2","species_equal","species_equal",5,153,51,153,51,48,48,153,-189.939625719968,-1.24143546222201,,,,,0.301165313643191,0.352431974731806,0.0302324403690363,145,0.979166666666667,0.881181678328834,145,"full_design_records"
"fivefold","joint_bb","M3","record_equal","record_equal",5,153,51,153,51,48,48,153,-180.187039095091,-1.17769306598099,,,,,0.272645976127282,0.315942731764359,-0.0159702537281795,145,0.993103448275862,0.92188081999064,145,"full_design_records"
"fivefold","joint_bb","M3","record_equal","species_equal",5,153,51,153,51,48,48,153,-182.252360721937,-1.19119190014338,,,,,0.288598953747077,0.341221818582549,0.0498389945630163,145,0.979166666666667,0.886813835020369,145,"full_design_records"
"fivefold","joint_bb","M3","species_equal","record_equal",5,153,51,153,51,48,48,153,-180.295083952968,-1.17839924152267,,,,,0.263573883297193,0.309154406418289,-0.0197825894779096,145,0.986206896551724,0.908910814495062,145,"full_design_records"
"fivefold","joint_bb","M3","species_equal","species_equal",5,153,51,153,51,48,48,153,-186.499526500846,-1.2189511536003,,,,,0.286395291372372,0.338683431633334,0.034014136396737,145,0.9765625,0.871751121300119,145,"full_design_records"
"tenfold","binary","Null","record_equal","record_equal",10,152,50,152,50,0,0,152,-85.6196370146223,-0.563287085622515,0.5,0.243055555555556,0.5,0.186551803416903,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","Null","record_equal","species_equal",10,152,50,152,50,0,0,152,-97.2958944210294,-0.640104568559404,0.5,0.314370909090909,0.5,0.22137441042939,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","Null","species_equal","record_equal",10,152,50,152,50,0,0,152,-86.918553883783,-0.571832591340678,0.5,0.312978927203065,0.5,0.190974045059036,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","Null","species_equal","species_equal",10,152,50,152,50,0,0,152,-96.5307512605379,-0.635070731977223,0.5,0.248654545454545,0.5,0.22048228791794,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M1","record_equal","record_equal",10,152,50,152,50,0,0,152,-70.1239169491306,-0.461341558875859,0.739899470899471,0.711087164750958,0.739899470899471,0.143231648770495,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M1","record_equal","species_equal",10,152,50,152,50,0,0,152,-75.9933584707662,-0.499956305728725,0.768763181263181,0.767290181818182,0.768763181263181,0.160485555732799,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M1","species_equal","record_equal",10,152,50,152,50,0,0,152,-69.6627283008154,-0.458307423031681,0.78910582010582,0.769755747126437,0.78910582010582,0.141968977341684,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
