"Case","Mode","Stan","Reference","AbsError","ScaledError"
"beta_1_100_upper","a_b",-51.0825623886737,-51.0825623886737,0,0
"beta_200_1_lower","a_b",-71.3349887877465,-71.3349887877465,0,0
"underflow_upper","a_b",-1021.65124753198,-1021.65124753198,0,0
"underflow_lower","a_b",-713.349887877465,-713.349887877465,0,0
"near_zero","a_b",-4.68135387784411,-4.68135387784411,8.88178419700125e-16,1.89726827511095e-16
"near_one","a_b",-4.68135387633668,-4.68135387633668,8.88178419700125e-16,1.89726827572188e-16
"narrow_middle","a_b",-27.731964914286,-27.731964914286,3.5527136788005e-15,1.28108977844925e-16
"narrow_tail","a_b",-237.327322129468,-237.327322129468,5.6843418860808e-14,2.39514853792512e-16
"u_shaped","a_b",-0.276760542291714,-0.276760542291714,1.11022302462516e-16,1.11022302462516e-16
"wide_center","a_b",-0.00107385637742568,-0.0010738563774257,1.66967134562768e-17,1.66967134562768e-17
"skew_left","a_b",-50.661788160339,-50.661788160339,0,0
"skew_right","a_b",-299.067366239022,-299.067366239022,0,0
"concentrated_center","a_b",-0.224150341411172,-0.2241503414112,2.88657986402541e-14,2.88657986402541e-14
"full_support","a_b",0,0,0,0
"left_boundary","a_b",-0.00220977769053513,-0.00220977769053513,0,0
"right_boundary","a_b",-0.00220977769053513,-0.00220977769053513,0,0
"cf_switch_left","a_b",-5.91022760927235,-5.91022760927284,4.82280881897168e-13,8.16010674682807e-14
"cf_switch_right","a_b",-5.91022761164611,-5.91022761164612,1.95399252334028e-14,3.30612059591398e-15
"grid_1","a_b",-3.13448162098642,-3.13448162098642,8.88178419700125e-16,2.8335735445168e-16
"grid_2","a_b",-3.50932531254977,-3.50932531254977,2.66453525910038e-15,7.59272800834872e-16
"grid_3","a_b",-7.70101723195764,-7.70101723195764,0,0
"grid_4","a_b",-27.5206447430003,-27.5206447430003,3.5527136788005e-15,1.29092676133764e-16
"grid_5","a_b",-236.934927062513,-236.934927062513,2.8421709430404e-14,1.19955760776904e-16
"grid_6","a_b",-929.026936654446,-929.026936654446,1.13686837721616e-13,1.2237194987157e-16
"grid_7","a_b",-4614.69191822491,-4614.69191822491,0,0
"grid_8","a_b",-2.65495716337762,-2.65495716337762,7.99360577730113e-15,3.01082288165121e-15
"grid_9","a_b",-2.55649204317717,-2.55649204317717,1.77635683940025e-15,6.9484152870377e-16
"grid_10","a_b",-6.31555155558378,-6.31555155558378,8.88178419700125e-16,1.40633547503046e-16
"grid_11","a_b",-25.8470802226938,-25.8470802226938,0,0
"grid_12","a_b",-234.905912844632,-234.905912844632,0,0
"grid_13","a_b",-926.789155044552,-926.789155044552,1.13686837721616e-13,1.22667423440179e-16
"grid_14","a_b",-4612.21250184564,-4612.21250184564,0,0
"grid_15","a_b",-2.44897074486716,-2.44897074486716,4.88498130835069e-15,1.99470790681727e-15
"grid_16","a_b",-1.91787708120546,-1.91787708120546,4.44089209850063e-16,2.31552488009781e-16
"grid_17","a_b",-4.71053070164592,-4.71053070164592,8.88178419700125e-16,1.88551667732424e-16
"grid_18","a_b",-23.0258609299905,-23.0258609299905,0,0
"grid_19","a_b",-230.258509299405,-230.258509299405,0,0
"grid_20","a_b",-921.034037197618,-921.034037197618,0,0
"grid_21","a_b",-4605.17018598809,-4605.17018598809,0,0
"grid_22","a_b",-2.36248403195629,-2.36248403195629,4.44089209850063e-16,1.8797553923881e-16
"grid_23","a_b",-1.54383777281593,-1.54383777281593,2.66453525910038e-15,1.72591661249505e-15
"grid_24","a_b",-3.1231125635163,-3.1231125635163,4.44089209850063e-16,1.42194429697425e-16
"grid_25","a_b",-18.2230402083807,-18.2230402083807,0,0
"grid_26","a_b",-217.633626777825,-217.633626777825,2.8421709430404e-14,1.30594292119291e-16
"grid_27","a_b",-903.009192767956,-903.009192767956,0,0
"grid_28","a_b",-4580.7473946486,-4580.7473946486,0,0
"grid_29","a_b",-2.41555258549744,-2.41555258549744,2.66453525910038e-15,1.10307483061962e-15
"grid_30","a_b",-1.25187071836755,-1.25187071836755,1.55431223447522e-15,1.24159165293207e-15
"grid_31","a_b",-1.06073990412213,-1.06073990412213,0,0
"grid_32","a_b",-8.46659705029384,-8.46659705029385,8.88178419700125e-15,1.04903825518577e-15
"grid_33","a_b",-164.650532758291,-164.650532758291,0,0
"grid_34","a_b",-800.797998602007,-800.797998602007,2.27373675443232e-13,2.83933870764125e-16
"grid_35","a_b",-4410.54261982148,-4410.54261982148,9.09494701772928e-13,2.06209253638216e-16
"grid_36","a_b",-2.84311121065337,-2.84311121065336,3.99680288865056e-15,1.40578492803033e-15
"grid_37","a_b",-1.50114497850496,-1.50114497850495,1.33226762955019e-15,8.87500973341724e-16
"grid_38","a_b",-0.378819543350418,-0.378819543350419,7.21644966006352e-16,7.21644966006352e-16
"grid_39","a_b",-2.89304292416295,-2.89304292416295,8.88178419700125e-16,3.07004922838158e-16
"grid_40","a_b",-110.106021067701,-110.106021067701,1.4210854715202e-14,1.29065191688874e-16
"grid_41","a_b",-649.680427786202,-649.680427786202,1.13686837721616e-13,1.7498886046022e-16
"grid_42","a_b",-4071.76386855842,-4071.76386855841,4.54747350886464e-13,1.1168313427946e-16
"grid_43","a_b",-4.46341472767966,-4.46341472767966,1.77635683940025e-15,3.97981578629531e-16
"grid_44","a_b",-2.94940202672492,-2.94940202672491,1.11022302462516e-14,3.76423090024785e-15
"grid_45","a_b",-1.00061775082366,-1.00061775082366,1.77635683940025e-15,1.77526017096742e-15
"grid_46","a_b",-0.0321584571270022,-0.0321584571270017,5.06539254985228e-16,5.06539254985228e-16
"grid_47","a_b",-41.9642547781073,-41.9642547781073,3.5527136788005e-14,8.46604734812054e-16
"grid_48","a_b",-394.009069662853,-394.009069662853,1.70530256582424e-13,4.32807947107269e-16
"grid_49","a_b",-3233.62549337211,-3233.62549337211,9.09494701772928e-13,2.81261606712682e-16
"grid_50","a_b",-3.62112732446021,-3.62112732446022,4.88498130835069e-15,1.34902224380604e-15
"grid_51","a_b",-3.50465633798528,-3.50465633798529,4.44089209850063e-15,1.26714053254464e-15
"grid_52","a_b",-5.19727068265805,-5.19727068265805,8.88178419700125e-16,1.70893238765444e-16
"grid_53","a_b",-13.8647345526447,-13.8647345526447,1.77635683940025e-15,1.28120508377235e-16
"grid_54","a_b",-101.390654739476,-101.390654739476,0,0
"grid_55","a_b",-387.272836527035,-387.272836527035,5.6843418860808e-14,1.4677873968793e-16
"grid_56","a_b",-1906.49702980861,-1906.49702980861,2.27373675443232e-13,1.192625385134e-16
"grid_57","a_b",-3.1555996525808,-3.15559965258083,2.66453525910038e-14,8.44383176719255e-15
"grid_58","a_b",-2.56600877823685,-2.56600877823685,4.44089209850063e-16,1.73066130410982e-16
"grid_59","a_b",-3.82699290850502,-3.82699290850502,4.44089209850063e-16,1.16041294161567e-16
"grid_60","a_b",-12.2101130929032,-12.2101130929032,0,0
"grid_61","a_b",-99.3840247145046,-99.3840247145046,0,0
"grid_62","a_b",-385.057801263679,-385.057801263679,5.6843418860808e-14,1.47623080675836e-16
"grid_63","a_b",-1904.04045879658,-1904.04045879658,2.27373675443232e-13,1.19416409663343e-16
"grid_64","a_b",-3.02388003170936,-3.02388003170935,6.21724893790088e-15,2.05605013185208e-15
"grid_65","a_b",-2.00266453773253,-2.00266453773253,1.77635683940025e-15,8.86996701610091e-16
"grid_66","a_b",-2.30258509299405,-2.30258509299405,4.44089209850063e-16,1.92865493310657e-16
"grid_67","a_b",-9.48972364161327,-9.48972364161327,1.77635683940025e-15,1.87187415196241e-16
"grid_68","a_b",-94.8559992442941,-94.8559992442941,0,0
"grid_69","a_b",-379.423996977176,-379.423996977176,0,0
"grid_70","a_b",-1897.11998488588,-1897.11998488588,0,0
"grid_71","a_b",-3.29926743079126,-3.29926743079128,1.82076576038526e-14,5.51869710043049e-15
"grid_72","a_b",-1.99540010831435,-1.99540010831435,6.66133814775094e-16,3.33834709139022e-16
"grid_73","a_b",-1.10843348410962,-1.10843348410961,1.33226762955019e-15,1.20193737256176e-15
"grid_74","a_b",-5.18580313810001,-5.18580313810001,1.77635683940025e-15,3.42542281705486e-16
"grid_75","a_b",-82.8278976518003,-82.8278976518003,1.4210854715202e-14,1.71570873076399e-16
"grid_76","a_b",-362.005713059074,-362.005713059074,0,0
"grid_77","a_b",-1873.30640298394,-1873.30640298394,0,0
"grid_78","a_b",-6.65689316781114,-6.65689316781113,8.88178419700125e-16,1.33422363452495e-16
"grid_79","a_b",-5.0391788728499,-5.03917887284991,9.76996261670138e-15,1.93880051953305e-15
"grid_80","a_b",-2.56851597230834,-2.56851597230833,3.99680288865056e-15,1.55607476525e-15
"grid_81","a_b",-0.234397503757009,-0.234397503757008,1.72084568816899e-15,1.72084568816899e-15
"grid_82","a_b",-36.5445375765818,-36.5445375765818,7.105427357601e-15,1.94431995280035e-16
"grid_83","a_b",-266.617462698811,-266.617462698811,0,0
"grid_84","a_b",-1709.95520005525,-1709.95520005525,4.54747350886464e-13,2.65941090662359e-16
"grid_85","a_b",-15.4949246177777,-15.4949246177777,1.06581410364015e-14,6.87847233807976e-16
"grid_86","a_b",-13.6927604402633,-13.6927604402633,5.32907051820075e-15,3.89188910552377e-16
"grid_87","a_b",-10.2586588777284,-10.2586588777284,7.105427357601e-15,6.92627315352781e-16
"grid_88","a_b",-3.76686375680512,-3.76686375680512,0,0
"grid_89","a_b",-4.00375357243378,-4.00375357243378,2.66453525910038e-15,6.65509305429273e-16
"grid_90","a_b",-138.230104158001,-138.230104158001,2.8421709430404e-14,2.05611575014927e-16
"grid_91","a_b",-1394.02122288973,-1394.02122288973,2.27373675443232e-13,1.63106322708559e-16
"grid_92","a_b",-57.9961722814992,-57.9961722814992,2.8421709430404e-14,4.90061814639284e-16
"grid_93","a_b",-55.9618578281072,-55.9618578281072,2.8421709430404e-14,5.07876445376498e-16
"grid_94","a_b",-51.2932943875506,-51.2932943875505,4.2632564145606e-14,8.31152778441024e-16
"grid_95","a_b",-38.7359307130328,-38.7359307130328,2.8421709430404e-14,7.33729870619617e-16
"grid_96","a_b",-1.06563267517131,-1.06563267517134,3.41948691584548e-14,3.20887956564927e-14
"grid_97","a_b",-2.85523447641046,-2.85523447641057,1.09690034832965e-13,3.84171722985291e-14
"grid_98","a_b",-677.707912297892,-677.707912297893,5.6843418860808e-13,8.38759852575278e-16
"grid_99","a_b",-4.65776295320344,-4.65776295320353,8.70414851306123e-14,1.86874012278247e-14
"grid_100","a_b",-4.29778560607656,-4.29778560607657,1.33226762955019e-14,3.09989318142467e-15
"grid_101","a_b",-4.72781148632624,-4.72781148632624,0,0
"grid_102","a_b",-7.78241006417591,-7.78241006417591,0,0
"grid_103","a_b",-40.7027872831044,-40.7027872831044,7.105427357601e-15,1.74568569670177e-16
"grid_104","a_b",-145.978038213633,-145.978038213633,0,0
"grid_105","a_b",-702.020908866351,-702.020908866351,1.13686837721616e-13,1.61942238878898e-16
"grid_106","a_b",-4.26740161112157,-4.26740161112151,5.41788836017076e-14,1.26959889269641e-14
"grid_107","a_b",-3.43415504657181,-3.43415504657182,8.88178419700125e-15,2.58630844459617e-15
"grid_108","a_b",-3.43176314684527,-3.43176314684527,3.99680288865056e-15,1.16464998242222e-15
"grid_109","a_b",-6.19981456482871,-6.19981456482871,1.77635683940025e-15,2.86517737075145e-16
"grid_110","a_b",-38.7734254491981,-38.7734254491981,0,0
"grid_111","a_b",-143.841989198985,-143.841989198985,0,0
"grid_112","a_b",-699.643808956601,-699.643808956601,1.13686837721616e-13,1.62492451539249e-16
"grid_113","a_b",-4.53590302135428,-4.53590302135427,4.44089209850063e-15,9.79053581523602e-16
"grid_114","a_b",-3.27023870340691,-3.27023870340691,3.99680288865056e-15,1.22217466403499e-15
"grid_115","a_b",-2.30258509299404,-2.30258509299405,2.22044604925031e-15,9.64327466553287e-16
"grid_116","a_b",-3.86275676412523,-3.86275676412523,4.44089209850063e-16,1.14966910154549e-16
"grid_117","a_b",-34.657373300576,-34.657373300576,0,0
"grid_118","a_b",-138.629436111989,-138.629436111989,0,0
"grid_119","a_b",-693.147180559945,-693.147180559945,0,0
"grid_120","a_b",-6.79574890782174,-6.79574890782174,3.5527136788005e-15,5.22784718357003e-16
"grid_121","a_b",-5.24355067319385,-5.24355067319385,8.88178419700125e-16,1.69384921602967e-16
"grid_122","a_b",-3.06808793574613,-3.06808793574613,8.88178419700125e-16,2.89489231828073e-16
"grid_123","a_b",-1.45486309399491,-1.45486309399491,0,0
"grid_124","a_b",-24.6858299221188,-24.6858299221188,3.5527136788005e-15,1.43917125330966e-16
"grid_125","a_b",-123.317182403869,-123.317182403869,0,0
"grid_126","a_b",-671.452816982002,-671.452816982002,1.13686837721616e-13,1.69314708116957e-16
"grid_127","a_b",-31.383517266237,-31.3835172662371,7.105427357601e-15,2.26406342454329e-16
"grid_128","a_b",-29.4862766516261,-29.4862766516261,3.5527136788005e-15,1.20487022514746e-16
"grid_129","a_b",-25.5413910791564,-25.5413910791564,0,0
"grid_130","a_b",-16.4215914441046,-16.4215914441046,7.105427357601e-15,4.32688109540801e-16
"grid_131","a_b",-0.737999038521167,-0.737999038521173,5.21804821573824e-15,5.21804821573824e-15
"grid_132","a_b",-51.5907434640699,-51.5907434640698,1.4210854715202e-14,2.754535748278e-16
"grid_133","a_b",-531.941721129327,-531.941721129327,2.27373675443232e-13,4.27440951539788e-16
"grid_134","a_b",-109.304061703298,-109.304061703298,0,0
"grid_135","a_b",-107.201119465827,-107.201119465827,1.4210854715202e-14,1.32562558917419e-16
"grid_136","a_b",-102.165124753198,-102.165124753198,0,0
"grid_137","a_b",-87.7353739326009,-87.7353739326009,0,0
"grid_138","a_b",-25.8901096593552,-25.8901096593552,1.4210854715202e-14,5.48891252380888e-16
"grid_139","a_b",-0.693201004873014,-0.693201004873002,1.19904086659517e-14,1.19904086659517e-14
"grid_140","a_b",-295.457868048466,-295.457868048466,1.70530256582424e-13,5.77172839257239e-16
"grid_141","a_b",-519.487838487715,-519.487838487715,1.13686837721616e-13,2.18844079300433e-16
"grid_142","a_b",-517.144135533734,-517.144135533733,1.13686837721616e-13,2.19835883093371e-16
"grid_143","a_b",-510.825623765991,-510.825623765991,0,0
"grid_144","a_b",-490.021831422666,-490.021831422666,0,0
"grid_145","a_b",-360.528203372665,-360.528203372665,5.6843418860808e-14,1.57667051645474e-16
