"Route","Model","TrainWeighting","EvalWeighting","Subset","Statistic","Records","Species","Observed","PPC_Lower95","PPC_Median","PPC_Upper95","Status","Scope"
"binary","M1","species_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.206229216073781,0.309242973210365,0.419878787878788,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M1","species_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.580121212121212,0.690757026789635,0.793770783926219,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.664473684210526,0.756578947368421,0.842105263157895,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","record_equal","classified","SD",152,50,0.425144590036934,0.364642275277658,0.429147112034222,0.472174128052582,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.157894736842105,0.243421052631579,0.335526315789474,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","record_equal","classified","OneFraction",152,50,0.763157894736842,0.664473684210526,0.756578947368421,0.842105263157895,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","species_equal","classified","Mean",152,50,0.694444444444444,0.600918670399649,0.716735617039965,0.821560161396575,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","species_equal","classified","SD",152,50,0.460642331993806,0.382882569835009,0.450583701776158,0.489709528096127,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.178439838603426,0.283264382960035,0.399081329600351,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","record_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.600918670399649,0.716735617039965,0.821560161396575,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.631578947368421,0.730263157894737,0.815789473684211,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","record_equal","classified","SD",152,50,0.425144590036934,0.387655785859375,0.443823025671656,0.48237638894272,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.184210526315789,0.269736842105263,0.368421052631579,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","record_equal","classified","OneFraction",152,50,0.763157894736842,0.631578947368421,0.730263157894737,0.815789473684211,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","species_equal","classified","Mean",152,50,0.694444444444444,0.578528414580589,0.692119345630215,0.795277146464647,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","species_equal","classified","SD",152,50,0.460642331993806,0.403498955094875,0.461616894191901,0.493794783389583,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M2","species_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.204722853535354,0.307880654369785,0.421471585419412,"OK","training_only_same_records_types_weights; intervals_not_imputed"
