"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.491680880028118,0.583333333333333,1,"record_equal","fivefold","M1","species_equal",2,0.861111111111111
0.268288392045198,1,1,"record_equal","fivefold","M1","species_equal",2,0.861111111111111
Inf,0,0,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
0.863846556846989,0,0.210526315789474,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
0.785497181997187,0.142857142857143,0.210526315789474,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
0.777455539373978,0.142857142857143,0.631578947368421,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
0.73592732976833,0.285714285714286,0.684210526315789,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
0.668508850536474,0.571428571428571,1,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
0.263274922759077,1,1,"record_equal","fivefold","M1","species_equal",3,0.793233082706767
Inf,0,0,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
0.83894638592469,0,0.0925925925925926,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
0.781604554249124,0.833333333333333,0.277777777777778,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
0.770785822667565,0.833333333333333,0.481481481481481,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
0.763298087123553,0.833333333333333,0.981481481481482,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
0.441539105699354,1,0.981481481481482,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
0.293872137140666,1,1,"record_equal","fivefold","M1","species_equal",4,0.317901234567901
Inf,0,0,"record_equal","fivefold","M1","species_equal",5,0.697916666666667
0.833555044012722,0,0.25,"record_equal","fivefold","M1","species_equal",5,0.697916666666667
0.805615408796578,0.333333333333333,0.6875,"record_equal","fivefold","M1","species_equal",5,0.697916666666667
0.525253003990081,0.833333333333333,0.8125,"record_equal","fivefold","M1","species_equal",5,0.697916666666667
0.385355022171805,0.833333333333333,1,"record_equal","fivefold","M1","species_equal",5,0.697916666666667
0.222684899309357,1,1,"record_equal","fivefold","M1","species_equal",5,0.697916666666667
Inf,0,0,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
0.824522826934381,0,0.133333333333333,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
0.821898552534922,0.4,0.6,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
0.734465066045555,0.6,0.8,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
0.713099256102621,0.6,1,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
