"Design","Model","TrainWeighting","EvalWeighting","Bin","RecordsUsed","SpeciesUsed","WeightSum","MeanPredicted","ObservedRate","CalibrationLower","CalibrationUpper","BootstrapValid","IntervalStatus"
"tenfold","M1","species_equal","record_equal","[0.6,0.8)",54,17,54,0.731103475316805,0.851851851851852,0.790301358234295,0.923076923076923,2000,"OK"
"tenfold","M1","species_equal","record_equal","[0.8,1]",71,19,71,0.825752313304765,0.887323943661972,0.686260504201681,0.987955393000574,2000,"OK"
"tenfold","M2","record_equal","record_equal","[0.2,0.4)",8,5,8,0.316433094879151,0.125,0,0.6,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","record_equal","[0.4,0.6)",12,7,12,0.517871924113138,0.5,0.0769230769230769,0.866666666666667,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","record_equal","[0.6,0.8)",16,5,16,0.685792175084564,0.4375,0.0666666666666667,0.813020833333331,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","record_equal","[0.8,1]",116,33,116,0.817552296081163,0.879310344827586,0.765926157697121,0.954130191189859,2000,"OK"
"tenfold","M2","species_equal","record_equal","[0.2,0.4)",11,6,11,0.283607589651899,0.0909090909090909,0,0.375,2000,"LIMITED_SPECIES"
"tenfold","M2","species_equal","record_equal","[0.4,0.6)",16,8,16,0.519159718979853,0.375,0.0476190476190476,0.777976190476189,2000,"LIMITED_SPECIES"
"tenfold","M2","species_equal","record_equal","[0.6,0.8)",74,22,74,0.774962612814336,0.878378378378378,0.813553672316384,0.939409090909091,2000,"OK"
"tenfold","M2","species_equal","record_equal","[0.8,1]",51,14,51,0.817507148039804,0.862745098039216,0.53328125,1,2000,"OK"
"tenfold","M3","record_equal","record_equal","[0.2,0.4)",7,4,7,0.295683165665443,0,0,0,2000,"DEGENERATE_INTERVAL"
"tenfold","M3","record_equal","record_equal","[0.4,0.6)",14,8,14,0.52378307988431,0.642857142857143,0.272727272727273,0.944444444444444,2000,"LIMITED_SPECIES"
"tenfold","M3","record_equal","record_equal","[0.6,0.8)",38,11,38,0.717164319278754,0.631578947368421,0.290207373271889,0.862085868830291,2000,"OK"
"tenfold","M3","record_equal","record_equal","[0.8,1]",93,27,93,0.837644863089272,0.89247311827957,0.784053853754941,0.958986486486486,2000,"OK"
"tenfold","M3","species_equal","record_equal","[0,0.2)",4,1,4,0.184439209187504,0,0,0,2000,"INSUFFICIENT_SUPPORT"
