"Scope","Design","Fold","Route","TrainWeighting","EvalWeighting","Family","Model","Reference","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","fivefold",2,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.314767523560521,0.149836189236031,0.0370594010462015,0.626200135923895,2.10074432061724,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",24,10,2000,
"fold","fivefold",2,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.269243099975577,0.154380920960372,-0.0059286917128814,0.600933444922312,1.74401796738011,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",24,10,2000,
"fold","fivefold",3,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.15251358551634,0.0990593477741271,0.00836299261704602,0.384865819321211,1.5396183090575,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",26,10,2000,
"fold","fivefold",3,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.117722094441399,0.0829209087867579,-0.0213922582690513,0.29796004394006,1.41969131988335,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",26,10,2000,
"fold","fivefold",3,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.106011025875085,0.0754733795752801,-0.015467117075607,0.274675631340987,1.40461479890861,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",26,10,2000,
"fold","fivefold",4,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.0919261178151981,0.0551965657624866,-0.0573607351429929,0.160147993936861,1.66543183521164,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",60,10,2000,
"fold","fivefold",4,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.0679991082387853,0.0735221984987341,-0.137286152280737,0.147898920179578,0.924878603024311,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",60,10,2000,
"fold","fivefold",4,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.130832124667651,0.0373031082936059,0.0358021291735196,0.177566086083324,3.50727139513135,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",60,10,2000,
"fold","fivefold",5,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.0389195357604329,0.114993683245032,-0.17124470715213,0.274496217427822,0.338449336190945,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",22,10,2000,
"fold","fivefold",5,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.0631155683912904,0.106545841762802,-0.124908917657617,0.299509941063305,0.59237946171378,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",22,10,2000,
"fold","fivefold",5,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.0798156104695725,0.0729524834861416,-0.0417377066931971,0.242133505210854,1.09407667368493,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",22,10,2000,
"fold","fivefold",1,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",0.0631480152478523,0.103568132745353,-0.140871853744414,0.283188740707433,0.60972437731514,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",1,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.0977359014311411,0.117664423192568,-0.122019317399601,0.359859908583079,0.830632563176616,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",1,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.053829260505147,0.147780479418222,-0.214080993382601,0.378157454812073,0.36425149462947,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",2,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",-0.0109761407632376,0.134515226868077,-0.322604178398883,0.216943355648843,-0.0815977567655017,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",2,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.0380212606547944,0.123628523679211,-0.223372837113888,0.277802393728739,0.307544404181767,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",2,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.123190809204903,0.0983175408018512,-0.0725873543569443,0.340231636426169,1.25298912279733,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",3,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",-0.0729881919767432,0.17845952934393,-0.420963324707833,0.28229418861798,-0.408990162896145,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",3,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.0538555469281402,0.1521595710943,-0.224482534024753,0.36631898387989,0.353941237746809,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",3,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.00158546191512677,0.131203009003792,-0.22343064572957,0.28651098206278,0.0120840362364018,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",4,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",0.046812379176298,0.0878035242310408,-0.116168546588141,0.228500431193363,0.533149205413655,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",4,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.0555289120829348,0.0881187856284967,-0.109433265210321,0.234276994620161,0.630159751826827,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",4,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.0435780393770146,0.0929155911646526,-0.132220630233865,0.23341999024516,0.469006749360196,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",5,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",0.227101858031403,0.0760787268355574,0.123042644808101,0.418102323882036,2.98509014908043,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",5,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.227164258385572,0.0768565591195082,0.128884266794366,0.426243723167426,2.95569123817191,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",5,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.210368486029532,0.0987687178348281,0.0954451130042045,0.488732248387668,2.12991006303568,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",1,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",0.0759328976882074,0.0899620424744901,-0.12012192507371,0.231321622154029,0.844054843571822,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",1,"joint_bb","species_equal","record_equal","model_vs_null","M2","Null",0.139039792836525,0.104939587122112,-0.0748914028025189,0.346882779636509,1.32495082789617,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",1,"joint_bb","species_equal","record_equal","model_vs_null","M3","Null",0.0272648807665379,0.167968628055734,-0.295400022471285,0.361245293615951,0.162321268454315,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",2,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",-0.00216176943541403,0.205976431946711,-0.56222084939342,0.212494460783464,-0.0104952271237192,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",2,"joint_bb","species_equal","record_equal","model_vs_null","M2","Null",0.0724130446595449,0.145864973853559,-0.312214718128076,0.259438143209643,0.496438882800224,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",2,"joint_bb","species_equal","record_equal","model_vs_null","M3","Null",0.227636224024625,0.0951360789211455,-0.0259217337283445,0.340785031502862,2.39274339037353,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",3,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",-0.261469378936659,0.234033860245562,-0.76075405301766,0.152367082534419,-1.11722884313539,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",3,"joint_bb","species_equal","record_equal","model_vs_null","M2","Null",-0.0465555213331385,0.163844185176764,-0.386699956109172,0.257227627993356,-0.284145093601655,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
