id,a,b,lo,hi,Group,ReferenceLogP,ReferenceMethod,PrecisionDigits
grid_69,200,1,0.050000000000000003,0.14999999999999999,inherited_266,-379.4239969771762678094824986783800873183849345088329907892857120316464373720621874183807341558465217,closed_b1,100
grid_70,1000,1,0.050000000000000003,0.14999999999999999,inherited_266,-1897.11998488588133904741249339190043659192467254416495394642856015823218686031093709190367077923259,closed_b1,100
grid_71,0.050000000000000003,5,0.050000000000000003,0.14999999999999999,inherited_266,-3.299267430791273269606431156293220755811098307883643159884944204525568184110225029943674549728381903,high_precision_complement_interval,100
grid_72,0.20000000000000001,5,0.050000000000000003,0.14999999999999999,inherited_266,-1.995400108314346776629822091874618234869884828755023746291451767843652052070036866421757292541372604,high_precision_complement_interval,100
grid_73,1,5,0.050000000000000003,0.14999999999999999,inherited_266,-1.10843348410961404613700474156702893184967436457397356554540497846576990235068339310033174167062621,closed_a1,100
grid_74,5,5,0.050000000000000003,0.14999999999999999,inherited_266,-5.18580313810001379558295941893205862806149828472757248440433037350992091120139039251385768027466383,high_precision_lower_interval,100
grid_75,50,5,0.050000000000000003,0.14999999999999999,inherited_266,-82.82789765180033822125608670040340795317988648643233473400683952236154551561066552709896300496244447,high_precision_lower_interval,100
grid_76,200,5,0.050000000000000003,0.14999999999999999,inherited_266,-362.0057130590737849675624246656401702096388347088813402226599019874262138702832325943988897159667366,high_precision_lower_interval,100
grid_77,1000,5,0.050000000000000003,0.14999999999999999,inherited_266,-1873.30640298393923475615129325962939426447389476751862134871402829249520672266743979198731537262995,high_precision_lower_interval,100
grid_78,0.050000000000000003,50,0.050000000000000003,0.14999999999999999,inherited_266,-6.656893167811131322824347654080992188287184991127138966242550506225141537203732645168656784475480528,high_precision_complement_interval,100
grid_79,0.20000000000000001,50,0.050000000000000003,0.14999999999999999,inherited_266,-5.039178872849899638201650508348988522243040978802397235663300575316491827221503881196794186597072628,high_precision_complement_interval,100
grid_80,1,50,0.050000000000000003,0.14999999999999999,inherited_266,-2.568515972308334744607908146378915153568265223178084499839132110495025553909279786733932078665994254,closed_a1,100
grid_81,5,50,0.050000000000000003,0.14999999999999999,inherited_266,-0.2343975037570078253154044769971571622353394363365298924406704726380039683464892003743950703576833779,high_precision_complement_interval,100
