"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"grid_94","inherited_266",1,1000,0.05,0.15,-51.2932943875505,-51.2932943875506,-51.2932943875505,-51.2932943875505,4.2632564145606e-14,7.105427357601e-15,7.105427357601e-15,3.5527136788005e-14,5.12932943875505e-09,TRUE,TRUE,TRUE
"grid_95","inherited_266",5,1000,0.05,0.15,-38.7359307130328,-38.7359307130328,-38.7359307130328,-38.7359307130328,4.2632564145606e-14,1.4210854715202e-14,1.4210854715202e-14,2.8421709430404e-14,3.87359307130328e-09,TRUE,TRUE,TRUE
"grid_96","inherited_266",50,1000,0.05,0.15,-1.06563267517134,-1.06563267517131,-1.06563267517134,-1.06563267517134,3.44169137633799e-14,2.22044604925031e-16,2.22044604925031e-16,3.41948691584548e-14,1.06563267517134e-10,TRUE,TRUE,TRUE
"grid_97","inherited_266",200,1000,0.05,0.15,-2.85523447641057,-2.85523447641046,-2.85523447641057,-2.85523447641057,1.11466391672366e-13,1.77635683940025e-15,1.77635683940025e-15,1.09690034832965e-13,2.85523447641057e-10,TRUE,TRUE,TRUE
"grid_98","inherited_266",1000,1000,0.05,0.15,-677.707912297893,-677.707912297892,-677.707912297893,-677.707912297893,4.54747350886464e-13,1.13686837721616e-13,1.13686837721616e-13,5.6843418860808e-13,6.77707912297893e-08,TRUE,TRUE,TRUE
"grid_99","inherited_266",0.05,0.05,0.4,0.5,-4.6577629532035,-4.65776295320344,-4.65776295320353,-4.65776295320353,5.77315972805081e-14,2.93098878501041e-14,2.93098878501041e-14,8.70414851306123e-14,4.6577629532035e-10,TRUE,TRUE,TRUE
"grid_100","inherited_266",0.2,0.05,0.4,0.5,-4.29778560607657,-4.29778560607656,-4.29778560607657,-4.29778560607657,1.15463194561016e-14,1.77635683940025e-15,1.77635683940025e-15,1.33226762955019e-14,4.29778560607657e-10,TRUE,TRUE,TRUE
"grid_101","inherited_266",1,0.05,0.4,0.5,-4.72781148632624,-4.72781148632624,-4.72781148632624,-4.72781148632624,0,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,4.72781148632624e-10,TRUE,TRUE,TRUE
"grid_102","inherited_266",5,0.05,0.4,0.5,-7.78241006417591,-7.78241006417591,-7.78241006417591,-7.78241006417591,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,7.78241006417591e-10,TRUE,TRUE,TRUE
"grid_103","inherited_266",50,0.05,0.4,0.5,-40.7027872831044,-40.7027872831044,-40.7027872831044,-40.7027872831044,0,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,4.07027872831044e-09,TRUE,TRUE,TRUE
"grid_104","inherited_266",200,0.05,0.4,0.5,-145.978038213633,-145.978038213633,-145.978038213633,-145.978038213633,0,0,0,0,1.45978038213633e-08,TRUE,TRUE,TRUE
"grid_105","inherited_266",1000,0.05,0.4,0.5,-702.020908866351,-702.020908866351,-702.020908866351,-702.020908866351,1.13686837721616e-13,0,0,1.13686837721616e-13,7.02020908866351e-08,TRUE,TRUE,TRUE
"grid_106","inherited_266",0.05,0.2,0.4,0.5,-4.26740161112151,-4.26740161112157,-4.26740161112151,-4.26740161112151,5.41788836017076e-14,0,0,5.41788836017076e-14,4.26740161112151e-10,TRUE,TRUE,TRUE
"grid_107","inherited_266",0.2,0.2,0.4,0.5,-3.43415504657182,-3.43415504657181,-3.43415504657182,-3.43415504657182,8.88178419700125e-16,7.99360577730113e-15,7.99360577730113e-15,8.88178419700125e-15,3.43415504657182e-10,TRUE,TRUE,TRUE
"grid_108","inherited_266",1,0.2,0.4,0.5,-3.43176314684527,-3.43176314684527,-3.43176314684527,-3.43176314684527,3.5527136788005e-15,0,0,3.5527136788005e-15,3.43176314684527e-10,TRUE,TRUE,TRUE
"grid_109","inherited_266",5,0.2,0.4,0.5,-6.19981456482871,-6.19981456482871,-6.19981456482871,-6.19981456482871,1.77635683940025e-15,0,0,1.77635683940025e-15,6.19981456482871e-10,TRUE,TRUE,TRUE
"grid_110","inherited_266",50,0.2,0.4,0.5,-38.7734254491982,-38.7734254491981,-38.7734254491981,-38.7734254491981,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,0,3.87734254491982e-09,TRUE,TRUE,TRUE
"grid_111","inherited_266",200,0.2,0.4,0.5,-143.841989198985,-143.841989198985,-143.841989198985,-143.841989198985,0,0,0,0,1.43841989198985e-08,TRUE,TRUE,TRUE
"grid_112","inherited_266",1000,0.2,0.4,0.5,-699.643808956601,-699.643808956601,-699.643808956601,-699.643808956601,1.13686837721616e-13,0,0,1.13686837721616e-13,6.99643808956601e-08,TRUE,TRUE,TRUE
"grid_113","inherited_266",0.05,1,0.4,0.5,-4.53590302135427,-4.53590302135428,-4.53590302135428,-4.53590302135428,4.44089209850063e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16,4.53590302135427e-10,TRUE,TRUE,TRUE
"grid_114","inherited_266",0.2,1,0.4,0.5,-3.27023870340691,-3.27023870340691,-3.27023870340691,-3.27023870340691,3.99680288865056e-15,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-15,3.27023870340691e-10,TRUE,TRUE,TRUE
"grid_115","inherited_266",1,1,0.4,0.5,-2.30258509299405,-2.30258509299404,-2.30258509299405,-2.30258509299405,2.22044604925031e-15,0,0,2.22044604925031e-15,2.30258509299405e-10,TRUE,TRUE,TRUE
"grid_116","inherited_266",5,1,0.4,0.5,-3.86275676412523,-3.86275676412523,-3.86275676412523,-3.86275676412523,4.44089209850063e-16,0,0,4.44089209850063e-16,3.86275676412523e-10,TRUE,TRUE,TRUE
"grid_117","inherited_266",50,1,0.4,0.5,-34.657373300576,-34.657373300576,-34.657373300576,-34.657373300576,0,0,0,0,3.4657373300576e-09,TRUE,TRUE,TRUE
"grid_118","inherited_266",200,1,0.4,0.5,-138.629436111989,-138.629436111989,-138.629436111989,-138.629436111989,0,0,0,0,1.38629436111989e-08,TRUE,TRUE,TRUE
"grid_119","inherited_266",1000,1,0.4,0.5,-693.147180559945,-693.147180559945,-693.147180559945,-693.147180559945,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,0,6.93147180559945e-08,TRUE,TRUE,TRUE
"grid_120","inherited_266",0.05,5,0.4,0.5,-6.79574890782174,-6.79574890782174,-6.79574890782174,-6.79574890782174,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,3.5527136788005e-15,6.79574890782174e-10,TRUE,TRUE,TRUE
"grid_121","inherited_266",0.2,5,0.4,0.5,-5.24355067319385,-5.24355067319385,-5.24355067319385,-5.24355067319385,8.88178419700125e-16,0,0,8.88178419700125e-16,5.24355067319385e-10,TRUE,TRUE,TRUE
"grid_122","inherited_266",1,5,0.4,0.5,-3.06808793574613,-3.06808793574613,-3.06808793574613,-3.06808793574613,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,3.06808793574613e-10,TRUE,TRUE,TRUE
"grid_123","inherited_266",5,5,0.4,0.5,-1.45486309399491,-1.45486309399491,-1.45486309399491,-1.45486309399491,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,1.45486309399491e-10,TRUE,TRUE,TRUE
"grid_124","inherited_266",50,5,0.4,0.5,-24.6858299221188,-24.6858299221188,-24.6858299221188,-24.6858299221188,3.5527136788005e-15,0,0,3.5527136788005e-15,2.46858299221188e-09,TRUE,TRUE,TRUE
"grid_125","inherited_266",200,5,0.4,0.5,-123.317182403869,-123.317182403869,-123.317182403869,-123.317182403869,0,0,0,0,1.23317182403869e-08,TRUE,TRUE,TRUE
"grid_126","inherited_266",1000,5,0.4,0.5,-671.452816982002,-671.452816982002,-671.452816982002,-671.452816982002,2.27373675443232e-13,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,6.71452816982002e-08,TRUE,TRUE,TRUE
"grid_127","inherited_266",0.05,50,0.4,0.5,-31.383517266237,-31.383517266237,-31.3835172662371,-31.3835172662371,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,7.105427357601e-15,3.1383517266237e-09,TRUE,TRUE,TRUE
"grid_128","inherited_266",0.2,50,0.4,0.5,-29.4862766516261,-29.4862766516261,-29.4862766516261,-29.4862766516261,3.5527136788005e-15,0,0,3.5527136788005e-15,2.94862766516261e-09,TRUE,TRUE,TRUE
"grid_129","inherited_266",1,50,0.4,0.5,-25.5413910791564,-25.5413910791564,-25.5413910791564,-25.5413910791564,0,0,0,0,2.55413910791564e-09,TRUE,TRUE,TRUE
"grid_130","inherited_266",5,50,0.4,0.5,-16.4215914441046,-16.4215914441046,-16.4215914441046,-16.4215914441046,7.105427357601e-15,0,0,7.105427357601e-15,1.64215914441046e-09,TRUE,TRUE,TRUE
"grid_131","inherited_266",50,50,0.4,0.5,-0.737999038521172,-0.737999038521167,-0.737999038521173,-0.737999038521173,4.77395900588817e-15,4.44089209850063e-16,4.44089209850063e-16,5.21804821573824e-15,1e-10,TRUE,TRUE,TRUE
"grid_132","inherited_266",200,50,0.4,0.5,-51.5907434640698,-51.5907434640699,-51.5907434640698,-51.5907434640698,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,1.4210854715202e-14,5.15907434640698e-09,TRUE,TRUE,TRUE
"grid_133","inherited_266",1000,50,0.4,0.5,-531.941721129327,-531.941721129327,-531.941721129327,-531.941721129327,2.27373675443232e-13,0,0,2.27373675443232e-13,5.31941721129327e-08,TRUE,TRUE,TRUE
"grid_134","inherited_266",0.05,200,0.4,0.5,-109.304061703298,-109.304061703298,-109.304061703298,-109.304061703298,0,0,0,0,1.09304061703298e-08,TRUE,TRUE,TRUE
"grid_135","inherited_266",0.2,200,0.4,0.5,-107.201119465827,-107.201119465827,-107.201119465827,-107.201119465827,1.4210854715202e-14,0,0,1.4210854715202e-14,1.07201119465827e-08,TRUE,TRUE,TRUE
"grid_136","inherited_266",1,200,0.4,0.5,-102.165124753198,-102.165124753198,-102.165124753198,-102.165124753198,0,0,0,0,1.02165124753198e-08,TRUE,TRUE,TRUE
"grid_137","inherited_266",5,200,0.4,0.5,-87.7353739326009,-87.7353739326009,-87.7353739326009,-87.7353739326009,0,0,0,0,8.77353739326009e-09,TRUE,TRUE,TRUE
"grid_138","inherited_266",50,200,0.4,0.5,-25.8901096593552,-25.8901096593552,-25.8901096593552,-25.8901096593552,1.06581410364015e-14,3.5527136788005e-15,3.5527136788005e-15,1.4210854715202e-14,2.58901096593552e-09,TRUE,TRUE,TRUE
"grid_139","inherited_266",200,200,0.4,0.5,-0.693201004873004,-0.693201004873014,-0.693201004873002,-0.693201004873002,9.88098491916389e-15,2.1094237467878e-15,2.1094237467878e-15,1.19904086659517e-14,1e-10,TRUE,TRUE,TRUE
"grid_140","inherited_266",1000,200,0.4,0.5,-295.457868048466,-295.457868048466,-295.457868048466,-295.457868048466,1.13686837721616e-13,5.6843418860808e-14,5.6843418860808e-14,1.70530256582424e-13,2.95457868048466e-08,TRUE,TRUE,TRUE
"grid_141","inherited_266",0.05,1000,0.4,0.5,-519.487838487715,-519.487838487715,-519.487838487715,-519.487838487715,1.13686837721616e-13,0,0,1.13686837721616e-13,5.19487838487715e-08,TRUE,TRUE,TRUE
"grid_142","inherited_266",0.2,1000,0.4,0.5,-517.144135533734,-517.144135533734,-517.144135533733,-517.144135533733,0,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,5.17144135533734e-08,TRUE,TRUE,TRUE
"grid_143","inherited_266",1,1000,0.4,0.5,-510.825623765991,-510.825623765991,-510.825623765991,-510.825623765991,0,0,0,0,5.10825623765991e-08,TRUE,TRUE,TRUE
"grid_144","inherited_266",5,1000,0.4,0.5,-490.021831422666,-490.021831422666,-490.021831422666,-490.021831422666,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,0,4.90021831422666e-08,TRUE,TRUE,TRUE
"grid_145","inherited_266",50,1000,0.4,0.5,-360.528203372665,-360.528203372665,-360.528203372665,-360.528203372665,5.6843418860808e-14,0,0,5.6843418860808e-14,3.60528203372666e-08,TRUE,TRUE,TRUE
"grid_146","inherited_266",200,1000,0.4,0.5,-157.410123137825,-157.410123137824,-157.410123137825,-157.410123137825,1.4210854715202e-13,0,0,1.4210854715202e-13,1.57410123137825e-08,TRUE,TRUE,TRUE
"grid_147","inherited_266",1000,1000,0.4,0.5,-0.693147180559945,-0.693147180559806,-0.693147180559943,-0.693147180559943,1.39332989590457e-13,2.22044604925031e-15,2.22044604925031e-15,1.37112543541207e-13,1e-10,TRUE,TRUE,TRUE
"grid_148","inherited_266",0.05,0.05,0.7,0.9,-3.4818901026637,-3.48189010266369,-3.4818901026637,-3.4818901026637,1.50990331349021e-14,1.77635683940025e-15,1.77635683940025e-15,1.68753899743024e-14,3.4818901026637e-10,TRUE,TRUE,TRUE
"grid_149","inherited_266",0.2,0.05,0.7,0.9,-3.03312417812784,-3.03312417812787,-3.03312417812784,-3.03312417812784,2.22044604925031e-14,3.99680288865056e-15,3.99680288865056e-15,2.62012633811537e-14,3.03312417812784e-10,TRUE,TRUE,TRUE
"grid_150","inherited_266",1,0.05,0.7,0.9,-2.98922267268135,-2.98922267268136,-2.98922267268135,-2.98922267268135,6.66133814775094e-15,8.88178419700125e-16,8.88178419700125e-16,7.54951656745106e-15,2.98922267268135e-10,TRUE,TRUE,TRUE
"grid_151","inherited_266",5,0.05,0.7,0.9,-3.6663645393972,-3.66636453939716,-3.6663645393972,-3.6663645393972,4.08562073062058e-14,4.44089209850063e-16,4.44089209850063e-16,4.13002965160558e-14,3.6663645393972e-10,TRUE,TRUE,TRUE
"grid_152","inherited_266",50,0.05,0.7,0.9,-9.90416637064749,-9.9041663706475,-9.9041663706475,-9.9041663706475,1.77635683940025e-15,5.32907051820075e-15,5.32907051820075e-15,3.5527136788005e-15,9.90416637064749e-10,TRUE,TRUE,TRUE
"grid_153","inherited_266",200,0.05,0.7,0.9,-26.92709346749,-26.92709346749,-26.92709346749,-26.92709346749,0,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,2.692709346749e-09,TRUE,TRUE,TRUE
"grid_154","inherited_266",1000,0.05,0.7,0.9,-112.712761412296,-112.712761412296,-112.712761412296,-112.712761412296,0,0,0,0,1.12712761412296e-08,TRUE,TRUE,TRUE
"grid_155","inherited_266",0.05,0.2,0.7,0.9,-3.25966493984953,-3.25966493984953,-3.25966493984953,-3.25966493984953,1.33226762955019e-15,0,0,1.33226762955019e-15,3.25966493984953e-10,TRUE,TRUE,TRUE
"grid_156","inherited_266",0.2,0.2,0.7,0.9,-2.33806299736546,-2.33806299736546,-2.33806299736546,-2.33806299736546,1.33226762955019e-15,8.88178419700125e-16,8.88178419700125e-16,2.22044604925031e-15,2.33806299736546e-10,TRUE,TRUE,TRUE
"grid_157","inherited_266",1,0.2,0.7,0.9,-1.86403510162054,-1.86403510162054,-1.86403510162054,-1.86403510162054,1.11022302462516e-15,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,1.86403510162054e-10,TRUE,TRUE,TRUE
"grid_158","inherited_266",5,0.2,0.7,0.9,-2.26537028064009,-2.26537028064009,-2.26537028064009,-2.26537028064009,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,2.26537028064009e-10,TRUE,TRUE,TRUE
"grid_159","inherited_266",50,0.2,0.7,0.9,-8.19826376562612,-8.19826376562612,-8.19826376562612,-8.19826376562612,0,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,8.19826376562612e-10,TRUE,TRUE,TRUE
"grid_160","inherited_266",200,0.2,0.7,0.9,-25.026973576758,-25.0269735767581,-25.0269735767581,-25.0269735767581,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,0,2.5026973576758e-09,TRUE,TRUE,TRUE
"grid_161","inherited_266",1000,0.2,0.7,0.9,-110.575900157094,-110.575900157094,-110.575900157094,-110.575900157094,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,0,1.10575900157094e-08,TRUE,TRUE,TRUE
"grid_162","inherited_266",0.05,1,0.7,0.9,-4.38832700250899,-4.38832700250899,-4.38832700250899,-4.38832700250899,0,0,0,0,4.38832700250899e-10,TRUE,TRUE,TRUE
"grid_163","inherited_266",0.2,1,0.7,0.9,-3.03658661721958,-3.03658661721958,-3.03658661721958,-3.03658661721958,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,3.03658661721958e-10,TRUE,TRUE,TRUE
"grid_164","inherited_266",1,1,0.7,0.9,-1.6094379124341,-1.6094379124341,-1.6094379124341,-1.6094379124341,4.44089209850063e-16,0,0,4.44089209850063e-16,1.6094379124341e-10,TRUE,TRUE,TRUE
"grid_165","inherited_266",5,1,0.7,0.9,-0.861755199226141,-0.86175519922614,-0.861755199226141,-0.861755199226141,7.7715611723761e-16,1.11022302462516e-16,1.11022302462516e-16,6.66133814775094e-16,1e-10,TRUE,TRUE,TRUE
"grid_166","inherited_266",50,1,0.7,0.9,-5.26802927250448,-5.26802927250448,-5.26802927250448,-5.26802927250448,0,0,0,0,5.26802927250448e-10,TRUE,TRUE,TRUE
"grid_167","inherited_266",200,1,0.7,0.9,-21.0721031315653,-21.0721031315653,-21.0721031315653,-21.0721031315653,0,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,2.10721031315653e-09,TRUE,TRUE,TRUE
"grid_168","inherited_266",1000,1,0.7,0.9,-105.360515657826,-105.360515657826,-105.360515657826,-105.360515657826,0,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.05360515657826e-08,TRUE,TRUE,TRUE
"grid_169","inherited_266",0.05,5,0.7,0.9,-10.2499225396879,-10.2499225396879,-10.2499225396879,-10.2499225396879,1.77635683940025e-15,0,0,1.77635683940025e-15,1.02499225396879e-09,TRUE,TRUE,TRUE
"grid_170","inherited_266",0.2,5,0.7,0.9,-8.61897293687351,-8.61897293687351,-8.61897293687351,-8.61897293687351,1.77635683940025e-15,0,0,1.77635683940025e-15,8.61897293687351e-10,TRUE,TRUE,TRUE
"grid_171","inherited_266",1,5,0.7,0.9,-6.02398773881354,-6.02398773881354,-6.02398773881354,-6.02398773881354,1.77635683940025e-15,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,6.02398773881354e-10,TRUE,TRUE,TRUE
"grid_172","inherited_266",5,5,0.7,0.9,-2.32362754054983,-2.32362754054983,-2.32362754054983,-2.32362754054983,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,2.32362754054983e-10,TRUE,TRUE,TRUE
"grid_173","inherited_266",50,5,0.7,0.9,-1.01779369934789,-1.0177936993479,-1.01779369934789,-1.01779369934789,5.77315972805081e-15,8.88178419700125e-16,8.88178419700125e-16,4.88498130835069e-15,1.01779369934789e-10,TRUE,TRUE,TRUE
"grid_174","inherited_266",200,5,0.7,0.9,-12.0309029732525,-12.0309029732525,-12.0309029732525,-12.0309029732525,0,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,1.20309029732525e-09,TRUE,TRUE,TRUE
"grid_175","inherited_266",1000,5,0.7,0.9,-90.0716193488078,-90.0716193488078,-90.0716193488078,-90.0716193488078,0,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,9.00716193488078e-09,TRUE,TRUE,TRUE
"grid_176","inherited_266",0.05,50,0.7,0.9,-66.553465394975,-66.5534653949751,-66.5534653949751,-66.5534653949751,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,0,6.6553465394975e-09,TRUE,TRUE,TRUE
"grid_177","inherited_266",0.2,50,0.7,0.9,-64.5752328636835,-64.5752328636835,-64.5752328636835,-64.5752328636835,0,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,6.45752328636835e-09,TRUE,TRUE,TRUE
"grid_178","inherited_266",1,50,0.7,0.9,-60.1986402162968,-60.1986402162968,-60.1986402162968,-60.1986402162968,0,0,0,0,6.01986402162968e-09,TRUE,TRUE,TRUE
"grid_179","inherited_266",5,50,0.7,0.9,-48.9271708013552,-48.9271708013552,-48.9271708013552,-48.9271708013552,7.105427357601e-15,0,0,7.105427357601e-15,4.89271708013552e-09,TRUE,TRUE,TRUE
"grid_180","inherited_266",50,50,0.7,0.9,-11.0715914237913,-11.0715914237912,-11.0715914237913,-11.0715914237913,1.59872115546023e-14,3.5527136788005e-15,3.5527136788005e-15,1.24344978758018e-14,1.10715914237913e-09,TRUE,TRUE,TRUE
"grid_181","inherited_266",200,50,0.7,0.9,-0.000152216309616084,-0.000152216309616083,-0.000152216309616112,-0.000152216309616112,1.05709711817337e-18,2.77555756156289e-17,2.77555756156289e-17,2.88126727338023e-17,1e-10,TRUE,TRUE,TRUE
"grid_182","inherited_266",1000,50,0.7,0.9,-22.4992793336177,-22.4992793336177,-22.4992793336177,-22.4992793336177,3.19744231092045e-14,3.5527136788005e-15,3.5527136788005e-15,2.8421709430404e-14,2.24992793336177e-09,TRUE,TRUE,TRUE
"grid_183","inherited_266",0.05,200,0.7,0.9,-248.460138502024,-248.460138502024,-248.460138502024,-248.460138502024,0,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.48460138502024e-08,TRUE,TRUE,TRUE
"grid_184","inherited_266",0.2,200,0.7,0.9,-246.27403955178,-246.27403955178,-246.27403955178,-246.27403955178,0,0,0,0,2.4627403955178e-08,TRUE,TRUE,TRUE
"grid_185","inherited_266",1,200,0.7,0.9,-240.794560865187,-240.794560865187,-240.794560865187,-240.794560865187,0,0,0,0,2.40794560865187e-08,TRUE,TRUE,TRUE
"grid_186","inherited_266",5,200,0.7,0.9,-224.147869220627,-224.147869220627,-224.147869220627,-224.147869220627,0,0,0,0,2.24147869220627e-08,TRUE,TRUE,TRUE
"grid_187","inherited_266",50,200,0.7,0.9,-137.435586440419,-137.435586440419,-137.435586440419,-137.435586440419,0,0,0,0,1.37435586440419e-08,TRUE,TRUE,TRUE
"grid_188","inherited_266",200,200,0.7,0.9,-37.8823431324667,-37.8823431324666,-37.8823431324666,-37.8823431324666,2.1316282072803e-14,1.4210854715202e-14,1.4210854715202e-14,7.105427357601e-15,3.78823431324667e-09,TRUE,TRUE,TRUE
"grid_189","inherited_266",1000,200,0.7,0.9,-7.17106857733975e-13,-7.17106857734005e-13,-7.1710685773396e-13,-7.1710685773396e-13,3.069615554396e-26,1.43383358132971e-26,1.43383358132971e-26,4.50344913572571e-26,1e-10,TRUE,TRUE,TRUE
"grid_190","inherited_266",0.05,1000,0.7,0.9,-1213.16564007875,-1213.16564007875,-1213.16564007875,-1213.16564007875,0,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,1.21316564007875e-07,TRUE,TRUE,TRUE
"grid_191","inherited_266",0.2,1000,0.7,0.9,-1210.73815473423,-1210.73815473423,-1210.73815473423,-1210.73815473423,2.27373675443232e-13,0,0,2.27373675443232e-13,1.21073815473423e-07,TRUE,TRUE,TRUE
"grid_192","inherited_266",1,1000,0.7,0.9,-1203.97280432594,-1203.97280432594,-1203.97280432594,-1203.97280432594,0,0,0,0,1.20397280432594e-07,TRUE,TRUE,TRUE
"grid_193","inherited_266",5,1000,0.7,0.9,-1180.9348384789,-1180.9348384789,-1180.9348384789,-1180.9348384789,4.54747350886464e-13,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,1.1809348384789e-07,TRUE,TRUE,TRUE
"grid_194","inherited_266",50,1000,0.7,0.9,-1026.30914613031,-1026.30914613031,-1026.30914613031,-1026.30914613031,0,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,1.02630914613031e-07,TRUE,TRUE,TRUE
"grid_195","inherited_266",200,1000,0.7,0.9,-739.457795742164,-739.457795742163,-739.457795742163,-739.457795742163,2.27373675443232e-13,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,7.39457795742164e-08,TRUE,TRUE,TRUE
"grid_196","inherited_266",1000,1000,0.7,0.9,-178.159216599537,-178.159216599537,-178.159216599537,-178.159216599537,2.8421709430404e-14,5.6843418860808e-14,5.6843418860808e-14,2.8421709430404e-14,1.78159216599537e-08,TRUE,TRUE,TRUE
"grid_197","inherited_266",0.05,0.05,0.95,0.999,-2.55421555219908,-2.55421555219908,-2.55421555219908,-2.55421555219908,0,0,0,0,2.55421555219908e-10,TRUE,TRUE,TRUE
"grid_198","inherited_266",0.2,0.05,0.95,0.999,-2.07611717009,-2.07611717009,-2.07611717009,-2.07611717009,3.5527136788005e-15,0,0,3.5527136788005e-15,2.07611717009e-10,TRUE,TRUE,TRUE
"grid_199","inherited_266",1,0.05,0.95,0.999,-1.87767117868944,-1.87767117868944,-1.87767117868944,-1.87767117868944,6.66133814775094e-16,2.22044604925031e-16,2.22044604925031e-16,8.88178419700125e-16,1.87767117868944e-10,TRUE,TRUE,TRUE
"grid_200","inherited_266",5,0.05,0.95,0.999,-1.82728006580115,-1.82728006580116,-1.82728006580115,-1.82728006580115,3.99680288865056e-15,1.33226762955019e-15,1.33226762955019e-15,5.32907051820075e-15,1.82728006580116e-10,TRUE,TRUE,TRUE
"grid_201","inherited_266",50,0.05,0.95,0.999,-2.14687317366057,-2.14687317366057,-2.14687317366057,-2.14687317366057,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,2.14687317366057e-10,TRUE,TRUE,TRUE
"grid_202","inherited_266",200,0.05,0.95,0.999,-2.79912101608438,-2.79912101608438,-2.79912101608438,-2.79912101608438,2.66453525910038e-15,4.44089209850063e-16,4.44089209850063e-16,3.10862446895044e-15,2.79912101608438e-10,TRUE,TRUE,TRUE
"grid_203","inherited_266",1000,0.05,0.95,0.999,-4.46339485895792,-4.46339485895792,-4.46339485895793,-4.46339485895793,1.77635683940025e-15,8.88178419700125e-16,8.88178419700125e-16,2.66453525910038e-15,4.46339485895792e-10,TRUE,TRUE,TRUE
"grid_204","inherited_266",0.05,0.2,0.95,0.999,-2.79109048739262,-2.79109048739262,-2.79109048739262,-2.79109048739262,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,2.79109048739262e-10,TRUE,TRUE,TRUE
"grid_205","inherited_266",0.2,0.2,0.95,0.999,-1.8399600265563,-1.8399600265563,-1.8399600265563,-1.8399600265563,1.11022302462516e-15,0,0,1.11022302462516e-15,1.8399600265563e-10,TRUE,TRUE,TRUE
"grid_206","inherited_266",1,0.2,0.95,0.999,-1.2103543615435,-1.2103543615435,-1.2103543615435,-1.2103543615435,6.66133814775094e-16,2.22044604925031e-16,2.22044604925031e-16,8.88178419700125e-16,1.2103543615435e-10,TRUE,TRUE,TRUE
"grid_207","inherited_266",5,0.2,0.95,0.999,-0.879573836201002,-0.879573836201001,-0.879573836201001,-0.879573836201001,1.22124532708767e-15,9.99200722162641e-16,9.99200722162641e-16,2.22044604925031e-16,1e-10,TRUE,TRUE,TRUE
"grid_208","inherited_266",50,0.2,0.95,0.999,-0.913675645187393,-0.913675645187394,-0.913675645187393,-0.913675645187393,9.99200722162641e-16,0,0,9.99200722162641e-16,1e-10,TRUE,TRUE,TRUE
"grid_209","inherited_266",200,0.2,0.95,0.999,-1.44494841361737,-1.44494841361737,-1.44494841361737,-1.44494841361737,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,1.44494841361737e-10,TRUE,TRUE,TRUE
"grid_210","inherited_266",1000,0.2,0.95,0.999,-2.94937550392243,-2.94937550392244,-2.94937550392243,-2.94937550392243,8.88178419700125e-15,0,0,8.88178419700125e-15,2.94937550392243e-10,TRUE,TRUE,TRUE
"grid_211","inherited_266",0.05,1,0.95,0.999,-5.98693282645002,-5.98693282645002,-5.98693282645002,-5.98693282645002,0,0,0,0,5.98693282645002e-10,TRUE,TRUE,TRUE
