"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"grid_10","inherited_266",1,0.2,0.001,0.01,-6.31555155558378,-6.31555155558378,-6.31555155558378,-6.31555155558378,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,6.31555155558378e-10,TRUE,TRUE,TRUE
"grid_11","inherited_266",5,0.2,0.001,0.01,-25.8470802226938,-25.8470802226938,-25.8470802226938,-25.8470802226938,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,2.58470802226938e-09,TRUE,TRUE,TRUE
"grid_12","inherited_266",50,0.2,0.001,0.01,-234.905912844632,-234.905912844632,-234.905912844632,-234.905912844632,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,0,2.34905912844632e-08,TRUE,TRUE,TRUE
"grid_13","inherited_266",200,0.2,0.001,0.01,-926.789155044552,-926.789155044552,-926.789155044552,-926.789155044552,1.13686837721616e-13,0,0,1.13686837721616e-13,9.26789155044553e-08,TRUE,TRUE,TRUE
"grid_14","inherited_266",1000,0.2,0.001,0.01,-4612.21250184564,-4612.21250184564,-4612.21250184564,-4612.21250184564,0,0,0,0,4.61221250184564e-07,TRUE,TRUE,TRUE
"grid_15","inherited_266",0.05,1,0.001,0.01,-2.44897074486716,-2.44897074486716,-2.44897074486716,-2.44897074486716,4.88498130835069e-15,0,0,4.88498130835069e-15,2.44897074486716e-10,TRUE,TRUE,TRUE
"grid_16","inherited_266",0.2,1,0.001,0.01,-1.91787708120547,-1.91787708120546,-1.91787708120546,-1.91787708120546,6.66133814775094e-16,2.22044604925031e-16,2.22044604925031e-16,4.44089209850063e-16,1.91787708120547e-10,TRUE,TRUE,TRUE
"grid_17","inherited_266",1,1,0.001,0.01,-4.71053070164592,-4.71053070164592,-4.71053070164592,-4.71053070164592,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,4.71053070164592e-10,TRUE,TRUE,TRUE
"grid_18","inherited_266",5,1,0.001,0.01,-23.0258609299905,-23.0258609299905,-23.0258609299905,-23.0258609299905,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,2.30258609299905e-09,TRUE,TRUE,TRUE
"grid_19","inherited_266",50,1,0.001,0.01,-230.258509299405,-230.258509299405,-230.258509299405,-230.258509299405,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,0,2.30258509299405e-08,TRUE,TRUE,TRUE
"grid_20","inherited_266",200,1,0.001,0.01,-921.034037197618,-921.034037197618,-921.034037197618,-921.034037197618,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,0,9.21034037197618e-08,TRUE,TRUE,TRUE
"grid_21","inherited_266",1000,1,0.001,0.01,-4605.17018598809,-4605.17018598809,-4605.17018598809,-4605.17018598809,0,0,0,0,4.60517018598809e-07,TRUE,TRUE,TRUE
"grid_22","inherited_266",0.05,5,0.001,0.01,-2.36248403195629,-2.36248403195629,-2.36248403195629,-2.36248403195629,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,2.36248403195629e-10,TRUE,TRUE,TRUE
"grid_23","inherited_266",0.2,5,0.001,0.01,-1.54383777281593,-1.54383777281593,-1.54383777281593,-1.54383777281593,2.44249065417534e-15,2.22044604925031e-16,2.22044604925031e-16,2.66453525910038e-15,1.54383777281593e-10,TRUE,TRUE,TRUE
"grid_24","inherited_266",1,5,0.001,0.01,-3.1231125635163,-3.1231125635163,-3.1231125635163,-3.1231125635163,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,3.1231125635163e-10,TRUE,TRUE,TRUE
"grid_25","inherited_266",5,5,0.001,0.01,-18.2230402083807,-18.2230402083807,-18.2230402083807,-18.2230402083807,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,1.82230402083807e-09,TRUE,TRUE,TRUE
"grid_26","inherited_266",50,5,0.001,0.01,-217.633626777825,-217.633626777825,-217.633626777825,-217.633626777825,0,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.17633626777825e-08,TRUE,TRUE,TRUE
"grid_27","inherited_266",200,5,0.001,0.01,-903.009192767956,-903.009192767956,-903.009192767956,-903.009192767956,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,0,9.03009192767956e-08,TRUE,TRUE,TRUE
"grid_28","inherited_266",1000,5,0.001,0.01,-4580.7473946486,-4580.7473946486,-4580.7473946486,-4580.7473946486,0,0,0,0,4.5807473946486e-07,TRUE,TRUE,TRUE
"grid_29","inherited_266",0.05,50,0.001,0.01,-2.41555258549744,-2.41555258549744,-2.41555258549744,-2.41555258549744,2.66453525910038e-15,0,0,2.66453525910038e-15,2.41555258549744e-10,TRUE,TRUE,TRUE
"grid_30","inherited_266",0.2,50,0.001,0.01,-1.25187071836755,-1.25187071836755,-1.25187071836755,-1.25187071836755,1.99840144432528e-15,4.44089209850063e-16,4.44089209850063e-16,1.55431223447522e-15,1.25187071836755e-10,TRUE,TRUE,TRUE
"grid_31","inherited_266",1,50,0.001,0.01,-1.06073990412213,-1.06073990412213,-1.06073990412213,-1.06073990412213,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,1.06073990412213e-10,TRUE,TRUE,TRUE
"grid_32","inherited_266",5,50,0.001,0.01,-8.46659705029385,-8.46659705029384,-8.46659705029385,-8.46659705029385,1.24344978758018e-14,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-15,8.46659705029385e-10,TRUE,TRUE,TRUE
"grid_33","inherited_266",50,50,0.001,0.01,-164.650532758291,-164.650532758291,-164.650532758291,-164.650532758291,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,0,1.64650532758291e-08,TRUE,TRUE,TRUE
"grid_34","inherited_266",200,50,0.001,0.01,-800.797998602007,-800.797998602007,-800.797998602007,-800.797998602007,0,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,8.00797998602007e-08,TRUE,TRUE,TRUE
"grid_35","inherited_266",1000,50,0.001,0.01,-4410.54261982148,-4410.54261982148,-4410.54261982148,-4410.54261982148,0,9.09494701772928e-13,9.09494701772928e-13,9.09494701772928e-13,4.41054261982148e-07,TRUE,TRUE,TRUE
"grid_36","inherited_266",0.05,200,0.001,0.01,-2.84311121065336,-2.84311121065337,-2.84311121065336,-2.84311121065336,3.99680288865056e-15,0,0,3.99680288865056e-15,2.84311121065336e-10,TRUE,TRUE,TRUE
"grid_37","inherited_266",0.2,200,0.001,0.01,-1.50114497850495,-1.50114497850496,-1.50114497850495,-1.50114497850495,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,1.33226762955019e-15,1.50114497850495e-10,TRUE,TRUE,TRUE
"grid_38","inherited_266",1,200,0.001,0.01,-0.378819543350419,-0.378819543350418,-0.378819543350419,-0.378819543350419,7.7715611723761e-16,1.11022302462516e-16,1.11022302462516e-16,6.66133814775094e-16,1e-10,TRUE,TRUE,TRUE
"grid_39","inherited_266",5,200,0.001,0.01,-2.89304292416295,-2.89304292416295,-2.89304292416295,-2.89304292416295,2.66453525910038e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16,2.89304292416295e-10,TRUE,TRUE,TRUE
"grid_40","inherited_266",50,200,0.001,0.01,-110.106021067701,-110.106021067701,-110.106021067701,-110.106021067701,1.4210854715202e-14,0,0,1.4210854715202e-14,1.10106021067701e-08,TRUE,TRUE,TRUE
"grid_41","inherited_266",200,200,0.001,0.01,-649.680427786202,-649.680427786202,-649.680427786202,-649.680427786202,1.13686837721616e-13,0,0,1.13686837721616e-13,6.49680427786202e-08,TRUE,TRUE,TRUE
"grid_42","inherited_266",1000,200,0.001,0.01,-4071.76386855842,-4071.76386855842,-4071.76386855841,-4071.76386855841,0,4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,4.07176386855842e-07,TRUE,TRUE,TRUE
"grid_43","inherited_266",0.05,1000,0.001,0.01,-4.46341472767966,-4.46341472767966,-4.46341472767966,-4.46341472767966,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,1.77635683940025e-15,4.46341472767966e-10,TRUE,TRUE,TRUE
"grid_44","inherited_266",0.2,1000,0.001,0.01,-2.94940202672491,-2.94940202672492,-2.94940202672491,-2.94940202672491,1.02140518265514e-14,8.88178419700125e-16,8.88178419700125e-16,1.11022302462516e-14,2.94940202672491e-10,TRUE,TRUE,TRUE
"grid_45","inherited_266",1,1000,0.001,0.01,-1.00061775082366,-1.00061775082366,-1.00061775082366,-1.00061775082366,1.55431223447522e-15,2.22044604925031e-16,2.22044604925031e-16,1.77635683940025e-15,1.00061775082366e-10,TRUE,TRUE,TRUE
"grid_46","inherited_266",5,1000,0.001,0.01,-0.0321584571270018,-0.0321584571270022,-0.0321584571270017,-0.0321584571270017,4.37150315946155e-16,6.93889390390723e-17,6.93889390390723e-17,5.06539254985228e-16,1e-10,TRUE,TRUE,TRUE
"grid_47","inherited_266",50,1000,0.001,0.01,-41.9642547781073,-41.9642547781073,-41.9642547781073,-41.9642547781073,4.2632564145606e-14,7.105427357601e-15,7.105427357601e-15,3.5527136788005e-14,4.19642547781073e-09,TRUE,TRUE,TRUE
"grid_48","inherited_266",200,1000,0.001,0.01,-394.009069662853,-394.009069662853,-394.009069662853,-394.009069662853,1.70530256582424e-13,0,0,1.70530256582424e-13,3.94009069662853e-08,TRUE,TRUE,TRUE
"grid_49","inherited_266",1000,1000,0.001,0.01,-3233.62549337211,-3233.62549337211,-3233.62549337211,-3233.62549337211,4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,9.09494701772928e-13,3.23362549337211e-07,TRUE,TRUE,TRUE
"grid_50","inherited_266",0.05,0.05,0.05,0.15,-3.62112732446022,-3.62112732446021,-3.62112732446022,-3.62112732446022,3.10862446895044e-15,1.77635683940025e-15,1.77635683940025e-15,4.88498130835069e-15,3.62112732446022e-10,TRUE,TRUE,TRUE
"grid_51","inherited_266",0.2,0.05,0.05,0.15,-3.50465633798529,-3.50465633798528,-3.50465633798529,-3.50465633798529,4.44089209850063e-15,0,0,4.44089209850063e-15,3.50465633798529e-10,TRUE,TRUE,TRUE
"grid_52","inherited_266",1,0.05,0.05,0.15,-5.19727068265805,-5.19727068265805,-5.19727068265805,-5.19727068265805,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,5.19727068265805e-10,TRUE,TRUE,TRUE
"grid_53","inherited_266",5,0.05,0.05,0.15,-13.8647345526447,-13.8647345526447,-13.8647345526447,-13.8647345526447,1.77635683940025e-15,0,0,1.77635683940025e-15,1.38647345526447e-09,TRUE,TRUE,TRUE
"grid_54","inherited_266",50,0.05,0.05,0.15,-101.390654739476,-101.390654739476,-101.390654739476,-101.390654739476,0,0,0,0,1.01390654739476e-08,TRUE,TRUE,TRUE
"grid_55","inherited_266",200,0.05,0.05,0.15,-387.272836527035,-387.272836527035,-387.272836527035,-387.272836527035,5.6843418860808e-14,0,0,5.6843418860808e-14,3.87272836527035e-08,TRUE,TRUE,TRUE
"grid_56","inherited_266",1000,0.05,0.05,0.15,-1906.49702980861,-1906.49702980861,-1906.49702980861,-1906.49702980861,2.27373675443232e-13,4.54747350886464e-13,4.54747350886464e-13,2.27373675443232e-13,1.90649702980861e-07,TRUE,TRUE,TRUE
"grid_57","inherited_266",0.05,0.2,0.05,0.15,-3.15559965258082,-3.1555996525808,-3.15559965258083,-3.15559965258083,2.1316282072803e-14,5.32907051820075e-15,5.32907051820075e-15,2.66453525910038e-14,3.15559965258082e-10,TRUE,TRUE,TRUE
"grid_58","inherited_266",0.2,0.2,0.05,0.15,-2.56600877823685,-2.56600877823685,-2.56600877823685,-2.56600877823685,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,2.56600877823685e-10,TRUE,TRUE,TRUE
