"Case","Stan","Audit","AbsDifference","Allowed"
"actual_chain_left_tail",-0.29329910979218,-0.29329910979218,1.11022302462516e-16,1e-10
"actual_chain_right_tail",-37.1798602333756,-37.1798602333756,7.105427357601e-15,3.71798602333756e-09
"actual_chain_endpoint",-0.0276960650822317,-0.0276960650822314,2.22044604925031e-16,1e-10
"actual_chain_narrow",-21.5984923858451,-21.5984923858451,3.5527136788005e-15,2.15984923858451e-09
"actual_chain_u_shape",-0.735358603805123,-0.735358603805123,3.33066907387547e-16,1e-10
