"Case","Mode","Stan","Reference","AbsError"
"beta_1_100_upper","a_b",-51.0825623886737,-51.0825623886737,0
"beta_200_1_lower","a_b",-71.3349887877465,-71.3349887877465,0
"underflow_upper","a_b",-1021.65124753198,-1021.65124753198,0
"underflow_lower","a_b",-713.349887877465,-713.349887877465,0
"near_zero","a_b",-4.68135387784411,-4.68135387784411,8.88178419700125e-16
"near_one","a_b",-4.68135387633668,-4.68135387633668,8.88178419700125e-16
"narrow_middle","a_b",-27.731964914286,-27.731964914286,3.5527136788005e-15
"narrow_tail","a_b",-237.327322129468,-237.327322129468,5.6843418860808e-14
"u_shaped","a_b",-0.276760542291714,-0.276760542291714,1.11022302462516e-16
"wide_center","a_b",-0.00107385637742568,-0.0010738563774257,1.66967134562768e-17
"skew_left","a_b",-50.661788160339,-50.661788160339,0
"skew_right","a_b",-299.067366239022,-299.067366239022,0
"concentrated_center","a_b",-0.224150341411172,-0.2241503414112,2.88657986402541e-14
"full_support","a_b",0,0,0
"left_boundary","a_b",-0.00220977769053513,-0.00220977769053513,0
"right_boundary","a_b",-0.00220977769053513,-0.00220977769053513,0
"cf_switch_left","a_b",-5.91022760927235,-5.91022760927284,4.82280881897168e-13
"cf_switch_right","a_b",-5.91022761164611,-5.91022761164612,1.95399252334028e-14
"grid_1","a_b",-3.13448162098642,-3.13448162098642,8.88178419700125e-16
"grid_2","a_b",-3.50932531254977,-3.50932531254977,2.66453525910038e-15
"grid_3","a_b",-7.70101723195764,-7.70101723195764,0
"grid_4","a_b",-27.5206447430003,-27.5206447430003,3.5527136788005e-15
"grid_5","a_b",-236.934927062513,-236.934927062513,2.8421709430404e-14
"grid_6","a_b",-929.026936654446,-929.026936654446,1.13686837721616e-13
"grid_7","a_b",-4614.69191822491,-4614.69191822491,0
"grid_8","a_b",-2.65495716337762,-2.65495716337762,7.99360577730113e-15
"grid_9","a_b",-2.55649204317717,-2.55649204317717,1.77635683940025e-15
"grid_10","a_b",-6.31555155558378,-6.31555155558378,8.88178419700125e-16
"grid_11","a_b",-25.8470802226938,-25.8470802226938,0
"grid_12","a_b",-234.905912844632,-234.905912844632,0
"grid_13","a_b",-926.789155044552,-926.789155044552,1.13686837721616e-13
"grid_14","a_b",-4612.21250184564,-4612.21250184564,0
"grid_15","a_b",-2.44897074486716,-2.44897074486716,4.88498130835069e-15
"grid_16","a_b",-1.91787708120546,-1.91787708120546,4.44089209850063e-16
"grid_17","a_b",-4.71053070164592,-4.71053070164592,8.88178419700125e-16
"grid_18","a_b",-23.0258609299905,-23.0258609299905,0
"grid_19","a_b",-230.258509299405,-230.258509299405,0
"grid_20","a_b",-921.034037197618,-921.034037197618,0
"grid_21","a_b",-4605.17018598809,-4605.17018598809,0
"grid_22","a_b",-2.36248403195629,-2.36248403195629,4.44089209850063e-16
"grid_23","a_b",-1.54383777281593,-1.54383777281593,2.66453525910038e-15
"grid_24","a_b",-3.1231125635163,-3.1231125635163,4.44089209850063e-16
"grid_25","a_b",-18.2230402083807,-18.2230402083807,0
"grid_26","a_b",-217.633626777825,-217.633626777825,2.8421709430404e-14
"grid_27","a_b",-903.009192767956,-903.009192767956,0
"grid_28","a_b",-4580.7473946486,-4580.7473946486,0
"grid_29","a_b",-2.41555258549744,-2.41555258549744,2.66453525910038e-15
"grid_30","a_b",-1.25187071836755,-1.25187071836755,1.55431223447522e-15
"grid_31","a_b",-1.06073990412213,-1.06073990412213,0
"grid_32","a_b",-8.46659705029384,-8.46659705029385,8.88178419700125e-15
"grid_33","a_b",-164.650532758291,-164.650532758291,0
"grid_34","a_b",-800.797998602007,-800.797998602007,2.27373675443232e-13
"grid_35","a_b",-4410.54261982148,-4410.54261982148,9.09494701772928e-13
"grid_36","a_b",-2.84311121065337,-2.84311121065336,3.99680288865056e-15
"grid_37","a_b",-1.50114497850496,-1.50114497850495,1.33226762955019e-15
"grid_38","a_b",-0.378819543350418,-0.378819543350419,7.21644966006352e-16
"grid_39","a_b",-2.89304292416295,-2.89304292416295,8.88178419700125e-16
"grid_40","a_b",-110.106021067701,-110.106021067701,1.4210854715202e-14
