Outcome,Variant,Model,Key,Status,MaxRhat,MinBulkESS,MinTailESS,Divergences,TreeDepthHits,MinEBFMI,Rank,DesignColumns
binary,b_sd_025,M3_P,bb279a72f22bfbf68f518c2a25c630b2e203b811f0b815617b0ed2d821ee22a3,PASS,1.00340303928306,2052.62286363891,1642.73845579452,0,0,0.857890726332119,5,7
joint,b_sd_025,M3_P,f0c9f0a0bc6c467e9bceca79b042e88e33250e558abe19590c491ff6e500bc9f,PASS,1.00225927091175,1222.59740559578,2705.45930932898,0,0,0.693723548473029,5,7
joint,rho_beta22,M1_P,546752ac8a17e0fb0adeace993e7a4a213970e76ff5f80374123476789622114,PASS,1.00374836733703,972.459363059796,1396.27539586548,0,0,0.868291501144678,4,7
binary,beta_binomial,M1_P,bba93bd3a699dea9154cd164c5cf25c20c18de60e8f3e6e5b511a480243680ac,PASS,1.00706703245826,995.188667963582,1662.44258651632,0,0,0.835862414120139,4,7
joint,beta_binomial,M1_P,6d99aaa5af788a82f920db8aab37c2785c50723d7f921a7abfbfa62d4b2377e5,PASS,1.00312974860478,1414.63126183363,2017.49716659894,0,0,0.884295339126212,4,7
