"Quantity","FullMean","SubmatrixMean","Difference","JointMCSE","ReviewFlag"
"b_Intercept",-0.207268890283184,-0.253557532416518,0.0462886421333342,0.0277793349179563,"within_2_MCSE"
"b_x01",0.394554004832595,0.408037898647657,-0.0134838938150624,0.0134520984626454,"within_2_MCSE"
"b_x02",0.258116573135739,0.271925901128655,-0.0138093279929161,0.0118673905173003,"within_2_MCSE"
"b_x03",0.558913853878344,0.579788038826811,-0.0208741849484665,0.0160974842014047,"within_2_MCSE"
"b_x04",0.108051752649225,0.105872742143976,0.00217901050524889,0.0106716899477967,"within_2_MCSE"
"b_x05",0.560423820669833,0.567744062900632,-0.00732024223079952,0.0156059271175121,"within_2_MCSE"
"b_x06",0.412649384271166,0.412552904780262,9.64794909046329e-05,0.0115270583688213,"within_2_MCSE"
"sd_Species__Intercept",1.70560999231564,1.66048254161218,0.0451274507034667,0.0618020079620402,"within_2_MCSE"
"Expected[Synthetic_1]",0.131625363206742,0.134254756625845,-0.00262939341910304,0.00334968452056411,"within_2_MCSE"
"Expected[Synthetic_2]",0.799257576134825,0.796088912309569,0.00316866382525649,0.00273918586858407,"within_2_MCSE"
"Expected[Synthetic_3]",0.265360049815409,0.2638986214255,0.00146142838990881,0.00300119789068812,"within_2_MCSE"
"Expected[Synthetic_4]",0.405046650751779,0.403606547641114,0.001440103110665,0.00291869547189563,"within_2_MCSE"
"Expected[Synthetic_5]",0.879718159384318,0.877969096106433,0.00174906327788515,0.0029128249747883,"within_2_MCSE"
"Expected[Synthetic_6]",0.223143576667325,0.226515267648341,-0.00337169098101636,0.00246249918874844,"within_2_MCSE"
