"Quantity","FullMean","SubmatrixMean","Difference","JointMCSE","ReviewFlag"
"alpha",-0.106648548697839,-0.112267713884483,0.00561916518664454,0.00708996720884183,"within_2_MCSE"
"beta[1]",0.459108655139422,0.447829692457747,0.0112789626816751,0.00930060818593115,"within_2_MCSE"
"beta[2]",0.149302182248548,0.153632132429039,-0.00432995018049162,0.00964398863290838,"within_2_MCSE"
"beta[3]",0.481471259879099,0.506684484049849,-0.0252132241707504,0.0104691283383428,"review_difference"
"beta[4]",0.0739415649088804,0.0992975227945651,-0.0253559578856847,0.00975844882011403,"review_difference"
"beta[5]",0.496766991456823,0.488858710965423,0.00790828049139952,0.0106096719533118,"within_2_MCSE"
"beta[6]",0.336123503460508,0.338897858790709,-0.00277435533020087,0.00686219955709314,"within_2_MCSE"
"sd_phylo[1]",0.278754975993521,0.276948124523253,0.00180685147026799,0.00969569189891558,"within_2_MCSE"
"rho",0.346897867775254,0.343020439154589,0.00387742862066509,0.00154191686064329,"review_difference"
"log_phi_ratio",2.59239297927806,2.5930512948933,-0.00065831561523888,0.00600179958397548,"within_2_MCSE"
"Expected[Synthetic_1]",0.315441665033486,0.313273022571635,0.00216864246185067,0.000765439201166493,"review_difference"
"Expected[Synthetic_2]",0.684182458547959,0.684062250957189,0.000120207590769805,0.000728622919285695,"within_2_MCSE"
"Expected[Synthetic_3]",0.404666893662027,0.403568703528728,0.00109819013329909,0.000773810321896497,"within_2_MCSE"
"Expected[Synthetic_4]",0.461672429274981,0.462364359946665,-0.000691930671683827,0.000815401016816197,"within_2_MCSE"
"Expected[Synthetic_5]",0.771984604574813,0.771573712350739,0.000410892224073423,0.000648626633760379,"within_2_MCSE"
"Expected[Synthetic_6]",0.351607613730259,0.351096491333308,0.00051112239695067,0.000827642737231517,"within_2_MCSE"
