Outcome,Model,Key,Fold,Status,MaxRhat,MinBulkESS,MinTailESS,Divergences,TreeDepthHits,MinEBFMI
joint,M1_U,e2edafa21f8a7313f6c4330b209301584565cdb4712c5ec2599e6692d51af4bd,2,PASS,1.00342100743813,2915.17302572481,2045.33048232848,0,0,0.934062376043824
joint,M1_P,88ac4a55766f5b6af98db75f2f2b5ca7408771009acb4fdf46865a9dc6620bf2,1,PASS,1.00260337613276,1474.32092541088,1988.9703735184,0,0,0.899983217637708
joint,M1_P,88ac4a55766f5b6af98db75f2f2b5ca7408771009acb4fdf46865a9dc6620bf2,2,PASS,1.00471174783631,1401.45673122065,1524.31993687791,0,0,0.880377974864269
joint,M2_U,f48d93e423c43b6365266076dabc92cb33a9c0fe381a9a7eb975fff3694371f0,1,PASS,1.00180642800586,2184.51925450075,2161.79608396545,0,0,0.965562215268697
joint,M2_U,f48d93e423c43b6365266076dabc92cb33a9c0fe381a9a7eb975fff3694371f0,2,PASS,1.00342100743813,2915.17302572481,2045.33048232848,0,0,0.934062376043824
joint,M2_P,4b7adb0fb1478894857bae98bd0ab7bf604fa040188511b9a30a184544546c62,1,PASS,1.00260337613276,1474.32092541088,1988.9703735184,0,0,0.899983217637708
joint,M2_P,4b7adb0fb1478894857bae98bd0ab7bf604fa040188511b9a30a184544546c62,2,PASS,1.00471174783631,1401.45673122065,1524.31993687791,0,0,0.880377974864269
joint,M3_U,b69e744a491f69455c19bfe1e1459e28f51c50a5d813f2a4dd1b1861350a70ae,1,PASS,1.00404777289069,2152.30516776454,1867.25948230855,0,0,0.927968880848656
joint,M3_U,b69e744a491f69455c19bfe1e1459e28f51c50a5d813f2a4dd1b1861350a70ae,2,PASS,1.00441768338266,2893.11656699885,2320.42036950553,0,0,0.906343472047206
joint,M3_P,17f6a315f8f94182b7eaf40e702eaa7a8988d75629b50a2c9356db42cc032b48,1,PASS,1.00401958012708,1290.02924269038,1627.63393932181,0,0,0.902910680334585
joint,M3_P,17f6a315f8f94182b7eaf40e702eaa7a8988d75629b50a2c9356db42cc032b48,2,PASS,1.00500819535484,1503.36974790071,1543.62474083595,0,0,0.915815811422968
