"Design","Route","Model","TrainWeighting","EvalWeighting","Metric","RawValue","PlotValue","PlotUnits"
"tenfold","joint_bb","M1","species_equal","species_equal","MAE",0.320404775501645,32.0404775501645,"percentage_points"
"tenfold","joint_bb","M2","record_equal","record_equal","MAE",0.289856786040605,28.9856786040605,"percentage_points"
"tenfold","joint_bb","M2","record_equal","species_equal","MAE",0.305880417853198,30.5880417853198,"percentage_points"
"tenfold","joint_bb","M2","species_equal","record_equal","MAE",0.288371738822328,28.8371738822328,"percentage_points"
"tenfold","joint_bb","M2","species_equal","species_equal","MAE",0.300804317756954,30.0804317756954,"percentage_points"
"tenfold","joint_bb","M3","record_equal","record_equal","MAE",0.273693900384771,27.3693900384771,"percentage_points"
"tenfold","joint_bb","M3","record_equal","species_equal","MAE",0.29377133603045,29.377133603045,"percentage_points"
"tenfold","joint_bb","M3","species_equal","record_equal","MAE",0.269726291863872,26.9726291863872,"percentage_points"
"tenfold","joint_bb","M3","species_equal","species_equal","MAE",0.292677489904615,29.2677489904615,"percentage_points"
"fivefold","joint_bb","Null","record_equal","record_equal","RMSE",0.375965670907576,37.5965670907576,"percentage_points"
"fivefold","joint_bb","Null","record_equal","species_equal","RMSE",0.410833819364045,41.0833819364045,"percentage_points"
"fivefold","joint_bb","Null","species_equal","record_equal","RMSE",0.377543562156178,37.7543562156178,"percentage_points"
"fivefold","joint_bb","Null","species_equal","species_equal","RMSE",0.397873437938082,39.7873437938082,"percentage_points"
"fivefold","joint_bb","M1","record_equal","record_equal","RMSE",0.339182745810521,33.9182745810521,"percentage_points"
"fivefold","joint_bb","M1","record_equal","species_equal","RMSE",0.364748371816357,36.4748371816357,"percentage_points"
"fivefold","joint_bb","M1","species_equal","record_equal","RMSE",0.346566366572298,34.6566366572298,"percentage_points"
"fivefold","joint_bb","M1","species_equal","species_equal","RMSE",0.376436795788072,37.6436795788072,"percentage_points"
"fivefold","joint_bb","M2","record_equal","record_equal","RMSE",0.327869953809104,32.7869953809104,"percentage_points"
"fivefold","joint_bb","M2","record_equal","species_equal","RMSE",0.353920264013822,35.3920264013822,"percentage_points"
"fivefold","joint_bb","M2","species_equal","record_equal","RMSE",0.328317838784043,32.8317838784043,"percentage_points"
"fivefold","joint_bb","M2","species_equal","species_equal","RMSE",0.352431974731806,35.2431974731806,"percentage_points"
"fivefold","joint_bb","M3","record_equal","record_equal","RMSE",0.315942731764359,31.5942731764359,"percentage_points"
"fivefold","joint_bb","M3","record_equal","species_equal","RMSE",0.341221818582549,34.1221818582549,"percentage_points"
"fivefold","joint_bb","M3","species_equal","record_equal","RMSE",0.309154406418289,30.9154406418289,"percentage_points"
"fivefold","joint_bb","M3","species_equal","species_equal","RMSE",0.338683431633334,33.8683431633334,"percentage_points"
"tenfold","joint_bb","Null","record_equal","record_equal","RMSE",0.380192196440268,38.0192196440268,"percentage_points"
"tenfold","joint_bb","Null","record_equal","species_equal","RMSE",0.413020245686029,41.3020245686029,"percentage_points"
"tenfold","joint_bb","Null","species_equal","record_equal","RMSE",0.380502966238486,38.0502966238486,"percentage_points"
"tenfold","joint_bb","Null","species_equal","species_equal","RMSE",0.400215441249274,40.0215441249274,"percentage_points"
"tenfold","joint_bb","M1","record_equal","record_equal","RMSE",0.352814103561272,35.2814103561272,"percentage_points"
"tenfold","joint_bb","M1","record_equal","species_equal","RMSE",0.375895318489233,37.5895318489233,"percentage_points"
"tenfold","joint_bb","M1","species_equal","record_equal","RMSE",0.347790600805898,34.7790600805898,"percentage_points"
"tenfold","joint_bb","M1","species_equal","species_equal","RMSE",0.374891967748808,37.4891967748808,"percentage_points"
"tenfold","joint_bb","M2","record_equal","record_equal","RMSE",0.343140030573531,34.3140030573531,"percentage_points"
"tenfold","joint_bb","M2","record_equal","species_equal","RMSE",0.36499504556651,36.499504556651,"percentage_points"
