"Route","Model","Subset","Statistic","Observed","PPC_Lower95","PPC_Median","PPC_Upper95","Status"
"schemeA_tobit","M2","exact","Mean",0.7318225,0.616493250722751,0.718663687182525,0.812739494508596,"IN_RANGE"
"schemeA_tobit","M2","exact","SD",0.22693082362592,0.270111882421734,0.339070888402877,0.400414033351184,"REVIEW_REQUIRED"
"schemeA_tobit","M2","exact","OneFraction",0.15,0.274375,0.4,0.575,"REVIEW_REQUIRED"
"schemeA_tobit","M2","interval","IntervalCoverage",NA,0,0.125,0.5,"DESCRIPTIVE_ONLY"
"joint_bb","M3","count","OneFraction",0.60952380952381,0.457142857142857,0.552380952380952,0.657380952380952,"IN_RANGE"
"joint_bb","M3","count","ZeroFraction",0.142857142857143,0.0666666666666667,0.133333333333333,0.209761904761905,"IN_RANGE"
"joint_bb","M3","count","SD",0.414809958020848,0.342664256699784,0.393517902706344,0.435971366688487,"IN_RANGE"
"joint_bb","M3","exact","Mean",0.7318225,0.656990534016305,0.730288177922434,0.802456214599653,"IN_RANGE"
"joint_bb","M3","exact","SD",0.22693082362592,0.165071830967322,0.211666333599927,0.26762201217082,"IN_RANGE"
"joint_bb","M3","exact","OneFraction",0.15,0.025,0.15,0.3,"IN_RANGE"
"joint_bb","M3","interval","IntervalCoverage",NA,0.121875,0.375,0.628124999999997,"DESCRIPTIVE_ONLY"
"schemeA_tobit","M3","count","OneFraction",0.60952380952381,0.409285714285714,0.495238095238095,0.580952380952381,"REVIEW_REQUIRED"
"schemeA_tobit","M3","count","ZeroFraction",0.142857142857143,0.0664285714285714,0.114285714285714,0.171428571428571,"IN_RANGE"
"schemeA_tobit","M3","count","SD",0.414809958020848,0.329309500162655,0.371926099958184,0.403418857993789,"REVIEW_REQUIRED"
"schemeA_tobit","M3","exact","Mean",0.7318225,0.595699767032977,0.70434284261469,0.806896660178107,"IN_RANGE"
"schemeA_tobit","M3","exact","SD",0.22693082362592,0.26940274134369,0.344200795178063,0.398612346187386,"REVIEW_REQUIRED"
"schemeA_tobit","M3","exact","OneFraction",0.15,0.225,0.4,0.55,"REVIEW_REQUIRED"
"schemeA_tobit","M3","interval","IntervalCoverage",NA,0,0.25,0.5,"DESCRIPTIVE_ONLY"
