"Route","Design","Model","Fold","ELPD","AUC","MAE","PointRecords","AbsErrorSum","Records","Species"
"schemeA_tobit","species10","M2",6,-13.4355598208662,NA,0.462112893121891,9,4.15901603809702,11,5
"schemeA_tobit","species10","M2",7,-19.39904980805,NA,0.423899644310509,13,5.51069537603662,13,5
"schemeA_tobit","species10","M2",8,-2.95174514721554,NA,0.037644611647285,15,0.564669174709276,16,5
"schemeA_tobit","species10","M2",9,-28.8314650807064,NA,0.314499561318999,22,6.91899034901797,23,5
"schemeA_tobit","species10","M2",10,-7.88745665606348,NA,0.186635550175912,8,1.4930844014073,9,5
"schemeA_tobit","species10","M3",1,-13.9921609537738,NA,0.208638417411247,11,2.29502259152371,13,6
"schemeA_tobit","species10","M3",2,-4.39577649770805,NA,0.266013926578352,5,1.33006963289176,5,5
"schemeA_tobit","species10","M3",3,-5.28305996491389,NA,0.169853587399358,10,1.69853587399358,10,5
"schemeA_tobit","species10","M3",4,-14.7930174176463,NA,0.123469793482208,29,3.58062401098402,30,5
"schemeA_tobit","species10","M3",5,-16.3295601933631,NA,0.165708888059029,23,3.81130442535768,23,5
"schemeA_tobit","species10","M3",6,-11.2155225807728,NA,0.424352567059661,9,3.81917310353695,11,5
"schemeA_tobit","species10","M3",7,-18.325705498625,NA,0.401204353812422,13,5.21565659956148,13,5
"schemeA_tobit","species10","M3",8,-4.58227739572456,NA,0.0756586688217946,15,1.13488003232692,16,5
"schemeA_tobit","species10","M3",9,-33.4139731910394,NA,0.347146840448472,22,7.63723048986638,23,5
"schemeA_tobit","species10","M3",10,-8.53328102928483,NA,0.213244818522352,8,1.70595854817882,9,5
