"Status","MaxRhat","MinBulkESS","MinTailESS","Divergences","TreeDepthHits","MinEBFMI","Route","Model"
"PASS",1.00169149453564,1931.50983548091,1938.36601803664,0,0,0.915354513376419,"binary","Null"
"PASS",1.00070513055742,3665.43040018457,4636.62976083055,0,0,0.94107305548517,"joint_bb","Null"
"PASS",1.00173953054938,2734.22075879891,3400.62535601294,0,0,0.990852757567584,"schemeA_tobit","Null"
"PASS",1.00094996506054,3318.25622771103,4172.62857841233,0,0,0.921569976295963,"binary","Site315"
"PASS",1.00119320923434,4051.39595836553,5421.47469633653,0,0,1.01224566622729,"joint_bb","Site315"
"PASS",1.00200377972475,3366.91597403307,4277.76582984094,0,0,0.972143289642947,"schemeA_tobit","Site315"
"PASS",1.00175315046355,3547.4453458408,4976.45649640802,0,0,0.954851824792309,"binary","M1"
"PASS",1.00194305403777,3153.69762023136,4790.08943213941,0,0,0.916384638147418,"joint_bb","M1"
"PASS",1.0014569100821,3193.70682469769,4603.51003567036,0,0,0.899756959227407,"schemeA_tobit","M1"
"PASS",1.00160203380005,3510.91114865704,5249.12320528107,0,0,0.983173948458862,"binary","M2"
"PASS",1.00235525591263,3367.06341775757,4411.07664712572,0,0,0.924013114990218,"joint_bb","M2"
"PASS",1.00190506900091,3367.34275848577,4542.08975545042,0,0,0.938706766761,"schemeA_tobit","M2"
"PASS",1.00291112137096,2542.35279318715,4723.56603365111,0,0,0.966387593923553,"binary","M3"
"PASS",1.00431388502095,2879.20866459079,4230.87128004571,0,0,0.979091111357617,"joint_bb","M3"
"PASS",1.00206051882554,2998.80674627488,4623.95027335839,0,0,0.901878753674985,"schemeA_tobit","M3"
