"Species","Model","Point","CrI_lower","CrI_upper","PI_lower","PI_upper","Status"
"Betta_splendens","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Betta_splendens","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Betta_splendens","M1",0.390428612371592,0.165661558884739,0.657827674654061,NA,NA,"supported"
"Betta_splendens","M2",0.462346328703196,0.220826514487336,0.723516938569486,NA,NA,"supported"
"Betta_splendens","M3",0.584596632408783,0.19133624503091,0.905205456641463,NA,NA,"unseen_category_extrapolation"
"Blennius_ocellaris","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Blennius_ocellaris","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Blennius_ocellaris","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Blennius_ocellaris","M2",0.75055209765123,0.523044857086258,0.906908860696052,NA,NA,"supported"
"Blennius_ocellaris","M3",0.892809201420248,0.714237181646206,0.976339589740743,NA,NA,"unseen_category_extrapolation"
"Boleophthalmus_pectinirostris","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Boleophthalmus_pectinirostris","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Boleophthalmus_pectinirostris","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Boleophthalmus_pectinirostris","M2",0.822754651490241,0.747141831635261,0.885851296252327,NA,NA,"supported"
"Boleophthalmus_pectinirostris","M3",0.604707811411802,0.31037283051914,0.85259016350043,NA,NA,"supported"
"Brachyhypopomus_gauderio","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Brachyhypopomus_gauderio","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Brachyhypopomus_gauderio","M1",0.421252723376083,0.144920673597873,0.736119420555602,NA,NA,"missing_input_extrapolation"
"Brachyhypopomus_gauderio","M2",0.661640651203397,0.34679858475829,0.891427774183069,NA,NA,"missing_input_extrapolation"
"Brachyhypopomus_gauderio","M3",0.530841542490817,0.122052191835763,0.904991718353256,NA,NA,"unseen_category_extrapolation"
"Brachyistius_frenatus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Brachyistius_frenatus","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Brachyistius_frenatus","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Brachyistius_frenatus","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
"Brachyistius_frenatus","M3",0.785664078189532,0.537619134357057,0.935692867465812,NA,NA,"unseen_category_extrapolation"
"Brienomyrus_brachyistius","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Brienomyrus_brachyistius","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Brienomyrus_brachyistius","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Brienomyrus_brachyistius","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Brienomyrus_brachyistius","M3",0.465807270951122,0.0887433918716408,0.881465764983445,NA,NA,"unseen_category_extrapolation"
"Caesio_teres","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Caesio_teres","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Caesio_teres","M1",0.866388307714592,0.773695523040334,0.932899472244214,NA,NA,"supported"
"Caesio_teres","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
"Caesio_teres","M3",0.829524265656193,0.640945302023645,0.943258314769662,NA,NA,"unseen_category_extrapolation"
"Caranx_melampygus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Caranx_melampygus","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Caranx_melampygus","M1",0.866388307714592,0.773695523040334,0.932899472244214,NA,NA,"supported"
"Caranx_melampygus","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
"Caranx_melampygus","M3",0.622430722050298,0.31237046353057,0.870416876131551,NA,NA,"unseen_category_extrapolation"
"Carassius_auratus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Carassius_auratus","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Carassius_auratus","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Carassius_auratus","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Carassius_auratus","M3",0.216616403938033,0.0546303223869106,0.476366599079026,NA,NA,"missing_input_extrapolation"
"Carassius_carassius","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Carassius_carassius","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Carassius_carassius","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Carassius_carassius","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Carassius_carassius","M3",0.216616403938033,0.0546303223869106,0.476366599079026,NA,NA,"missing_input_extrapolation"
"Carassius_gibelio","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Carassius_gibelio","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Carassius_gibelio","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Carassius_gibelio","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Carassius_gibelio","M3",0.216616403938033,0.0546303223869106,0.476366599079026,NA,NA,"missing_input_extrapolation"
"Cebidichthys_violaceus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cebidichthys_violaceus","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Cebidichthys_violaceus","M1",0.717186918555378,0.556211407069667,0.845589975644918,NA,NA,"supported"
"Cebidichthys_violaceus","M2",0.741520212904981,0.526981424903312,0.893587263774373,NA,NA,"supported"
"Cebidichthys_violaceus","M3",0.830740176075543,0.645121446030483,0.943440472237567,NA,NA,"unseen_category_extrapolation"
"Centroberyx_affinis","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Centroberyx_affinis","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Centroberyx_affinis","M1",0.4265027407399,0.235604754220938,0.639177412872493,NA,NA,"supported"
"Centroberyx_affinis","M2",0.45116473464551,0.210833487426018,0.710559264926396,NA,NA,"supported"
"Centroberyx_affinis","M3",0.584622604975013,0.234406393843185,0.873874291872131,NA,NA,"unseen_category_extrapolation"
"Centroberyx_gerrardi","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Centroberyx_gerrardi","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Centroberyx_gerrardi","M1",0.4265027407399,0.235604754220938,0.639177412872493,NA,NA,"supported"
"Centroberyx_gerrardi","M2",0.545360559773642,0.253395571226013,0.815625356307163,NA,NA,"supported"
"Centroberyx_gerrardi","M3",0.585923025307805,0.25220019838064,0.873742764527685,NA,NA,"unseen_category_extrapolation"
"Centropristis_striata","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Centropristis_striata","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Centropristis_striata","M1",0.866388307714592,0.773695523040334,0.932899472244214,NA,NA,"supported"
"Centropristis_striata","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
