"Species","Model","Point","CrI_lower","CrI_upper","PI_lower","PI_upper","Status"
"Abramis_brama","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Abramis_brama","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Abramis_brama","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Abramis_brama","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Abramis_brama","M3",0.279128288006839,0.0619028448232482,0.632822231079762,NA,NA,"unseen_category_extrapolation"
"Acanthochromis_polyacanthus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acanthochromis_polyacanthus","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Acanthochromis_polyacanthus","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Acanthochromis_polyacanthus","M2",0.75055209765123,0.523044857086258,0.906908860696052,NA,NA,"supported"
"Acanthochromis_polyacanthus","M3",0.848948015830604,0.621722893966767,0.965827783026873,NA,NA,"unseen_category_extrapolation"
"Acanthopagrus_latus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acanthopagrus_latus","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Acanthopagrus_latus","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Acanthopagrus_latus","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
"Acanthopagrus_latus","M3",0.537798829757313,0.285583860116138,0.780131176100518,NA,NA,"supported"
"Acanthopagrus_schlegelii","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acanthopagrus_schlegelii","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Acanthopagrus_schlegelii","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Acanthopagrus_schlegelii","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
"Acanthopagrus_schlegelii","M3",0.537798829757313,0.285583860116138,0.780131176100518,NA,NA,"supported"
"Acipenser_oxyrinchus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acipenser_oxyrinchus","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Acipenser_oxyrinchus","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Acipenser_oxyrinchus","M2",0.335063993556162,0.10344697942316,0.646616207304719,NA,NA,"missing_input_extrapolation"
"Acipenser_oxyrinchus","M3",0.482932341088274,0.124386805869877,0.854522337000317,NA,NA,"unseen_category_extrapolation"
"Acipenser_ruthenus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acipenser_ruthenus","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Acipenser_ruthenus","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Acipenser_ruthenus","M2",0.335063993556162,0.10344697942316,0.646616207304719,NA,NA,"missing_input_extrapolation"
"Acipenser_ruthenus","M3",0.478841998200004,0.120618625515625,0.860244279148214,NA,NA,"unseen_category_extrapolation"
"Acipenser_sinensis","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acipenser_sinensis","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Acipenser_sinensis","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Acipenser_sinensis","M2",0.335063993556162,0.10344697942316,0.646616207304719,NA,NA,"missing_input_extrapolation"
"Acipenser_sinensis","M3",0.482932341088274,0.124386805869877,0.854522337000317,NA,NA,"unseen_category_extrapolation"
"Acnodon_oligacanthus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Acnodon_oligacanthus","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Acnodon_oligacanthus","M1",0.421252723376083,0.144920673597873,0.736119420555602,NA,NA,"missing_input_extrapolation"
"Acnodon_oligacanthus","M2",0.371607093202816,0.12074833204783,0.679924764182002,NA,NA,"missing_input_extrapolation"
"Acnodon_oligacanthus","M3",0.515524171452845,0.160842368735654,0.864693605477772,NA,NA,"missing_input_extrapolation"
"Albula_glossodonta","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Albula_glossodonta","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Albula_glossodonta","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Albula_glossodonta","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Albula_glossodonta","M3",0.630284219055094,0.229671556615912,0.925770898231232,NA,NA,"missing_input_extrapolation"
"Albula_goreensis","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Albula_goreensis","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Albula_goreensis","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Albula_goreensis","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Albula_goreensis","M3",0.630284219055094,0.229671556615912,0.925770898231232,NA,NA,"missing_input_extrapolation"
"Aldrovandia_affinis","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Aldrovandia_affinis","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Aldrovandia_affinis","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Aldrovandia_affinis","M2",0.339515953006503,0.129525577662802,0.607196915687302,NA,NA,"missing_input_extrapolation"
"Aldrovandia_affinis","M3",0.626173471610691,0.188516665220635,0.94249176061989,NA,NA,"unseen_category_extrapolation"
"Alosa_alosa","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Alosa_alosa","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Alosa_alosa","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Alosa_alosa","M2",0.335063993556162,0.10344697942316,0.646616207304719,NA,NA,"missing_input_extrapolation"
"Alosa_alosa","M3",0.481174129948296,0.112787237739603,0.86642713295459,NA,NA,"unseen_category_extrapolation"
"Alosa_pseudoharengus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
