"Species","Model","Point","CrI_lower","CrI_upper","PI_lower","PI_upper","Status"
"Abramis_brama","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Abramis_brama","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Abramis_brama","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.919178228301613,"missing_input_extrapolation"
"Abramis_brama","M2",0.0919818353394663,0.0138361016962855,0.245996307494476,0,0.74214406118329,"missing_input_extrapolation"
"Abramis_brama","M3",0.147153266177161,3.38268234654654e-05,0.738092326732116,0,1,"unseen_category_extrapolation"
"Acanthochromis_polyacanthus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acanthochromis_polyacanthus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Acanthochromis_polyacanthus","M1",0.63870878054796,0.509145206231361,0.759119431357818,0,1,"supported"
"Acanthochromis_polyacanthus","M2",0.409337131783432,0.10876562814985,0.760906572131317,0,1,"supported"
"Acanthochromis_polyacanthus","M3",0.762495826086871,0.165752524557016,0.999030869279798,0,1,"unseen_category_extrapolation"
"Acanthopagrus_latus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acanthopagrus_latus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Acanthopagrus_latus","M1",0.63870878054796,0.509145206231361,0.759119431357818,0,1,"supported"
"Acanthopagrus_latus","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Acanthopagrus_latus","M3",0.404516994553383,0.18821577385369,0.635888709554995,0,1,"supported"
"Acanthopagrus_schlegelii","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acanthopagrus_schlegelii","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Acanthopagrus_schlegelii","M1",0.63870878054796,0.509145206231361,0.759119431357818,0,1,"supported"
"Acanthopagrus_schlegelii","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Acanthopagrus_schlegelii","M3",0.404516994553383,0.18821577385369,0.635888709554995,0,1,"supported"
"Acipenser_oxyrinchus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acipenser_oxyrinchus","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Acipenser_oxyrinchus","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.897022283879014,"missing_input_extrapolation"
"Acipenser_oxyrinchus","M2",0.656854217115011,0.246917491532662,0.95581376268855,0,1,"missing_input_extrapolation"
"Acipenser_oxyrinchus","M3",0.395146554869501,0.000462193496381673,0.991674939530555,0,1,"unseen_category_extrapolation"
"Acipenser_ruthenus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acipenser_ruthenus","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Acipenser_ruthenus","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.894741614723489,"missing_input_extrapolation"
"Acipenser_ruthenus","M2",0.656854217115011,0.246917491532662,0.95581376268855,0,1,"missing_input_extrapolation"
"Acipenser_ruthenus","M3",0.339004855864627,1.80411347731659e-05,0.992652471001654,0,1,"unseen_category_extrapolation"
"Acipenser_sinensis","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acipenser_sinensis","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Acipenser_sinensis","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.917613967867032,"missing_input_extrapolation"
"Acipenser_sinensis","M2",0.656854217115011,0.246917491532662,0.95581376268855,0,1,"missing_input_extrapolation"
"Acipenser_sinensis","M3",0.395146554869501,0.000462193496381673,0.991674939530555,0,1,"unseen_category_extrapolation"
"Acnodon_oligacanthus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Acnodon_oligacanthus","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Acnodon_oligacanthus","M1",0.483562921665123,0.0913500074322377,0.882703928452928,0,1,"missing_input_extrapolation"
"Acnodon_oligacanthus","M2",0.51743617901039,0.117612084732748,0.905399784912167,0,1,"missing_input_extrapolation"
"Acnodon_oligacanthus","M3",0.621343845808299,0.141694148187625,0.967244761275504,0,1,"missing_input_extrapolation"
"Albula_glossodonta","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Albula_glossodonta","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Albula_glossodonta","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.897928536014539,"missing_input_extrapolation"
"Albula_glossodonta","M2",0.0919818353394663,0.0138361016962855,0.245996307494476,0,0.765945113312471,"missing_input_extrapolation"
"Albula_glossodonta","M3",0.518257254894126,0.00382477325103592,0.997839767503167,0,1,"missing_input_extrapolation"
"Albula_goreensis","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Albula_goreensis","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Albula_goreensis","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.902698528637512,"missing_input_extrapolation"
