"Species","Model","Point","CrI_lower","CrI_upper","PI_lower","PI_upper","Status"
"Pimephales_promelas","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Pimephales_promelas","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Pimephales_promelas","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.917439283749534,"missing_input_extrapolation"
"Pimephales_promelas","M2",0.0919818353394663,0.0138361016962855,0.245996307494476,0,0.754801427089581,"missing_input_extrapolation"
"Pimephales_promelas","M3",0.274845657149339,1.80754335769321e-05,0.967394824727498,0,1,"unseen_category_extrapolation"
"Planiliza_haematocheilus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Planiliza_haematocheilus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Planiliza_haematocheilus","M1",0.852807996779892,0.672315720633162,0.965030651908456,0.0856723859771981,1,"supported"
"Planiliza_haematocheilus","M2",0.865313793924095,0.68072061862907,0.971199107051246,0.0975627768739256,1,"supported"
"Planiliza_haematocheilus","M3",0.868845231362735,0.639242016026204,0.985700975694689,0.122029602558762,1,"supported"
"Platax_orbicularis","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Platax_orbicularis","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Platax_orbicularis","M1",0.70478412604708,0.596340604748013,0.802678414997011,0,1,"supported"
"Platax_orbicularis","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Platax_orbicularis","M3",0.881314675599507,0.740835935970614,0.967111696618124,0.200018934943618,1,"supported"
"Platichthys_flesus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Platichthys_flesus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Platichthys_flesus","M1",0.70478412604708,0.596340604748013,0.802678414997011,0,1,"supported"
"Platichthys_flesus","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Platichthys_flesus","M3",0.659037244536739,0.359312103635896,0.899166478852096,0,1,"supported"
"Platichthys_stellatus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Platichthys_stellatus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Platichthys_stellatus","M1",0.70478412604708,0.596340604748013,0.802678414997011,0,1,"supported"
"Platichthys_stellatus","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Platichthys_stellatus","M3",0.659037244536739,0.359312103635896,0.899166478852096,0,1,"supported"
"Plectropomus_leopardus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Plectropomus_leopardus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Plectropomus_leopardus","M1",0.70478412604708,0.596340604748013,0.802678414997011,0,1,"supported"
"Plectropomus_leopardus","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Plectropomus_leopardus","M3",0.82589846035914,0.578296341425906,0.968729429746094,0.0322319727811902,1,"supported"
"Pleuronectes_platessa","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Pleuronectes_platessa","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Pleuronectes_platessa","M1",0.70478412604708,0.596340604748013,0.802678414997011,0,1,"supported"
"Pleuronectes_platessa","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Pleuronectes_platessa","M3",0.659037244536739,0.359312103635896,0.899166478852096,0,1,"supported"
"Poecilia_formosa","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poecilia_formosa","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poecilia_formosa","M1",0.396980582240349,0.231373416944949,0.579724179606928,0,1,"supported"
"Poecilia_formosa","M2",0.38494493933657,0.225338654356211,0.55910071253397,0,1,"supported"
"Poecilia_formosa","M3",0.327943131493182,0.177642358046417,0.503403772608686,0,1,"supported"
"Poecilia_latipinna","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poecilia_latipinna","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poecilia_latipinna","M1",0.396980582240349,0.231373416944949,0.579724179606928,0,1,"supported"
"Poecilia_latipinna","M2",0.38494493933657,0.225338654356211,0.55910071253397,0,1,"supported"
"Poecilia_latipinna","M3",0.327943131493182,0.177642358046417,0.503403772608686,0,1,"supported"
"Poecilia_mexicana","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poecilia_mexicana","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poecilia_mexicana","M1",0.396980582240349,0.231373416944949,0.579724179606928,0,1,"supported"
"Poecilia_mexicana","M2",0.38494493933657,0.225338654356211,0.55910071253397,0,1,"supported"
"Poecilia_mexicana","M3",0.327943131493182,0.177642358046417,0.503403772608686,0,1,"supported"
"Poecilia_reticulata","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poecilia_reticulata","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poecilia_reticulata","M1",0.396980582240349,0.231373416944949,0.579724179606928,0,1,"supported"
"Poecilia_reticulata","M2",0.38494493933657,0.225338654356211,0.55910071253397,0,1,"supported"
"Poecilia_reticulata","M3",0.327943131493182,0.177642358046417,0.503403772608686,0,1,"supported"
"Poeciliopsis_prolifica","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poeciliopsis_prolifica","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poeciliopsis_prolifica","M1",0.216001833493118,0.0839336838811627,0.403803642116348,0,1,"supported"
"Poeciliopsis_prolifica","M2",0.203148536174309,0.0844009563913531,0.365743889703216,0,1,"supported"
"Poeciliopsis_prolifica","M3",0.368406122611661,0.00956295587754238,0.922571147168074,0,1,"unseen_category_extrapolation"
"Pogonophryne_albipinna","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Pogonophryne_albipinna","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
"Pogonophryne_albipinna","M1",0.63870878054796,0.509145206231361,0.759119431357818,0,1,"supported"
"Pogonophryne_albipinna","M2",0.68034959559915,0.581957188939225,0.772362188376159,0,1,"supported"
"Pogonophryne_albipinna","M3",0.861635552725109,0.563304317168333,0.990646634835533,0.0815028472011396,1,"supported"
"Polymixia_hollisterae","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Polymixia_hollisterae","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Polymixia_hollisterae","M1",0.216001833493118,0.0839336838811627,0.403803642116348,0,1,"supported"
"Polymixia_hollisterae","M2",0.203148536174309,0.0844009563913531,0.365743889703216,0,1,"supported"
"Polymixia_hollisterae","M3",0.229453395308367,0.00131259297201325,0.80826660869723,0,1,"unseen_category_extrapolation"
"Polymixia_lowei","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Polymixia_lowei","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Polymixia_lowei","M1",0.16654403568144,0.0605072657115449,0.321912983542003,0,0.923324984563943,"supported"
"Polymixia_lowei","M2",0.203148536174309,0.0844009563913531,0.365743889703216,0,1,"supported"
"Polymixia_lowei","M3",0.30484872019896,0.0033653979862418,0.880387689154586,0,1,"unseen_category_extrapolation"
"Polyodon_spathula","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Polyodon_spathula","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Polyodon_spathula","M1",0.1524623377999,0.0526999851235,0.3064302680432,0,0.906138437569171,"missing_input_extrapolation"
"Polyodon_spathula","M2",0.656854217115011,0.246917491532662,0.95581376268855,0,1,"missing_input_extrapolation"
"Polyodon_spathula","M3",0.395146554869501,0.000462193496381673,0.991674939530555,0,1,"unseen_category_extrapolation"
"Polypterus_senegalus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Polypterus_senegalus","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Polypterus_senegalus","M1",0.154751270303099,0.0383527256960479,0.3421067158364,0,0.952459416797537,"missing_input_extrapolation"
"Polypterus_senegalus","M2",0.08142217586123,0.00455222576414138,0.277653512527672,0,0.732508352166083,"missing_input_extrapolation"
"Polypterus_senegalus","M3",0.522992617196361,0.0233891288901334,0.986088885710416,0,1,"missing_input_extrapolation"
"Poromitra_crassiceps","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poromitra_crassiceps","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poromitra_crassiceps","M1",0.176926455744979,0.0388042536386413,0.403270543492566,0,0.980268516200232,"supported"
"Poromitra_crassiceps","M2",0.0973705083986366,0.00589942186950974,0.332099006495962,0,0.813934842757199,"supported"
"Poromitra_crassiceps","M3",0.505543538834329,4.32520609407059e-05,0.999975531827292,0,1,"unseen_category_extrapolation"
"Poropanchax_normani","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Poropanchax_normani","Site315",0.341172508769017,0.21935891264273,0.479206388454881,0,1,"supported"
"Poropanchax_normani","M1",0.396980582240349,0.231373416944949,0.579724179606928,0,1,"supported"
"Poropanchax_normani","M2",0.38494493933657,0.225338654356211,0.55910071253397,0,1,"supported"
"Poropanchax_normani","M3",0.327943131493182,0.177642358046417,0.503403772608686,0,1,"supported"
"Pristipomoides_typus","Null",0.711857186207603,0.654006738924716,0.764951540517791,0,1,"supported"
"Pristipomoides_typus","Site315",0.794206226864662,0.739845299153956,0.842787375829561,0,1,"supported"
