RecordID,ExperimentID,Species,Type,Events,Total,Exact,Lower,Upper,SourceID
XLSX_R0105,S016__Oplegnathus_fasciatus__E2,Oplegnathus_fasciatus,count,10,10,,,,10.1016/j.fsi.2025.110982
XLSX_R0106,S016__Oplegnathus_fasciatus__E3,Oplegnathus_fasciatus,count,10,10,,,,10.1016/j.fsi.2025.110982
XLSX_R0107,S016__Oplegnathus_fasciatus__E4,Oplegnathus_fasciatus,count,10,10,,,,10.1016/j.fsi.2025.110982
XLSX_R0108,S016__Oplegnathus_fasciatus__E5,Oplegnathus_fasciatus,count,10,10,,,,10.1016/j.fsi.2025.110982
XLSX_R0109,S033__Oplegnathus_fasciatus__E1,Oplegnathus_fasciatus,count,30,30,,,,10.1111/jfd.70176
XLSX_R0110,S033__Oplegnathus_fasciatus__E2,Oplegnathus_fasciatus,count,30,30,,,,10.1111/jfd.70176
XLSX_R0111,S033__Oplegnathus_fasciatus__E3,Oplegnathus_fasciatus,count,30,30,,,,10.1111/jfd.70176
XLSX_R0112,S033__Oplegnathus_fasciatus__E4,Oplegnathus_fasciatus,count,30,30,,,,10.1111/jfd.70176
XLSX_R0113,S047__Oplegnathus_fasciatus__E1,Oplegnathus_fasciatus,count,10,10,,,,10.3354/dao01961
XLSX_R0114,S047__Oplegnathus_fasciatus__E2,Oplegnathus_fasciatus,count,10,10,,,,10.3354/dao01961
XLSX_R0115,S058__Oplegnathus_fasciatus__E1,Oplegnathus_fasciatus,exact,,,0.803,,,10.3390/vaccines12060680
XLSX_R0116,S027__Oplegnathus_fasciatus__E1,Oplegnathus_fasciatus,count,30,30,,,,10.1111/jfb.70456
XLSX_R0117,S027__Oplegnathus_fasciatus__E2,Oplegnathus_fasciatus,count,30,30,,,,10.1111/jfb.70456
XLSX_R0118,S010__Oplegnathus_fasciatus__E1,Oplegnathus_fasciatus,count,30,30,,,,10.1016/j.aquaculture.2024.741236
XLSX_R0119,S019__Oplegnathus_punctatus__E1,Oplegnathus_punctatus,exact,,,0.9,,,10.1016/j.virusres.2009.10.016
XLSX_R0120,S020__Siniperca_chuatsi__E1,Siniperca_chuatsi,count,10,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0121,S020__Siniperca_chuatsi__E2,Siniperca_chuatsi,count,10,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0122,S025__Siniperca_chuatsi__E1,Siniperca_chuatsi,count,20,20,,,,10.1073/pnas.2523268123
XLSX_R0123,S025__Siniperca_chuatsi__E2,Siniperca_chuatsi,count,20,20,,,,10.1073/pnas.2523268123
XLSX_R0124,S025__Siniperca_chuatsi__E3,Siniperca_chuatsi,count,20,20,,,,10.1073/pnas.2523268123
XLSX_R0125,S035__Siniperca_chuatsi__E1,Siniperca_chuatsi,count,30,30,,,,10.1128/jvi.01289-23
XLSX_R0126,S035__Siniperca_chuatsi__E2,Siniperca_chuatsi,count,30,30,,,,10.1128/jvi.01289-23
XLSX_R0127,S035__Siniperca_chuatsi__E3,Siniperca_chuatsi,count,30,30,,,,10.1128/jvi.01289-23
XLSX_R0128,S059__Siniperca_chuatsi__E1,Siniperca_chuatsi,count,30,30,,,,10.3390/vaccines12101170
XLSX_R0129,S059__Siniperca_chuatsi__E2,Siniperca_chuatsi,count,30,30,,,,10.3390/vaccines12101170
XLSX_R0130,S059__Siniperca_chuatsi__E3,Siniperca_chuatsi,count,30,30,,,,10.3390/vaccines12101170
XLSX_R0131,S028__Siniperca_scherzeri__E1,Siniperca_scherzeri,count,20,20,,,,10.1111/jfd.12182
XLSX_R0132,S028__Siniperca_scherzeri__E2,Siniperca_scherzeri,count,20,20,,,,10.1111/jfd.12182
XLSX_R0133,S028__Siniperca_scherzeri__E3,Siniperca_scherzeri,count,20,20,,,,10.1111/jfd.12182
XLSX_R0134,S028__Siniperca_scherzeri__E4,Siniperca_scherzeri,count,0,20,,,,10.1111/jfd.12182
XLSX_R0135,S011__Cromileptes_altivelis__E1,Cromileptes_altivelis,count,30,30,,,,10.1016/j.aquaculture.2024.742102
XLSX_R0136,S011__Cromileptes_altivelis__E2,Cromileptes_altivelis,count,30,30,,,,10.1016/j.aquaculture.2024.742102
XLSX_R0137,S011__Cromileptes_altivelis__E3,Cromileptes_altivelis,count,30,30,,,,10.1016/j.aquaculture.2024.742102
XLSX_R0138,S046__Cromileptes_altivelis__E1,Cromileptes_altivelis,count,3,5,,,,10.3354/dao01896
XLSX_R0139,S046__Cromileptes_altivelis__E2,Cromileptes_altivelis,count,16,27,,,,10.3354/dao01896
XLSX_R0140,S046__Cromileptes_altivelis__E3,Cromileptes_altivelis,count,18,27,,,,10.3354/dao01896
XLSX_R0141,S045__Epinephelus_bruneus__E1,Epinephelus_bruneus,count,30,30,,,,10.3147/jsfp.37.90
XLSX_R0142,S045__Epinephelus_bruneus__E2,Epinephelus_bruneus,count,30,30,,,,10.3147/jsfp.37.90
XLSX_R0143,S045__Epinephelus_bruneus__E3,Epinephelus_bruneus,count,30,30,,,,10.3147/jsfp.37.90
XLSX_R0144,S042__Epinephelus_coioides__E1,Epinephelus_coioides,exact,,,0.8,,,10.22146/ijbiotech.7805
XLSX_R0145,S042__Epinephelus_coioides__E2,Epinephelus_coioides,exact,,,1,,,10.22146/ijbiotech.7805
XLSX_R0146,S026__Epinephelus_fuscoguttatus__E1,Epinephelus_fuscoguttatus,exact,,,1,,,10.1111/j.1365-2761.2004.00589.x
XLSX_R0147,S026__Epinephelus_fuscoguttatus__E2,Epinephelus_fuscoguttatus,exact,,,1,,,10.1111/j.1365-2761.2004.00589.x
XLSX_R0148,S057__Epinephelus_lanceolatus__E1,Epinephelus_lanceolatus,count,20,20,,,,10.3390/v16101513
XLSX_R0149,S009__Epinephelus_lanceolatus__E1,Epinephelus_lanceolatus,count,15,15,,,,10.1016/j.aquaculture.2024.741179
XLSX_R0150,S044__Epinephelus_malabaricus__E1,Epinephelus_malabaricus,count,11,15,,,,10.3147/jsfp.36.38
XLSX_R0151,S044__Epinephelus_malabaricus__E2,Epinephelus_malabaricus,count,15,15,,,,10.3147/jsfp.36.38
XLSX_R0152,S044__Epinephelus_malabaricus__E3,Epinephelus_malabaricus,count,14,15,,,,10.3147/jsfp.36.38
XLSX_R0153,S041__Plectropomus_leopardus__E1,Plectropomus_leopardus,count,20,20,,,,10.15578/iaj.4.2.2009.121-130
XLSX_R0154,S041__Plectropomus_leopardus__E2,Plectropomus_leopardus,count,18,20,,,,10.15578/iaj.4.2.2009.121-130
