"Check","Design","Fold","Route","Model","TrainWeighting","RunPurpose","RecordType","RowsChecked","ColumnsChecked","PosteriorDraws","MaximumAbsoluteDifference","AbsoluteAndRelativeTolerance","RecomputeSource","Coverage","Status","Reason","SourceVersion","AuditVersion"
"posterior_to_full_panel","integration",1,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","count",22,33,300,7.105427357601e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,8.88178419700125e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,8.88178419700125e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","count",15,33,300,6.21724893790088e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,6.38378239159465e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,4.57966997657877e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","count",22,33,300,6.21724893790088e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,2.66453525910038e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
