"Check","Design","Fold","Route","Model","TrainWeighting","RunPurpose","RecordType","RowsChecked","ColumnsChecked","PosteriorDraws","MaximumAbsoluteDifference","AbsoluteAndRelativeTolerance","RecomputeSource","Coverage","Status","Reason","SourceVersion","AuditVersion"
"posterior_to_full_panel","integration",1,"binary","M1","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M1","species_equal","INTEGRATION_TEST_ONLY","count",22,33,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M1","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M2","record_equal","INTEGRATION_TEST_ONLY","count",15,33,600,3.88578058618805e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M2","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,600,3.88578058618805e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"binary","M2","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M2","record_equal","INTEGRATION_TEST_ONLY","count",22,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M2","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M2","species_equal","INTEGRATION_TEST_ONLY","count",15,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M2","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"binary","M2","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M2","species_equal","INTEGRATION_TEST_ONLY","count",22,33,600,3.33066907387547e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M2","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,3.33066907387547e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M3","record_equal","INTEGRATION_TEST_ONLY","count",15,33,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M3","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"binary","M3","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M3","record_equal","INTEGRATION_TEST_ONLY","count",22,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M3","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M3","species_equal","INTEGRATION_TEST_ONLY","count",15,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","M3","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"binary","M3","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M3","species_equal","INTEGRATION_TEST_ONLY","count",22,33,600,3.88578058618805e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","M3","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,3.88578058618805e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","count",15,33,300,7.32747196252603e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,4.71844785465692e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,3.7470027081099e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","count",22,33,300,7.7715611723761e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,3.5527136788005e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","Null","record_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,4.85722573273506e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","count",15,33,300,7.54951656745106e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,6.10622663543836e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","count",22,33,300,6.21724893790088e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","Null","species_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","count",15,33,300,7.105427357601e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,6.10622663543836e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,6.66133814775094e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","count",22,33,300,5.77315972805081e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,3.10862446895044e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M1","record_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,3.99680288865056e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","count",15,33,300,6.66133814775094e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","count",22,33,300,5.10702591327572e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,4.44089209850063e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M1","species_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,3.5527136788005e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","count",15,33,300,5.77315972805081e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,5.55111512312578e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M2","record_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,5.55111512312578e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
