"Metric","Design","Model","TrainWeighting","EvalWeighting","AbsDifferenceFromFormal"
"MAE","tenfold","M1","record_equal","species_equal",2.77555756156289e-16
"MAE","tenfold","M1","species_equal","species_equal",1.66533453693773e-16
"MAE","tenfold","M2","record_equal","species_equal",1.66533453693773e-16
"MAE","tenfold","M2","species_equal","species_equal",1.11022302462516e-16
"MAE","tenfold","M3","record_equal","species_equal",1.66533453693773e-16
"MAE","tenfold","M3","species_equal","species_equal",1.11022302462516e-16
"RMSE","tenfold","Null","record_equal","species_equal",1.11022302462516e-16
"RMSE","tenfold","Null","species_equal","species_equal",3.33066907387547e-16
"RMSE","tenfold","M1","record_equal","species_equal",1.66533453693773e-16
"RMSE","tenfold","M1","species_equal","species_equal",0
"RMSE","tenfold","M2","record_equal","species_equal",1.66533453693773e-16
"RMSE","tenfold","M2","species_equal","species_equal",2.22044604925031e-16
"RMSE","tenfold","M3","record_equal","species_equal",4.44089209850063e-16
"RMSE","tenfold","M3","species_equal","species_equal",1.66533453693773e-16
