FigureID,Group,Scope,PDF,SVG,PNG,Preview,SourceCSV,WidthMM,HeightMM,Estimand,Interval,ScientificStatus,VisualReview,SourceManifest
F04_oof_prediction_species_M3_P,quantitative,species,F04_oof_prediction_observation_species.pdf,F04_oof_prediction_species_M3_P.svg,F04_oof_prediction_species_M3_P.png,F04_oof_prediction_species_M3_P_preview.png,figure_data\model\F04_oof_prediction_species_M3_P.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_species_M3_P_provenance.json
F04_oof_prediction_phylo_distance_Null_U,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_Null_U.svg,F04_oof_prediction_phylo_distance_Null_U.png,F04_oof_prediction_phylo_distance_Null_U_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_Null_U.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_Null_U_provenance.json
F04_oof_prediction_phylo_distance_Phylogeny_only_P,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_Phylogeny_only_P.svg,F04_oof_prediction_phylo_distance_Phylogeny_only_P.png,F04_oof_prediction_phylo_distance_Phylogeny_only_P_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_Phylogeny_only_P.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_Phylogeny_only_P_provenance.json
F04_oof_prediction_phylo_distance_Site315_U,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_Site315_U.svg,F04_oof_prediction_phylo_distance_Site315_U.png,F04_oof_prediction_phylo_distance_Site315_U_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_Site315_U.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_Site315_U_provenance.json
F04_oof_prediction_phylo_distance_Site315_P,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_Site315_P.svg,F04_oof_prediction_phylo_distance_Site315_P.png,F04_oof_prediction_phylo_distance_Site315_P_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_Site315_P.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_Site315_P_provenance.json
F04_oof_prediction_phylo_distance_M1_U,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_M1_U.svg,F04_oof_prediction_phylo_distance_M1_U.png,F04_oof_prediction_phylo_distance_M1_U_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_M1_U.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_M1_U_provenance.json
F04_oof_prediction_phylo_distance_M1_P,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_M1_P.svg,F04_oof_prediction_phylo_distance_M1_P.png,F04_oof_prediction_phylo_distance_M1_P_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_M1_P.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_M1_P_provenance.json
F04_oof_prediction_phylo_distance_M2_U,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_M2_U.svg,F04_oof_prediction_phylo_distance_M2_U.png,F04_oof_prediction_phylo_distance_M2_U_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_M2_U.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_M2_U_provenance.json
F04_oof_prediction_phylo_distance_M2_P,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_M2_P.svg,F04_oof_prediction_phylo_distance_M2_P.png,F04_oof_prediction_phylo_distance_M2_P_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_M2_P.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_M2_P_provenance.json
F04_oof_prediction_phylo_distance_M3_U,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_M3_U.svg,F04_oof_prediction_phylo_distance_M3_U.png,F04_oof_prediction_phylo_distance_M3_U_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_M3_U.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_M3_U_provenance.json
F04_oof_prediction_phylo_distance_M3_P,quantitative,phylo_distance,F04_oof_prediction_observation_phylo_distance.pdf,F04_oof_prediction_phylo_distance_M3_P.svg,F04_oof_prediction_phylo_distance_M3_P.png,F04_oof_prediction_phylo_distance_M3_P_preview.png,figure_data\model\F04_oof_prediction_phylo_distance_M3_P.csv,205.0,125.0,OOF posterior mean of m and interval-event probability,Original observed intervals; event probability posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F04_oof_prediction_phylo_distance_M3_P_provenance.json
F03_roc_calibration_species_Null_U,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_Null_U.svg,F03_roc_calibration_species_Null_U.png,F03_roc_calibration_species_Null_U_preview.png,figure_data\model\F03_roc_calibration_species_Null_U.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_Null_U_provenance.json
