"Family","Design","Comparisons","MinRawP","MinBH","MinHolm","MinBonferroni","MinBY","BH_lt_0.05"
"full","Ten-fold",21,0.0105168990307908,0.0942386536614211,0.220854879646607,0.220854879646607,0.343533696449782,0
"full","Five-fold",21,0.00633464010824776,0.133027442273203,0.133027442273203,0.133027442273203,0.484932744662942,0
"primary","Ten-fold",9,0.0105168990307908,0.048465593311588,0.0946520912771172,0.0946520912771172,0.137107624888219,5
"primary","Five-fold",9,0.0269383533101526,0.134946329714679,0.242445179791373,0.242445179791373,0.381758882752359,0
"site","Ten-fold",9,0.155198856700191,0.559846350808127,1,1,1,0
"site","Five-fold",9,0.0739398709938759,0.665458838944883,0.665458838944883,0.665458838944883,1,0
