"File","Route","Model","Tag","Full","K","Fold","IdentityOK","InputOK","CodeOK","TrainSpecies","Status","MaxRhat","MinBulkESS","MinTailESS","Divergences","TreeDepthHits","MinEBFMI"
"binary_M2_cv_species5_M2_f4.rds","binary","M2","cv_species5_M2_f4",FALSE,5,4,TRUE,TRUE,TRUE,40,"PASS",1.0008290486674,3516.64567156256,5342.3963590842,0,0,0.969774567729635
"binary_M2_cv_species5_M2_f5.rds","binary","M2","cv_species5_M2_f5",FALSE,5,5,TRUE,TRUE,TRUE,40,"PASS",1.00130294179956,3545.23490646919,4966.24372571639,0,0,0.961625493348141
"binary_M2_full.rds","binary","M2","full",TRUE,0,0,TRUE,TRUE,TRUE,50,"PASS",1.00160203380005,3510.91114865704,5249.12320528107,0,0,0.983173948458862
"binary_M3_cv_species10_M3_f1.rds","binary","M3","cv_species10_M3_f1",FALSE,10,1,TRUE,TRUE,TRUE,44,"PASS",1.00295461962781,2882.48096522731,4512.93073250519,0,0,0.972682400889654
"binary_M3_cv_species10_M3_f10.rds","binary","M3","cv_species10_M3_f10",FALSE,10,10,TRUE,TRUE,TRUE,47,"PASS",1.00250348312393,3355.91366218004,4650.79682922172,0,0,0.947012054104168
"binary_M3_cv_species10_M3_f2.rds","binary","M3","cv_species10_M3_f2",FALSE,10,2,TRUE,TRUE,TRUE,44,"PASS",1.00269953192783,3122.90569225855,4041.95740812882,0,0,0.959906502896919
"binary_M3_cv_species10_M3_f3.rds","binary","M3","cv_species10_M3_f3",FALSE,10,3,TRUE,TRUE,TRUE,44,"PASS",1.00268382557646,3249.55152636161,4505.54393986809,0,0,1.02046569244337
"binary_M3_cv_species10_M3_f4.rds","binary","M3","cv_species10_M3_f4",FALSE,10,4,TRUE,TRUE,TRUE,45,"PASS",1.00183541261917,3160.92467296531,4251.58315067067,0,0,1.00642458579788
"binary_M3_cv_species10_M3_f5.rds","binary","M3","cv_species10_M3_f5",FALSE,10,5,TRUE,TRUE,TRUE,45,"PASS",1.00259016280719,3476.2175433599,4423.08635745171,0,0,0.966304886835652
"binary_M3_cv_species10_M3_f6.rds","binary","M3","cv_species10_M3_f6",FALSE,10,6,TRUE,TRUE,TRUE,45,"PASS",1.00230673413459,3104.19008627002,4696.11976358453,0,0,0.97047282492113
"binary_M3_cv_species10_M3_f7.rds","binary","M3","cv_species10_M3_f7",FALSE,10,7,TRUE,TRUE,TRUE,45,"PASS",1.00292735080583,2982.91896003504,4468.09277723144,0,0,0.93711515370051
"binary_M3_cv_species10_M3_f8.rds","binary","M3","cv_species10_M3_f8",FALSE,10,8,TRUE,TRUE,TRUE,45,"PASS",1.00297296762762,2817.73234543712,4443.18395899474,0,0,0.940255559603827
"binary_M3_cv_species10_M3_f9.rds","binary","M3","cv_species10_M3_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.00221757311325,3135.67319585747,4297.37646175262,0,0,0.967211439558401
"binary_M3_cv_species5_M3_f1.rds","binary","M3","cv_species5_M3_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.0025799783305,3572.78005975552,4512.50118402671,0,0,0.967990274491992
"binary_M3_cv_species5_M3_f2.rds","binary","M3","cv_species5_M3_f2",FALSE,5,2,TRUE,TRUE,TRUE,40,"PASS",1.00176669645578,3236.78399767796,4594.3543227209,0,0,0.987927675505696
"binary_M3_cv_species5_M3_f3.rds","binary","M3","cv_species5_M3_f3",FALSE,5,3,TRUE,TRUE,TRUE,40,"PASS",1.00232556112979,3125.89503706087,4694.19022663484,0,0,0.943854469715359
"binary_M3_cv_species5_M3_f4.rds","binary","M3","cv_species5_M3_f4",FALSE,5,4,TRUE,TRUE,TRUE,40,"PASS",1.00290474222477,2956.37824480557,4246.36359271034,0,0,0.921445738994071
"binary_M3_cv_species5_M3_f5.rds","binary","M3","cv_species5_M3_f5",FALSE,5,5,TRUE,TRUE,TRUE,40,"PASS",1.00191693762299,3368.7042124177,4200.93137648715,0,0,0.958088308054563
"binary_M3_full.rds","binary","M3","full",TRUE,0,0,TRUE,TRUE,TRUE,50,"PASS",1.00291112137096,2542.35279318715,4723.56603365111,0,0,0.966387593923553
"binary_Null_cv_species10_Null_f1.rds","binary","Null","cv_species10_Null_f1",FALSE,10,1,TRUE,TRUE,TRUE,44,"PASS",1.00306955967087,1942.41658097669,2058.04806570015,0,0,0.914107375656696
"binary_Null_cv_species10_Null_f10.rds","binary","Null","cv_species10_Null_f10",FALSE,10,10,TRUE,TRUE,TRUE,47,"PASS",1.00115647750545,1941.7558163868,2291.62035345757,0,0,0.908222468926895
"binary_Null_cv_species10_Null_f2.rds","binary","Null","cv_species10_Null_f2",FALSE,10,2,TRUE,TRUE,TRUE,44,"PASS",1.00147755814599,1925.6014973735,1846.15647033446,0,0,1.02469317811205
"binary_Null_cv_species10_Null_f3.rds","binary","Null","cv_species10_Null_f3",FALSE,10,3,TRUE,TRUE,TRUE,44,"PASS",1.00121359230092,2146.76306974057,2331.74115514111,0,0,0.918728556289924
"binary_Null_cv_species10_Null_f4.rds","binary","Null","cv_species10_Null_f4",FALSE,10,4,TRUE,TRUE,TRUE,45,"PASS",1.00227339414426,1876.07498885048,1456.30809939679,0,0,0.772633934606689
"binary_Null_cv_species10_Null_f5.rds","binary","Null","cv_species10_Null_f5",FALSE,10,5,TRUE,TRUE,TRUE,45,"PASS",1.00035599545378,2124.12573818007,1874.27476446166,0,0,0.944530652717059
"binary_Null_cv_species10_Null_f6.rds","binary","Null","cv_species10_Null_f6",FALSE,10,6,TRUE,TRUE,TRUE,45,"PASS",1.00266578668045,1894.44848280263,1802.63918103039,0,0,0.944811100344501
"binary_Null_cv_species10_Null_f7.rds","binary","Null","cv_species10_Null_f7",FALSE,10,7,TRUE,TRUE,TRUE,45,"PASS",1.0016169874045,1878.45036848626,2033.73932364274,0,0,0.922853166493634
"binary_Null_cv_species10_Null_f8.rds","binary","Null","cv_species10_Null_f8",FALSE,10,8,TRUE,TRUE,TRUE,45,"PASS",1.00234791219209,1939.0199613039,1749.19407123998,0,0,0.908218180357208
"binary_Null_cv_species10_Null_f9.rds","binary","Null","cv_species10_Null_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.0037295614593,1800.52390246988,1735.0476611943,0,0,0.919799864802894
"binary_Null_cv_species5_Null_f1.rds","binary","Null","cv_species5_Null_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.0016947050905,1858.04468196964,1845.16200994337,0,0,0.921617278489245
"binary_Null_cv_species5_Null_f2.rds","binary","Null","cv_species5_Null_f2",FALSE,5,2,TRUE,TRUE,TRUE,40,"PASS",1.00124905557708,1829.40187581233,1886.1896560541,0,0,0.895473934429354
"binary_Null_cv_species5_Null_f3.rds","binary","Null","cv_species5_Null_f3",FALSE,5,3,TRUE,TRUE,TRUE,40,"PASS",1.0005894288978,1932.2798522865,2036.97018865143,0,0,0.889204418302775
"binary_Null_cv_species5_Null_f4.rds","binary","Null","cv_species5_Null_f4",FALSE,5,4,TRUE,TRUE,TRUE,40,"PASS",1.00182030808799,1904.59595409034,1955.14688880951,0,0,0.942061177666654
"binary_Null_cv_species5_Null_f5.rds","binary","Null","cv_species5_Null_f5",FALSE,5,5,TRUE,TRUE,TRUE,40,"PASS",1.00355386157879,2040.4477369048,1904.77389446574,0,0,0.866337915621064
"binary_Null_full.rds","binary","Null","full",TRUE,0,0,TRUE,TRUE,TRUE,50,"PASS",1.00169149453564,1931.50983548091,1938.36601803664,0,0,0.915354513376419
"binary_Site315_cv_species10_Site315_f1.rds","binary","Site315","cv_species10_Site315_f1",FALSE,10,1,TRUE,TRUE,TRUE,44,"PASS",1.00108831585727,3031.25074259559,4433.9600377946,0,0,0.934680954699483
"binary_Site315_cv_species10_Site315_f10.rds","binary","Site315","cv_species10_Site315_f10",FALSE,10,10,TRUE,TRUE,TRUE,47,"PASS",1.00105485078436,3236.49435836223,3937.78852444883,0,0,0.966936216270449
"binary_Site315_cv_species10_Site315_f2.rds","binary","Site315","cv_species10_Site315_f2",FALSE,10,2,TRUE,TRUE,TRUE,44,"PASS",1.0020063322589,3086.16946084045,4205.83894180469,0,0,0.969374375557124
"binary_Site315_cv_species10_Site315_f3.rds","binary","Site315","cv_species10_Site315_f3",FALSE,10,3,TRUE,TRUE,TRUE,44,"PASS",1.00151445498184,2999.24776010353,3591.33830485883,0,0,0.926217763214541
"binary_Site315_cv_species10_Site315_f4.rds","binary","Site315","cv_species10_Site315_f4",FALSE,10,4,TRUE,TRUE,TRUE,45,"PASS",1.00070844587121,3490.69280310098,4145.51788138555,0,0,0.969594458238507
"binary_Site315_cv_species10_Site315_f5.rds","binary","Site315","cv_species10_Site315_f5",FALSE,10,5,TRUE,TRUE,TRUE,45,"PASS",1.00077376533627,3589.19111375988,4431.03596368959,0,0,0.983931380512197
"binary_Site315_cv_species10_Site315_f6.rds","binary","Site315","cv_species10_Site315_f6",FALSE,10,6,TRUE,TRUE,TRUE,45,"PASS",1.00089878457088,3083.09558084077,3238.5205052157,0,0,0.969531310907133
"binary_Site315_cv_species10_Site315_f7.rds","binary","Site315","cv_species10_Site315_f7",FALSE,10,7,TRUE,TRUE,TRUE,45,"PASS",1.00259260007974,3342.11583714438,4153.78516157968,0,0,0.978849408557698
"binary_Site315_cv_species10_Site315_f8.rds","binary","Site315","cv_species10_Site315_f8",FALSE,10,8,TRUE,TRUE,TRUE,45,"PASS",1.00163858038408,3076.49369190528,4037.12253425183,0,0,0.981392642067903
"binary_Site315_cv_species10_Site315_f9.rds","binary","Site315","cv_species10_Site315_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.0007976424201,3352.73692234619,4341.19930485085,0,0,0.951472337643101
"binary_Site315_cv_species5_Site315_f1.rds","binary","Site315","cv_species5_Site315_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.00161431312271,3392.43817870496,4095.38937406517,0,0,0.929831338823707
