"Route","Design","Model","Reference","Records","Species","ELPD_difference","Paired_SE_species","CI95_lower","CI95_upper","z_normal_approx","p_value_normal_approx","p_value_BH_all","RouteLabel","DesignLabel","BH_by_design","Holm_by_design","Bonferroni_by_design","BY_by_design"
"binary","species10","Site315","Null",152,50,13.9166072086915,5.88394167072602,2.38408153406849,25.4491328833145,2.36518442695138,0.018021094238219,0.141426354878301,"High/Low","Ten-fold",0.0942386536614211,0.342400790526161,0.378442979002599,0.343533696449782
"binary","species10","M1","Null",152,50,16.7359252887872,6.80087499356959,3.40621030139084,30.0656402761836,2.46084883262985,0.0138608753872035,0.141426354878301,"High/Low","Ten-fold",0.0942386536614211,0.27721750774407,0.291078383131273,0.343533696449782
"binary","species10","M1","Site315",152,50,2.81931808009575,3.09023199886173,-3.23753663767324,8.87617279786475,0.912332174779832,0.361593881901581,0.505667671697662,"High/Low","Ten-fold",0.435436050628543,1,1,1
"binary","species10","M2","Null",152,50,14.8583347512957,6.71533216823869,1.69628370154789,28.0203858010436,2.21259862938289,0.0269253296175489,0.141426354878301,"High/Low","Ten-fold",0.0942386536614211,0.430805273880782,0.565431921968527,0.343533696449782
"binary","species10","M2","Site315",152,50,0.941727542604233,2.53605725480266,-4.02894467680898,5.91239976201745,0.371335284651337,0.710387820320365,0.806386174417712,"High/Low","Ten-fold",0.745907211336383,1,1,1
"binary","species10","M3","Null",152,50,17.9365892566914,7.01098819412954,4.19505239619748,31.6781261171853,2.55835393813815,0.0105168990307908,0.141426354878301,"High/Low","Ten-fold",0.0942386536614211,0.220854879646607,0.220854879646607,0.343533696449782
"binary","species10","M3","Site315",152,50,4.01998204799989,4.1834915906831,-4.17966146973898,12.2196255657388,0.960915532124566,0.336594640473143,0.505667671697662,"High/Low","Ten-fold",0.435436050628543,1,1,1
"joint_bb","species10","Site315","Null",153,51,9.17957059577642,7.82333226266376,-6.15416063904454,24.5133018305974,1.17335814044166,0.240652216085264,0.461313417609847,"Joint beta-binomial","Ten-fold",0.371357624173689,1,1,1
"joint_bb","species10","M1","Null",153,51,8.33964832803326,7.21255953735444,-5.79696836518145,22.476265021248,1.15626751985083,0.247571749449126,0.461313417609847,"Joint beta-binomial","Ten-fold",0.371357624173689,1,1,1
"joint_bb","species10","M1","Site315",153,51,-0.839922267743164,3.29181681207105,-7.29188321940242,5.6120386839161,-0.255154619984678,0.798603679215344,0.838533863176111,"Joint beta-binomial","Ten-fold",0.798603679215344,1,1,1
"joint_bb","species10","M2","Null",153,51,13.0493569287289,6.96150215135504,-0.595187287926938,26.6939011453848,1.8745030375648,0.0608611237808775,0.227945121584462,"Joint beta-binomial","Ten-fold",0.170958841188346,0.912916856713162,1,0.623206299882086
"joint_bb","species10","M2","Site315",153,51,3.86978633295252,3.16185710169059,-2.32745358636104,10.0670262522661,1.22389665582401,0.220991215332936,0.461313417609847,"Joint beta-binomial","Ten-fold",0.371357624173689,1,1,1
"joint_bb","species10","M3","Null",153,51,17.7161867667294,7.89490103727898,2.24218073366259,33.1901927997962,2.24400365287357,0.0248321663153567,0.141426354878301,"Joint beta-binomial","Ten-fold",0.0942386536614211,0.422146827361064,0.521475492622491,0.343533696449782
"joint_bb","species10","M3","Site315",153,51,8.53661617095297,6.0057563452822,-3.23466626580014,20.3078986077061,1.42140567818055,0.155198856700191,0.38343246949459,"Joint beta-binomial","Ten-fold",0.296288726427637,1,1,1
"schemeA_tobit","species10","Site315","Null",153,51,18.2376860506131,11.8008813987659,-4.89204149096809,41.3674135921942,1.54545117727565,0.12223716958111,0.320872570150414,"Scheme A","Ten-fold",0.256698056120331,1,1,0.93575649337392
"schemeA_tobit","species10","M1","Null",153,51,23.5084423372716,15.2056286184339,-6.29458975485884,53.311474429402,1.5460355455987,0.122095983482057,0.320872570150414,"Scheme A","Ten-fold",0.256698056120331,1,1,0.93575649337392
"schemeA_tobit","species10","M1","Site315",153,51,5.27075628665849,13.5261182072211,-21.2404353994949,31.7819479728119,0.389672499227799,0.696778734594224,0.806386174417712,"Scheme A","Ten-fold",0.745907211336383,1,1,1
"schemeA_tobit","species10","M2","Null",153,51,30.1423608422389,12.9409591262547,4.77808095477965,55.506640729698,2.32922154750384,0.0198473319768853,0.141426354878301,"Scheme A","Ten-fold",0.0942386536614211,0.357251975583935,0.416793971514591,0.343533696449782
"schemeA_tobit","species10","M2","Site315",153,51,11.9046747916258,10.870148689156,-9.40081663911997,33.2101662223715,1.09517129268911,0.273441599874873,0.461313417609847,"Scheme A","Ten-fold",0.382818239824822,1,1,1
"schemeA_tobit","species10","M3","Null",153,51,32.0274650225636,17.3648560493008,-2.00765283406601,66.0625828791933,1.84438413607541,0.0651271775955604,0.227945121584462,"Scheme A","Ten-fold",0.170958841188346,0.912916856713162,1,0.623206299882086
"schemeA_tobit","species10","M3","Site315",153,51,13.7897789719506,15.4865172410727,-16.563794820552,44.1433527644531,0.890437711545488,0.373230900538751,0.505667671697662,"Scheme A","Ten-fold",0.435436050628543,1,1,1
"binary","species5","Site315","Null",152,50,16.3128920794625,5.9755559133889,4.60080248922021,28.0249816697047,2.72993714993304,0.00633464010824776,0.141426354878301,"High/Low","Five-fold",0.133027442273203,0.133027442273203,0.133027442273203,0.484932744662942
"binary","species5","M1","Null",152,50,12.1340079442666,7.46030036918178,-2.48818077932967,26.7561966678629,1.62647713145596,0.103848194332149,0.311544582996447,"High/Low","Five-fold",0.363468680162521,1,1,1
"binary","species5","M1","Site315",152,50,-4.17888413519584,4.68897672826707,-13.3692785225993,5.01151025220761,-0.891214518085325,0.372814097244269,0.505667671697662,"High/Low","Five-fold",0.602238157086896,1,1,1
"binary","species5","M2","Null",152,50,14.1210551251273,6.85323361356387,0.68871724254207,27.5533930077125,2.06049522333209,0.0393512220316697,0.183639036147792,"High/Low","Five-fold",0.236156077000688,0.747673218601724,0.826375662665064,0.860873610977074
"binary","species5","M2","Site315",152,50,-2.19183695433519,3.22646394916021,-8.51570629468921,4.13203238601883,-0.679330991721041,0.49692816379752,0.599460258263246,"High/Low","Five-fold",0.617091442329813,1,1,1
"binary","species5","M3","Null",152,50,15.0128003768799,7.48834684069648,0.335640569114803,29.689960184645,2.00482171783106,0.0449821099048929,0.18892486160055,"High/Low","Five-fold",0.236156077000688,0.809677978288072,0.944624308002751,0.860873610977074
"binary","species5","M3","Site315",152,50,-1.30009170258256,4.57937582597807,-10.2756683214996,7.67548491633446,-0.283901507975682,0.776485860830203,0.838533863176111,"High/Low","Five-fold",0.87598939044015,1,1,1
"joint_bb","species5","Site315","Null",153,51,5.70716997345062,7.91889142302465,-9.81385721567769,21.2281971625789,0.720703147520962,0.471092175463264,0.599460258263246,"Joint beta-binomial","Five-fold",0.617091442329813,1,1,1
"joint_bb","species5","M1","Null",153,51,6.38673365694638,6.89618570068671,-7.12979031639958,19.9032576302923,0.926125532888477,0.354380746282288,0.505667671697662,"Joint beta-binomial","Five-fold",0.602238157086896,1,1,1
"joint_bb","species5","M1","Site315",153,51,0.67956368349576,3.52341880140024,-6.22633716724872,7.58546453424024,0.19287053904171,0.847060358243701,0.867720366981352,"Joint beta-binomial","Five-fold",0.889413376155886,1,1,1
"joint_bb","species5","M2","Null",153,51,9.35307945807579,6.86851667199331,-4.10921321903109,22.8153721351827,1.36173207473069,0.173282454913778,0.394548325819305,"Joint beta-binomial","Five-fold",0.468526136910426,1,1,1
"joint_bb","species5","M2","Site315",153,51,3.64590948462518,3.22254444326738,-2.6702776241789,9.96209659342925,1.13137601321288,0.257896862996875,0.461313417609847,"Joint beta-binomial","Five-fold",0.57664177201231,1,1,1
"joint_bb","species5","M3","Null",153,51,17.42122112351,7.87431880426659,1.98755626714746,32.8548859798725,2.21240993113849,0.0269383533101526,0.141426354878301,"Joint beta-binomial","Five-fold",0.236156077000688,0.538767066203052,0.565705419513205,0.860873610977074
"joint_bb","species5","M3","Site315",153,51,11.7140511500594,6.55520300801098,-1.13414674564216,24.5622490457609,1.78698525976142,0.0739398709938759,0.238882660134061,"Joint beta-binomial","Five-fold",0.310547458174279,1,1,1
"schemeA_tobit","species5","Site315","Null",153,51,12.1548685426037,12.6309575753036,-12.6018083049914,36.9115453901988,0.962307764089813,0.335895030058852,0.505667671697662,"Scheme A","Five-fold",0.602238157086896,1,1,1
"schemeA_tobit","species5","M1","Null",153,51,10.7619027308702,15.1661698220851,-18.9637901204165,40.487595582157,0.709599249983254,0.477952684860413,0.599460258263246,"Scheme A","Five-fold",0.617091442329813,1,1,1
"schemeA_tobit","species5","M1","Site315",153,51,-1.39296581173349,13.3087452831927,-27.4781065667913,24.6921749433243,-0.104665449829642,0.916641278377374,0.916641278377374,"Scheme A","Five-fold",0.916641278377374,1,1,1
"schemeA_tobit","species5","M2","Null",153,51,15.3902200484686,14.0865101363735,-12.2193398188234,42.9997799157606,1.09255024129282,0.274591320005862,0.461313417609847,"Scheme A","Five-fold",0.57664177201231,1,1,1
"schemeA_tobit","species5","M2","Site315",153,51,3.23535150586486,12.3023995284812,-20.8773515699584,27.3480545816881,0.262985403650297,0.79256182944585,0.838533863176111,"Scheme A","Five-fold",0.87598939044015,1,1,1
"schemeA_tobit","species5","M3","Null",153,51,23.2731725633232,17.2979332617353,-10.630776629678,57.1771217563245,1.3454308217737,0.178486147394448,0.394548325819305,"Scheme A","Five-fold",0.468526136910426,1,1,1
"schemeA_tobit","species5","M3","Site315",153,51,11.1183040207195,16.4667404109675,-21.1565071847767,43.3931152262157,0.675197625227293,0.499550215219372,0.599460258263246,"Scheme A","Five-fold",0.617091442329813,1,1,1
