"FPR","TPR","Design","Model"
0,0,"species5","Null"
0,0.00862068965517241,"species5","Null"
0,0.0172413793103448,"species5","Null"
0.0277777777777778,0.0172413793103448,"species5","Null"
0.0277777777777778,0.0258620689655172,"species5","Null"
0.0277777777777778,0.0344827586206897,"species5","Null"
0.0555555555555556,0.0344827586206897,"species5","Null"
0.0833333333333333,0.0344827586206897,"species5","Null"
0.111111111111111,0.0344827586206897,"species5","Null"
0.138888888888889,0.0344827586206897,"species5","Null"
0.166666666666667,0.0344827586206897,"species5","Null"
0.194444444444444,0.0344827586206897,"species5","Null"
0.222222222222222,0.0344827586206897,"species5","Null"
0.25,0.0344827586206897,"species5","Null"
0.25,0.0431034482758621,"species5","Null"
0.277777777777778,0.0431034482758621,"species5","Null"
0.305555555555556,0.0431034482758621,"species5","Null"
0.333333333333333,0.0431034482758621,"species5","Null"
0.333333333333333,0.0517241379310345,"species5","Null"
0.333333333333333,0.0603448275862069,"species5","Null"
0.333333333333333,0.0689655172413793,"species5","Null"
0.333333333333333,0.0775862068965517,"species5","Null"
0.333333333333333,0.0862068965517241,"species5","Null"
0.361111111111111,0.0862068965517241,"species5","Null"
0.388888888888889,0.0862068965517241,"species5","Null"
0.416666666666667,0.0862068965517241,"species5","Null"
0.444444444444444,0.0862068965517241,"species5","Null"
0.444444444444444,0.0948275862068965,"species5","Null"
0.444444444444444,0.103448275862069,"species5","Null"
0.444444444444444,0.112068965517241,"species5","Null"
0.472222222222222,0.112068965517241,"species5","Null"
0.5,0.112068965517241,"species5","Null"
0.527777777777778,0.112068965517241,"species5","Null"
0.555555555555556,0.112068965517241,"species5","Null"
0.583333333333333,0.112068965517241,"species5","Null"
0.583333333333333,0.120689655172414,"species5","Null"
0.583333333333333,0.129310344827586,"species5","Null"
0.583333333333333,0.137931034482759,"species5","Null"
0.583333333333333,0.146551724137931,"species5","Null"
0.583333333333333,0.155172413793103,"species5","Null"
0.583333333333333,0.163793103448276,"species5","Null"
0.583333333333333,0.172413793103448,"species5","Null"
0.583333333333333,0.181034482758621,"species5","Null"
0.611111111111111,0.181034482758621,"species5","Null"
0.638888888888889,0.181034482758621,"species5","Null"
0.666666666666667,0.181034482758621,"species5","Null"
0.694444444444444,0.181034482758621,"species5","Null"
0.722222222222222,0.181034482758621,"species5","Null"
0.75,0.181034482758621,"species5","Null"
0.75,0.189655172413793,"species5","Null"
0.75,0.198275862068966,"species5","Null"
0.75,0.206896551724138,"species5","Null"
0.75,0.21551724137931,"species5","Null"
0.777777777777778,0.21551724137931,"species5","Null"
0.777777777777778,0.224137931034483,"species5","Null"
0.777777777777778,0.232758620689655,"species5","Null"
0.777777777777778,0.241379310344828,"species5","Null"
0.777777777777778,0.25,"species5","Null"
0.777777777777778,0.258620689655172,"species5","Null"
0.777777777777778,0.267241379310345,"species5","Null"
0.777777777777778,0.275862068965517,"species5","Null"
0.777777777777778,0.28448275862069,"species5","Null"
0.805555555555556,0.28448275862069,"species5","Null"
0.805555555555556,0.293103448275862,"species5","Null"
0.805555555555556,0.301724137931034,"species5","Null"
0.833333333333333,0.301724137931034,"species5","Null"
0.833333333333333,0.310344827586207,"species5","Null"
0.833333333333333,0.318965517241379,"species5","Null"
0.833333333333333,0.327586206896552,"species5","Null"
0.833333333333333,0.336206896551724,"species5","Null"
0.833333333333333,0.344827586206897,"species5","Null"
0.833333333333333,0.353448275862069,"species5","Null"
0.833333333333333,0.362068965517241,"species5","Null"
0.833333333333333,0.370689655172414,"species5","Null"
0.833333333333333,0.379310344827586,"species5","Null"
0.833333333333333,0.387931034482759,"species5","Null"
0.833333333333333,0.396551724137931,"species5","Null"
0.833333333333333,0.405172413793103,"species5","Null"
0.833333333333333,0.413793103448276,"species5","Null"
0.833333333333333,0.422413793103448,"species5","Null"
0.833333333333333,0.431034482758621,"species5","Null"
0.833333333333333,0.439655172413793,"species5","Null"
0.833333333333333,0.448275862068966,"species5","Null"
0.861111111111111,0.448275862068966,"species5","Null"
0.861111111111111,0.456896551724138,"species5","Null"
0.861111111111111,0.46551724137931,"species5","Null"
0.888888888888889,0.46551724137931,"species5","Null"
0.888888888888889,0.474137931034483,"species5","Null"
0.888888888888889,0.482758620689655,"species5","Null"
0.888888888888889,0.491379310344828,"species5","Null"
0.888888888888889,0.5,"species5","Null"
0.916666666666667,0.5,"species5","Null"
0.944444444444444,0.5,"species5","Null"
0.944444444444444,0.508620689655172,"species5","Null"
0.944444444444444,0.517241379310345,"species5","Null"
0.944444444444444,0.525862068965517,"species5","Null"
0.944444444444444,0.53448275862069,"species5","Null"
0.944444444444444,0.543103448275862,"species5","Null"
