"b_over_a","a_at_switch","b_at_switch","ReferenceTailLogDifference"
1,3.60693785979477e-05,3.60693785979477e-05,0.000100000000000766
2,1.80344389628854e-05,3.60688779257707e-05,0.000100000000000211
