"b_over_a","a_at_switch","b_at_switch","ReferenceTailLogDifference"
1,3.60673778402589e-08,3.60673778402589e-08,1.00000000058387e-07
2,1.80336887800079e-08,3.60673775600158e-08,1.00000000058387e-07
