"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"integration",1,"binary","M3","species_equal","record_equal",28,6,28,6,0,0,28,-19.3611384897954,-0.691469231778405,0.469230769230769,0.249161185696403,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","M3","species_equal","species_equal",28,6,28,6,0,0,28,-19.3432351651525,-0.690829827326876,0.470134395221503,0.248841633349981,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","M3","species_equal","record_equal",42,5,42,5,0,0,42,-29.1562588958421,-0.694196640377192,0.44671201814059,0.250524256277168,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","M3","species_equal","species_equal",42,5,42,5,0,0,42,-29.1392240981241,-0.693791049955335,0.450851416904806,0.250321562288619,,,,0,,,0,"weighted_record_or_species"
"integration",1,"joint_bb","Null","record_equal","record_equal",39,6,39,6,6,6,39,-42.4865469660676,-1.08939864015558,,,0.240006525782383,0.258751694562365,0.0302366918129739,28,0.964285714285714,0.879140580698189,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","Null","record_equal","species_equal",39,6,39,6,6,6,39,-43.0658662247793,-1.10425298012255,,,0.238431281146792,0.25709265804243,0.0326665172785137,28,0.972222222222222,0.880753824195146,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","Null","record_equal","record_equal",75,6,75,6,5,5,75,-79.1751371088886,-1.05566849478518,,,0.258335910121624,0.281389791326849,-0.0106810480885775,42,1,0.897372678506123,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","Null","record_equal","species_equal",75,6,75,6,5,5,75,-79.8472707714867,-1.06463027695316,,,0.257755403261503,0.280609705036896,-0.00730266104352379,42,1,0.897456105983605,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","Null","species_equal","record_equal",39,6,39,6,6,6,39,-42.3358595297264,-1.08553485973658,,,0.239907843515202,0.258593892069598,0.0288551400724426,28,0.964285714285714,0.88091315001212,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","Null","species_equal","species_equal",39,6,39,6,6,6,39,-42.9133516436302,-1.10034234983667,,,0.238308476547634,0.256920770933233,0.0312849655379823,28,0.972222222222222,0.884539350926085,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","Null","species_equal","record_equal",75,6,75,6,5,5,75,-79.3514255625282,-1.05801900750038,,,0.258335910121624,0.28159377661726,-0.0151302727957781,42,0.976190476190476,0.894467980655299,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","Null","species_equal","species_equal",75,6,75,6,5,5,75,-80.0161519018206,-1.06688202535761,,,0.257707379883711,0.280760724677215,-0.0117518857507244,42,0.98,0.895321079886753,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M1","record_equal","record_equal",39,6,39,6,6,6,39,-43.6186593082323,-1.11842716174955,,,0.24014219833315,0.258476276491484,0.0274068253897073,28,1,0.951987716280778,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M1","record_equal","species_equal",39,6,39,6,6,6,39,-44.5413949583812,-1.1420870502149,,,0.238600118098858,0.256946287964766,0.0308876024405818,28,1,0.955505681914631,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M1","record_equal","record_equal",75,6,75,6,5,5,75,-83.7629055599216,-1.11683874079896,,,0.258975985761804,0.282130379951489,-0.00872110930647911,42,0.976190476190476,0.962581710538404,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
